Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-05,13.96,14.18,13.96,14.15,54300,0.0,0
2010-01-06,14.07,14.22,14.07,14.17,15700,0.0,0
2010-01-07,14.03,14.08,14.03,14.06,22900,0.0,0
2010-01-08,14.0,14.04,13.94,13.95,12800,0.0,0
2010-01-11,14.06,14.1,14.02,14.1,25000,0.0,0
2010-01-12,14.17,14.38,14.17,14.37,24900,0.0,0
2010-01-13,14.19,14.38,14.19,14.31,25000,0.0,0
2010-01-14,14.34,14.57,14.34,14.53,44600,0.0,0
2010-01-15,14.53,14.57,14.47,14.52,99600,0.0,0
2010-01-19,14.22,14.49,14.22,14.49,51600,0.0,0
2010-01-20,14.46,14.49,14.4,14.49,38600,0.0,0
2010-01-21,14.34,14.8,14.34,14.57,202900,0.0,0
2010-01-22,14.57,14.77,14.57,14.73,22600,0.0,0
2010-01-25,14.59,14.77,14.59,14.77,13600,0.0,0
2010-01-26,14.79,14.9,14.77,14.81,13500,0.0,0
2010-01-27,14.95,14.97,14.79,14.85,28400,0.0,0
2010-01-28,14.8,14.86,14.7,14.73,9100,0.0,0
2010-01-29,14.5,14.7,14.41,14.51,38600,0.0,0
2010-02-01,14.75,14.99,14.75,14.97,36700,0.0,0
2010-02-02,14.98,15.16,14.76,15.12,103300,0.0,0
2010-02-03,14.87,14.93,14.7,14.93,53200,0.0,0
2010-02-04,14.74,14.93,14.7,14.93,16000,0.0,0
2010-02-05,14.67,14.87,14.57,14.77,53500,0.0,0
2010-02-08,14.72,14.84,14.65,14.65,27400,0.0,0
2010-02-09,14.3,14.6,14.3,14.44,19600,0.0,0
2010-02-10,14.42,14.44,14.26,14.31,21300,0.0,0
2010-02-11,14.26,14.49,14.26,14.4,17600,0.0,0
2010-02-12,14.36,14.36,14.26,14.27,40000,0.0,0
2010-02-16,14.28,14.4,14.28,14.39,18500,0.0,0
2010-02-17,14.37,14.44,14.3,14.4,17600,0.0,0
2010-02-18,14.36,14.44,14.34,14.4,19700,0.0,0
2010-02-19,14.2,14.38,14.2,14.3,23700,0.0,0
2010-02-22,14.5,14.57,14.38,14.47,37000,0.0,0
