Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-15,0.0,0.03,0.02,0.02,893355,0.0,0.0
1981-12-16,0.0,0.03,0.02,0.02,199001,0.0,0.0
1981-12-17,0.0,0.03,0.02,0.02,483423,0.0,0.0
1981-12-18,0.0,0.02,0.02,0.02,33405,0.0,0.0
1981-12-21,0.0,0.02,0.02,0.02,54403,0.0,0.0
1981-12-22,0.0,0.02,0.02,0.02,30065,0.0,0.0
1981-12-23,0.0,0.03,0.02,0.02,19566,0.0,0.0
1981-12-24,0.0,0.03,0.02,0.02,20043,0.0,0.0
1981-12-28,0.0,0.03,0.02,0.02,44381,0.0,0.0
1981-12-29,0.0,0.03,0.03,0.03,40564,0.0,0.0
1981-12-30,0.0,0.03,0.03,0.03,32451,0.0,0.0
1981-12-31,0.0,0.03,0.03,0.03,26724,0.0,0.0
1982-01-04,0.0,0.03,0.03,0.03,16225,0.0,0.0
1982-01-05,0.0,0.03,0.02,0.02,10976,0.0,0.0
1982-01-06,0.0,0.02,0.02,0.02,10976,0.0,0.0
1982-01-07,0.0,0.03,0.03,0.03,11930,0.0,0.0
1982-01-08,0.0,0.03,0.03,0.03,3818,0.0,0.0
1982-01-11,0.0,0.03,0.03,0.03,105943,0.0,0.0
1982-01-12,0.0,0.03,0.02,0.02,48199,0.0,0.0
1982-01-13,0.0,0.02,0.02,0.02,5249,0.0,0.0
1982-01-14,0.0,0.02,0.02,0.02,4295,0.0,0.0
1982-01-15,0.0,0.02,0.02,0.02,1909,0.0,0.0
1982-01-18,0.0,0.02,0.02,0.02,3818,0.0,0.0
1982-01-19,0.0,0.02,0.02,0.02,6204,0.0,0.0
1982-01-20,0.0,0.02,0.02,0.02,5249,0.0,0.0
1982-01-21,0.0,0.02,0.02,0.02,477,0.0,0.0
1982-01-22,0.0,0.02,0.02,0.02,9067,0.0,0.0
1982-01-25,0.0,0.02,0.02,0.02,3818,0.0,0.0
1982-01-26,0.0,0.02,0.02,0.02,2386,0.0,0.0
1982-01-27,0.0,0.02,0.02,0.02,2386,0.0,0.0
1982-01-28,0.0,0.02,0.02,0.02,2386,0.0,0.0
1982-01-29,0.0,0.02,0.02,0.02,2863,0.0,0.0
1982-02-01,0.0,0.02,0.02,0.02,6204,0.0,0.0
1982-02-02,0.0,0.02,0.02,0.02,23384,0.0,0.0
1982-02-03,0.0,0.02,0.02,0.02,20043,0.0,0.0
1982-02-04,0.0,0.02,0.02,0.02,35791,0.0,0.0
1982-02-05,0.0,0.02,0.02,0.02,2386,0.0,0.0
1982-02-08,0.0,0.02,0.02,0.02,4295,0.0,0.0
1982-02-09,0.0,0.02,0.02,0.02,477,0.0,0.0
1982-02-10,0.0,0.02,0.02,0.02,1909,0.0,0.0
1982-02-11,0.0,0.02,0.02,0.02,4772,0.0,0.0
1982-02-12,0.0,0.02,0.02,0.02,12885,0.0,0.0
1982-02-16,0.0,0.02,0.02,0.02,6204,0.0,0.0
1982-02-17,0.0,0.02,0.02,0.02,17180,0.0,0.0
1982-02-18,0.0,0.02,0.02,0.02,7158,0.0,0.0
1982-02-19,0.0,0.02,0.02,0.02,187070,0.0,0.0
1982-02-22,0.0,0.02,0.02,0.02,35314,0.0,0.0
1982-02-23,0.0,0.02,0.02,0.02,5249,0.0,0.0
1982-02-24,0.0,0.02,0.02,0.02,3341,0.0,0.0
1982-02-25,0.0,0.02,0.02,0.02,2863,0.0,0.0
1982-02-26,0.0,0.02,0.02,0.02,6204,0.0,0.0
1982-03-01,0.0,0.02,0.02,0.02,7158,0.0,0.0
1982-03-02,0.0,0.02,0.02,0.02,8590,0.0,0.0
1982-03-03,0.0,0.02,0.02,0.02,477,0.0,0.0
1982-03-04,0.0,0.02,0.02,0.02,5249,0.0,0.0
1982-03-05,0.0,0.02,0.02,0.02,4772,0.0,0.0
1982-03-08,0.0,0.02,0.02,0.02,6204,0.0,0.0
1982-03-09,0.0,0.02,0.02,0.02,83513,0.0,0.0
1982-03-10,0.0,0.02,0.02,0.02,954,0.0,0.0
1982-03-11,0.0,0.02,0.02,0.02,9544,0.0,0.0
1982-03-12,0.02,0.02,0.02,0.02,0,0.0,0.0
1982-03-15,0.0,0.02,0.02,0.02,2386,0.0,0.0
1982-03-16,0.0,0.02,0.02,0.02,13839,0.0,0.0
1982-03-17,0.02,0.02,0.02,0.02,0,0.0,0.0
1982-03-18,0.0,0.02,0.02,0.02,49631,0.0,0.0
1982-03-19,0.0,0.02,0.02,0.02,10976,0.0,0.0
1982-03-22,0.0,0.02,0.02,0.02,25293,0.0,0.0
1982-03-23,0.0,0.02,0.02,0.02,1909,0.0,0.0
1982-03-24,0.0,0.02,0.02,0.02,5249,0.0,0.0
1982-03-25,0.0,0.02,0.02,0.02,6204,0.0,0.0
1982-03-26,0.0,0.02,0.02,0.02,2863,0.0,0.0
1982-03-29,0.0,0.02,0.02,0.02,477,0.0,0.0
1982-03-30,0.02,0.02,0.02,0.02,0,0.0,0.0
1982-03-31,0.0,0.02,0.02,0.02,477,0.0,0.0
1982-04-01,0.0,0.02,0.02,0.02,954,0.0,0.0
1982-04-02,0.0,0.02,0.02,0.02,1909,0.0,0.0
1982-04-05,0.0,0.02,0.02,0.02,3818,0.0,0.0
1982-04-06,0.0,0.02,0.02,0.02,2863,0.0,0.0
1982-04-07,0.02,0.02,0.02,0.02,0,0.0,0.0
1982-04-08,0.0,0.02,0.02,0.02,134576,0.0,0.0
1982-04-12,0.0,0.02,0.02,0.02,28633,0.0,0.0
1982-04-13,0.0,0.02,0.02,0.02,2863,0.0,0.0
1982-04-14,0.0,0.02,0.02,0.02,4772,0.0,0.0
1982-04-15,0.0,0.02,0.02,0.02,14317,0.0,0.0
1982-04-16,0.0,0.02,0.02,0.02,31019,0.0,0.0
1982-04-19,0.0,0.02,0.02,0.02,31019,0.0,0.0
1982-04-20,0.0,0.02,0.02,0.02,12885,0.0,0.0
1982-04-21,0.0,0.02,0.02,0.02,3341,0.0,0.0
1982-04-22,0.0,0.02,0.02,0.02,10976,0.0,0.0
1982-04-23,0.0,0.02,0.02,0.02,5249,0.0,0.0
1982-04-26,0.0,0.02,0.02,0.02,33405,0.0,0.0
1982-04-27,0.0,0.02,0.02,0.02,15748,0.0,0.0
1982-04-28,0.0,0.02,0.02,0.02,3818,0.0,0.0
1982-04-29,0.0,0.02,0.02,0.02,7158,0.0,0.0
1982-04-30,0.0,0.02,0.02,0.02,10499,0.0,0.0
1982-05-03,0.0,0.02,0.02,0.02,4772,0.0,0.0
1982-05-04,0.0,0.03,0.02,0.03,41995,0.0,0.0
1982-05-05,0.0,0.03,0.03,0.03,117873,0.0,0.0
1982-05-06,0.0,0.03,0.03,0.03,76355,0.0,0.0
1982-05-07,0.0,0.03,0.03,0.03,104511,0.0,0.0
1982-05-10,0.0,0.03,0.03,0.03,22429,0.0,0.0
1982-05-11,0.0,0.03,0.03,0.03,9067,0.0,0.0
1982-05-12,0.0,0.03,0.03,0.03,222862,0.0,0.0
1982-05-13,0.0,0.03,0.03,0.03,26724,0.0,0.0
1982-05-14,0.0,0.03,0.03,0.03,231929,0.0,0.0
1982-05-17,0.0,0.03,0.03,0.03,27679,0.0,0.0
1982-05-18,0.0,0.03,0.03,0.03,11453,0.0,0.0
1982-05-19,0.0,0.03,0.03,0.03,33883,0.0,0.0
1982-05-20,0.0,0.03,0.03,0.03,26247,0.0,0.0
1982-05-21,0.0,0.03,0.03,0.03,20043,0.0,0.0
1982-05-24,0.0,0.03,0.03,0.03,35791,0.0,0.0
1982-05-25,0.0,0.03,0.03,0.03,31019,0.0,0.0
1982-05-26,0.0,0.03,0.03,0.03,3818,0.0,0.0
1982-05-27,0.0,0.03,0.02,0.02,6681,0.0,0.0
1982-05-28,0.0,0.02,0.02,0.02,6681,0.0,0.0
1982-06-01,0.0,0.02,0.02,0.02,2386,0.0,0.0
1982-06-02,0.0,0.02,0.02,0.02,9067,0.0,0.0
1982-06-03,0.0,0.02,0.02,0.02,7158,0.0,0.0
1982-06-04,0.0,0.02,0.02,0.02,2863,0.0,0.0
1982-06-07,0.0,0.02,0.02,0.02,2863,0.0,0.0
1982-06-08,0.0,0.02,0.02,0.02,4295,0.0,0.0
1982-06-09,0.0,0.02,0.02,0.02,954,0.0,0.0
1982-06-10,0.0,0.03,0.02,0.03,26247,0.0,0.0
1982-06-11,0.0,0.03,0.02,0.03,5727,0.0,0.0
1982-06-14,0.0,0.03,0.03,0.03,2386,0.0,0.0
1982-06-15,0.0,0.03,0.03,0.03,5249,0.0,0.0
1982-06-16,0.03,0.03,0.03,0.03,0,0.0,0.0
1982-06-17,0.0,0.03,0.03,0.03,2863,0.0,0.0
1982-06-18,0.0,0.02,0.02,0.02,7636,0.0,0.0
1982-06-21,0.0,0.03,0.02,0.03,17657,0.0,0.0
1982-06-22,0.0,0.03,0.03,0.03,18612,0.0,0.0
1982-06-23,0.0,0.03,0.03,0.03,405159,0.0,0.0
1982-06-24,0.0,0.03,0.02,0.02,103079,0.0,0.0
1982-06-25,0.0,0.02,0.02,0.02,47245,0.0,0.0
1982-06-28,0.0,0.02,0.02,0.02,21475,0.0,0.0
1982-06-29,0.0,0.02,0.02,0.02,15748,0.0,0.0
1982-06-30,0.0,0.02,0.02,0.02,52017,0.0,0.0
1982-07-01,0.0,0.02,0.02,0.02,20998,0.0,0.0
1982-07-02,0.0,0.02,0.02,0.02,30542,0.0,0.0
1982-07-06,0.0,0.02,0.02,0.02,12408,0.0,0.0
1982-07-07,0.0,0.02,0.02,0.02,28633,0.0,0.0
