Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,455.2,443.45,443.45,500,0.0,0.0
1980-03-18,0.0,446.81,440.09,443.45,700,0.0,0.0
1980-03-19,0.0,463.6,446.81,460.24,2100,0.0,0.0
1980-03-20,0.0,466.96,463.6,466.96,200,0.0,0.0
1980-03-21,0.0,466.96,461.92,465.28,100,0.0,0.0
1980-03-24,0.0,461.92,450.16,453.52,300,0.0,0.0
1980-03-25,0.0,451.84,445.13,446.81,400,0.0,0.0
1980-03-26,0.0,453.52,450.16,451.84,100,0.0,0.0
1980-03-27,0.0,446.81,386.34,398.09,1300,0.0,0.0
1980-03-28,0.0,416.57,409.85,409.85,400,0.0,0.0
1980-03-31,0.0,421.61,408.17,421.61,300,0.0,0.0
1980-04-01,0.0,424.97,418.25,424.97,100,0.0,0.0
1980-04-02,0.0,431.69,426.65,431.69,900,0.0,0.0
1980-04-03,0.0,435.05,430.01,433.37,400,0.0,0.0
1980-04-07,0.0,431.69,413.21,413.21,100,0.0,0.0
1980-04-08,0.0,409.85,403.13,406.49,700,0.0,0.0
1980-04-09,0.0,423.29,411.53,423.29,400,0.0,0.0
1980-04-10,0.0,433.37,426.65,433.37,0,0.0,0.0
1980-04-11,0.0,448.49,441.77,448.49,200,0.0,0.0
1980-04-14,0.0,446.81,440.09,441.77,100,0.0,0.0
1980-04-15,0.0,443.45,433.37,433.37,0,0.0,0.0
1980-04-16,0.0,430.01,421.61,421.61,0,0.0,0.0
1980-04-17,0.0,421.61,416.57,421.61,200,0.0,0.0
1980-04-18,0.0,428.33,419.93,428.33,100,0.0,0.0
1980-04-21,0.0,428.33,416.57,416.57,500,0.0,0.0
1980-04-22,0.0,436.73,419.93,436.73,1700,0.0,0.0
1980-04-23,0.0,441.77,438.41,438.41,200,0.0,0.0
1980-04-24,0.0,441.77,435.05,441.77,200,0.0,0.0
1980-04-25,0.0,453.52,443.45,451.84,200,0.0,0.0
1980-04-28,0.0,455.2,451.84,455.2,300,0.0,0.0
1980-04-29,0.0,463.6,456.88,463.6,400,0.0,0.0
1980-04-30,0.0,466.96,463.6,466.96,100,0.0,0.0
1980-05-01,0.0,470.32,466.96,470.32,300,0.0,0.0
1980-05-02,0.0,473.68,468.64,468.64,300,0.0,0.0
1980-05-05,0.0,473.68,466.96,468.64,200,0.0,0.0
1980-05-06,0.0,480.4,472.0,480.4,200,0.0,0.0
1980-05-07,0.0,482.08,475.36,475.36,100,0.0,0.0
1980-05-08,0.0,473.68,470.32,470.32,100,0.0,0.0
1980-05-09,0.0,473.68,470.32,470.32,100,0.0,0.0
1980-05-12,0.0,473.68,468.64,473.68,400,0.0,0.0
1980-05-13,0.0,477.04,473.68,475.36,300,0.0,0.0
1980-05-14,0.0,477.04,470.32,470.32,100,0.0,0.0
1980-05-15,0.0,470.32,466.96,466.96,100,0.0,0.0
1980-05-16,0.0,463.6,460.24,463.6,400,0.0,0.0
1980-05-19,0.0,460.24,456.88,456.88,200,0.0,0.0
1980-05-20,0.0,455.2,445.13,446.81,300,0.0,0.0
1980-05-21,0.0,451.84,446.81,450.16,500,0.0,0.0
1980-05-22,0.0,465.28,453.52,465.28,400,0.0,0.0
1980-05-23,0.0,470.32,463.6,470.32,1300,0.0,0.0
1980-05-27,0.0,470.32,465.28,470.32,100,0.0,0.0
1980-05-28,0.0,470.32,463.6,470.32,600,0.0,0.0
1980-05-29,0.0,480.4,473.68,480.4,500,0.0,0.0
1980-05-30,0.0,477.04,473.68,473.68,600,0.0,0.0
1980-06-02,0.0,477.04,473.68,473.68,0,0.0,0.0
1980-06-03,0.0,497.2,475.36,495.52,300,0.0,0.0
1980-06-04,0.0,503.92,492.16,503.92,500,0.0,0.0
1980-06-05,0.0,517.35,507.28,513.99,300,0.0,0.0
1980-06-06,0.0,520.71,513.99,517.35,300,0.0,0.0
1980-06-09,0.0,520.71,507.28,510.63,200,0.0,0.0
1980-06-10,0.0,510.63,503.92,507.28,100,0.0,0.0
1980-06-11,0.0,527.43,510.63,527.43,200,0.0,0.0
1980-06-12,0.0,527.43,520.71,520.71,200,0.0,0.0
1980-06-13,0.0,527.43,524.07,524.07,700,0.0,0.0
1980-06-16,0.0,524.07,517.35,524.07,200,0.0,0.0
1980-06-17,0.0,534.15,527.43,530.79,400,0.0,0.0
1980-06-18,0.0,540.87,534.15,537.51,1200,0.0,0.0
1980-06-19,0.0,547.59,529.11,529.11,1100,0.0,0.0
1980-06-20,0.0,530.79,520.71,527.43,500,0.0,0.0
1980-06-23,0.0,539.19,529.11,539.19,100,0.0,0.0
1980-06-24,0.0,554.31,539.19,554.31,900,0.0,0.0
1980-06-25,0.0,552.63,547.59,550.95,1200,0.0,0.0
1980-06-26,0.0,550.95,544.23,544.23,1000,0.0,0.0
1980-06-27,0.0,550.95,540.87,547.59,200,0.0,0.0
1980-06-30,0.0,549.27,525.75,525.75,400,0.0,0.0
1980-07-01,0.0,539.19,529.11,539.19,600,0.0,0.0
1980-07-02,0.0,547.59,539.19,540.87,200,0.0,0.0
1980-07-03,0.0,549.27,537.51,549.27,600,0.0,0.0
1980-07-07,0.0,554.31,547.59,554.31,500,0.0,0.0
1980-07-08,0.0,554.31,537.51,539.19,100,0.0,0.0
1980-07-09,0.0,540.87,534.15,534.15,500,0.0,0.0
1980-07-10,0.0,535.83,530.79,530.79,1200,0.0,0.0
1980-07-11,0.0,550.95,529.11,550.95,400,0.0,0.0
1980-07-14,0.0,554.31,547.59,554.31,300,0.0,0.0
1980-07-15,0.0,584.54,555.99,574.46,1500,0.0,0.0
1980-07-16,0.0,591.26,574.46,587.9,600,0.0,0.0
1980-07-17,0.0,587.9,581.18,586.22,200,0.0,0.0
1980-07-18,0.0,614.78,582.86,611.42,3500,0.0,0.0
1980-07-21,0.0,611.42,609.74,611.42,300,0.0,0.0
1980-07-22,0.0,611.42,592.94,604.7,600,0.0,0.0
1980-07-23,0.0,608.06,596.3,604.7,600,0.0,0.0
1980-07-24,0.0,608.06,606.38,606.38,0,0.0,0.0
1980-07-25,0.0,611.42,604.7,604.7,700,0.0,0.0
1980-07-28,0.0,608.06,604.7,604.7,400,0.0,0.0
1980-07-29,0.0,608.06,601.34,603.02,0,0.0,0.0
1980-07-30,0.0,603.02,591.26,599.66,100,0.0,0.0
1980-07-31,0.0,596.3,584.54,586.22,700,0.0,0.0
1980-08-01,0.0,589.58,582.86,582.86,1200,0.0,0.0
1980-08-04,0.0,582.86,574.46,577.82,800,0.0,0.0
1980-08-05,0.0,594.62,582.86,589.58,300,0.0,0.0
1980-08-06,0.0,592.94,587.9,587.9,700,0.0,0.0
1980-08-07,0.0,604.7,591.26,592.94,400,0.0,0.0
1980-08-08,0.0,621.5,597.98,614.78,1200,0.0,0.0
1980-08-11,0.0,616.46,604.7,614.78,700,0.0,0.0
1980-08-12,0.0,616.46,608.06,608.06,700,0.0,0.0
1980-08-13,0.0,604.7,591.26,591.26,1000,0.0,0.0
1980-08-14,0.0,608.06,591.26,608.06,400,0.0,0.0
1980-08-15,0.0,619.82,613.1,618.14,400,0.0,0.0
1980-08-18,0.0,621.5,608.06,614.78,1100,0.0,0.0
1980-08-19,0.0,611.42,604.7,608.06,400,0.0,0.0
1980-08-20,0.0,608.06,601.34,608.06,400,0.0,0.0
1980-08-21,0.0,631.57,611.42,631.57,1900,0.0,0.0
1980-08-22,0.0,655.09,645.01,655.09,1100,0.0,0.0
1980-08-25,0.0,658.45,651.73,651.73,800,0.0,0.0
1980-08-26,0.0,653.41,646.69,646.69,1100,0.0,0.0
1980-08-27,0.0,648.37,641.65,645.01,300,0.0,0.0
1980-08-28,0.0,645.01,638.29,638.29,600,0.0,0.0
1980-08-29,0.0,634.93,626.54,629.89,200,0.0,0.0
1980-09-02,0.0,629.89,626.54,629.89,900,0.0,0.0
1980-09-03,0.0,658.45,633.25,658.45,1300,0.0,0.0
1980-09-04,0.0,675.25,665.17,665.17,800,0.0,0.0
1980-09-05,0.0,663.49,660.13,661.81,100,0.0,0.0
1980-09-08,0.0,666.85,658.45,665.17,400,0.0,0.0
1980-09-09,0.0,665.17,658.45,665.17,200,0.0,0.0
1980-09-10,0.0,683.65,666.85,683.65,400,0.0,0.0
1980-09-11,0.0,718.92,685.33,718.92,500,0.0,0.0
1980-09-12,0.0,739.08,722.28,729.0,1200,0.0,0.0
1980-09-15,0.0,732.36,722.28,729.0,500,0.0,0.0
1980-09-16,0.0,730.68,725.64,729.0,400,0.0,0.0
1980-09-17,0.0,752.51,725.64,749.15,1600,0.0,0.0
1980-09-18,0.0,752.51,734.04,737.4,1100,0.0,0.0
1980-09-19,0.0,739.08,735.72,739.08,300,0.0,0.0
1980-09-22,0.0,744.12,737.4,740.76,300,0.0,0.0
1980-09-23,0.0,749.16,735.72,737.4,600,0.0,0.0
1980-09-24,0.0,735.72,722.28,734.04,700,0.0,0.0
1980-09-25,0.0,737.4,725.64,725.64,1300,0.0,0.0
1980-09-26,0.0,729.0,712.2,712.2,700,0.0,0.0
1980-09-29,0.0,707.16,692.04,692.04,1100,0.0,0.0
1980-09-30,0.0,700.44,685.33,700.44,700,0.0,0.0
1980-10-01,0.0,705.48,697.08,705.48,1000,0.0,0.0
1980-10-02,0.0,722.28,715.56,720.6,400,0.0,0.0
1980-10-03,0.0,749.15,715.56,742.44,2800,0.0,0.0
1980-10-06,0.0,760.91,750.83,760.91,600,0.0,0.0
1980-10-07,0.0,776.03,755.87,759.23,1800,0.0,0.0
1980-10-08,0.0,769.31,754.19,762.59,400,0.0,0.0
1980-10-09,0.0,769.31,759.23,759.23,100,0.0,0.0
1980-10-10,0.0,762.59,752.51,755.87,700,0.0,0.0
1980-10-13,0.0,762.59,752.51,762.59,300,0.0,0.0
1980-10-14,0.0,762.59,759.23,759.23,700,0.0,0.0
1980-10-15,0.0,779.39,759.23,779.39,1400,0.0,0.0
1980-10-16,0.0,802.91,784.43,787.79,1200,0.0,0.0
1980-10-17,0.0,797.87,776.03,787.79,1300,0.0,0.0
1980-10-20,0.0,792.83,782.75,792.83,300,0.0,0.0
1980-10-21,0.0,796.19,789.47,789.47,1400,0.0,0.0
1980-10-22,0.0,797.87,791.15,797.87,1100,0.0,0.0
1980-10-23,0.0,797.87,782.75,782.75,2200,0.0,0.0
1980-10-24,0.0,786.11,774.35,786.11,700,0.0,0.0
1980-10-27,0.0,782.75,765.95,765.95,100,0.0,0.0
1980-10-28,0.0,776.03,759.23,769.31,600,0.0,0.0
1980-10-29,0.0,770.99,760.91,760.91,200,0.0,1.5
1980-10-30,0.0,768.47,750.83,753.35,800,0.0,0.0
1980-10-31,0.0,783.59,760.91,783.59,1700,0.0,0.0
1980-11-03,0.0,796.19,776.03,776.03,200,0.0,0.0
1980-11-05,0.0,813.82,765.95,765.95,1500,0.0,0.0
1980-11-06,0.0,781.07,745.8,781.07,1700,0.0,0.0
1980-11-07,0.0,781.07,765.95,773.51,2000,0.0,0.0
1980-11-10,0.0,773.51,765.95,773.51,100,0.0,0.0
1980-11-11,0.0,836.5,791.15,833.98,500,0.0,0.0
1980-11-12,0.0,902.01,841.54,902.01,1900,0.0,0.0
1980-11-13,0.0,975.08,937.28,970.04,1600,0.0,0.0
1980-11-14,0.0,997.75,975.08,995.23,2200,0.0,0.0
1980-11-17,0.0,1017.91,967.52,997.75,1200,0.0,0.0
1980-11-18,0.0,1038.07,1010.35,1027.99,700,0.0,0.0
1980-11-19,0.0,1063.26,1038.07,1038.07,1300,0.0,0.0
1980-11-20,0.0,1048.14,1033.03,1045.63,1400,0.0,0.0
1980-11-21,0.0,1093.5,1043.11,1083.42,500,0.0,0.0
1980-11-24,0.0,1073.34,1048.14,1048.14,2100,0.0,0.0
1980-11-25,0.0,1078.38,1043.11,1078.38,200,0.0,0.0
1980-11-26,0.0,1085.94,1068.3,1073.34,700,0.0,0.0
1980-11-28,0.0,1065.78,1053.18,1060.74,200,0.0,0.0
1980-12-01,0.0,1053.18,1027.99,1027.99,900,0.0,0.0
1980-12-02,0.0,1022.95,977.6,992.71,800,0.0,0.0
1980-12-03,0.0,1027.99,1007.83,1022.95,400,0.0,0.0
1980-12-04,0.0,1035.55,1012.87,1035.55,700,0.0,0.0
1980-12-05,0.0,1038.07,1002.79,1017.91,1000,0.0,0.0
1980-12-08,0.0,1007.83,972.56,972.56,700,0.0,0.0
1980-12-09,0.0,1007.83,947.36,1002.79,1200,0.0,0.0
1980-12-10,0.0,1038.07,997.75,997.75,4700,0.0,0.0
1980-12-11,0.0,987.67,962.48,962.48,1500,0.0,0.0
1980-12-12,0.0,1007.83,977.6,1007.83,300,0.0,0.0
1980-12-15,0.0,1017.91,1002.79,1005.31,200,0.0,0.0
1980-12-16,0.0,1007.83,992.71,1000.27,400,0.0,0.0
1980-12-17,0.0,1038.07,1007.83,1038.07,600,0.0,0.0
1980-12-18,0.0,1075.86,1043.11,1065.78,1500,0.0,0.0
1980-12-19,0.0,1096.02,1058.22,1083.42,400,0.0,0.0
1980-12-22,0.0,1078.38,1068.3,1075.86,400,0.0,0.0
1980-12-23,0.0,1068.3,1048.14,1050.66,300,0.0,0.0
1980-12-24,0.0,1048.14,1030.51,1030.51,300,0.0,0.0
1980-12-26,0.0,1030.51,1022.95,1022.95,0,0.0,0.0
1980-12-29,0.0,1038.07,1027.99,1027.99,200,0.0,0.0
1980-12-30,0.0,1027.99,1002.79,1002.79,200,0.0,0.0
1980-12-31,0.0,1027.99,1000.27,1022.95,300,0.0,0.0
1981-01-02,0.0,1045.63,1027.99,1035.55,100,0.0,0.0
1981-01-05,0.0,1068.3,1040.59,1048.14,700,0.0,0.0
1981-01-06,0.0,1058.22,990.19,1002.79,600,0.0,0.0
1981-01-07,0.0,982.64,947.36,967.52,2500,0.0,0.0
1981-01-08,0.0,975.08,962.48,972.56,700,0.0,0.0
1981-01-09,0.0,997.75,967.52,972.56,1400,0.0,0.0
1981-01-12,0.0,982.64,970.04,970.04,200,0.0,0.0
1981-01-13,0.0,980.12,972.56,975.08,100,0.0,0.0
1981-01-14,0.0,987.68,975.08,975.08,1000,0.0,0.0
1981-01-15,0.0,982.64,970.04,975.08,300,0.0,0.0
1981-01-16,0.0,980.12,970.04,975.08,100,0.0,0.0
1981-01-19,0.0,985.16,972.56,977.6,200,0.0,0.0
1981-01-20,0.0,995.23,972.56,972.56,300,0.0,0.0
1981-01-21,0.0,977.6,967.52,975.08,1300,0.0,0.0
1981-01-22,0.0,977.6,967.52,967.52,600,0.0,0.0
1981-01-23,0.0,970.04,957.44,957.44,800,0.0,0.0
1981-01-26,0.0,962.48,957.44,957.44,300,0.0,0.0
1981-01-27,0.0,962.48,957.44,957.44,100,0.0,0.0
1981-01-28,0.0,959.96,952.4,952.4,900,0.0,0.0
1981-01-29,0.0,962.48,947.36,947.36,100,0.0,0.0
1981-01-30,0.0,947.36,907.05,907.05,1700,0.0,0.0
1981-02-02,0.0,886.89,821.38,836.5,1400,0.0,0.0
1981-02-03,0.0,836.5,806.27,826.42,1600,0.0,0.0
1981-02-04,0.0,826.42,811.3,811.3,500,0.0,0.0
1981-02-05,0.0,831.46,813.82,831.46,400,0.0,0.0
1981-02-06,0.0,846.58,828.94,828.94,700,0.0,0.0
1981-02-09,0.0,831.46,826.42,826.42,0,0.0,0.0
1981-02-10,0.0,821.38,811.3,811.3,1100,0.0,0.0
1981-02-11,0.0,823.9,796.19,796.19,700,0.0,0.0
1981-02-12,0.0,801.23,765.95,770.99,200,0.0,0.0
1981-02-13,0.0,773.51,765.95,768.47,200,0.0,0.0
1981-02-17,0.0,778.55,765.95,773.51,200,0.0,0.0
1981-02-18,0.0,808.78,778.55,801.23,1300,0.0,0.0
1981-02-19,0.0,813.82,796.19,801.23,2000,0.0,0.0
