Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-06-14,27.38,29.06,27.38,28.75,662600,0.0,0
2007-06-15,28.94,28.94,28.31,28.72,1150000,0.0,0
2007-06-18,28.9,28.94,27.49,27.49,853600,0.0,0
2007-06-19,27.49,27.9,26.72,27.16,951000,0.0,0
2007-06-20,27.26,27.26,26.15,26.61,1721800,0.0,0
2007-06-21,26.64,27.16,26.46,27.16,537700,0.0,0
2007-06-22,27.38,29.23,27.24,28.83,250300,0.0,0
2007-06-25,28.94,29.6,28.31,29.05,203200,0.0,0
2007-06-26,29.09,29.46,29.01,29.23,119600,0.0,0
2007-06-27,29.23,29.46,28.86,29.42,270700,0.0,0
2007-06-28,29.42,29.57,29.23,29.31,151200,0.0,0
2007-06-29,29.48,29.53,28.68,28.91,1701900,0.0,0
2007-07-02,29.01,30.07,28.85,29.58,2000500,0.0,0
2007-07-03,29.59,30.06,28.92,29.35,3752400,0.0,0
2007-07-05,29.31,30.55,29.04,29.2,4277800,0.0,0
2007-07-06,29.16,29.54,28.72,29.47,3950700,0.0,0
2007-07-09,29.27,29.9,28.48,29.83,5369500,0.0,0
2007-07-10,29.23,29.23,28.48,28.86,5483200,0.0,0
2007-07-11,28.86,29.05,28.64,28.91,5964800,0.0,0
2007-07-12,28.83,28.91,28.35,28.87,4094400,0.0,0
2007-07-13,28.35,29.52,28.12,29.21,2064600,0.0,0
2007-07-16,28.12,29.49,27.44,29.09,2514800,0.0,0
2007-07-17,28.88,29.23,28.32,28.76,3913400,0.0,0
2007-07-18,27.35,28.76,27.09,28.08,4909400,0.0,0
2007-07-19,28.15,28.46,27.85,28.2,2078400,0.0,0
2007-07-20,28.2,28.26,28.03,28.15,3406800,0.0,0
2007-07-23,25.98,28.86,25.98,28.8,2164400,0.0,0
2007-07-24,28.66,29.03,28.22,28.42,2119000,0.0,0
2007-07-25,28.31,28.55,28.12,28.47,2421500,0.0,0
2007-07-26,28.12,28.35,27.18,27.8,3610800,0.0,0
2007-07-27,26.64,28.22,26.44,27.35,2912600,0.0,0
2007-07-30,26.94,26.98,26.33,26.68,2915500,0.0,0
2007-07-31,26.68,26.7,26.42,26.51,2148800,0.0,0
2007-08-01,25.84,26.64,25.73,26.07,3771700,0.0,0
2007-08-02,25.61,26.27,25.23,26.1,2519100,0.0,0
2007-08-03,25.98,26.22,25.9,25.97,2445000,0.0,0
2007-08-06,26.05,26.14,25.89,26.01,3896600,0.0,0
2007-08-07,25.79,26.18,25.16,25.79,2624200,0.0,0
2007-08-08,23.75,26.25,23.75,25.71,3355800,0.0,0
2007-08-09,25.39,25.73,24.88,24.96,2058600,0.0,0
2007-08-10,24.96,24.96,23.96,24.28,6034600,0.0,0
2007-08-13,24.42,24.61,23.97,24.42,3860000,0.0,0
2007-08-14,24.52,24.61,23.77,24.02,6021900,0.0,0
2007-08-15,24.08,24.6,24.05,24.39,4280500,0.0,0
2007-08-16,23.73,24.61,23.68,24.45,4133300,0.0,0
2007-08-17,25.09,26.07,24.79,25.98,3026600,0.0,0
2007-08-20,25.81,26.63,25.61,25.87,1948800,0.0,0
2007-08-21,25.09,25.88,25.05,25.66,2257600,0.0,0
2007-08-22,25.72,26.16,25.39,25.8,2233000,0.0,0
2007-08-23,26.09,26.3,25.81,26.17,3054100,0.0,0
2007-08-24,26.11,27.38,25.98,26.84,2105000,0.0,0
2007-08-27,26.79,27.06,26.2,26.25,1431200,0.0,0
2007-08-28,25.87,26.37,25.83,25.99,2243100,0.0,0
2007-08-29,26.14,26.27,25.76,26.17,1615900,0.0,0
2007-08-30,25.96,26.62,25.63,25.87,1590000,0.0,0
2007-08-31,25.56,26.31,25.16,25.81,2286900,0.0,0
2007-09-04,25.81,25.92,25.39,25.84,1909800,0.0,0
2007-09-05,25.53,25.73,25.13,25.67,2133000,0.0,0
2007-09-06,25.44,27.15,25.36,26.07,3414500,0.0,0
2007-09-07,25.76,25.76,24.53,24.79,1869400,0.0,0
2007-09-10,24.73,25.13,24.55,24.57,2339000,0.0,0
2007-09-11,24.62,24.76,24.13,24.45,1921100,0.0,0
2007-09-12,24.29,24.56,23.98,24.1,2867900,0.0,0
2007-09-13,24.43,24.59,24.16,24.34,2351800,0.0,0
2007-09-14,24.19,24.93,24.15,24.47,2744500,0.0,0
2007-09-17,24.28,24.65,24.12,24.53,2246100,0.0,0
2007-09-18,24.45,25.9,24.14,24.86,2236900,0.0,0
2007-09-19,25.13,25.6,24.08,24.48,13839200,0.0,0
2007-09-20,24.48,24.91,24.28,24.76,1813000,0.0,0
2007-09-21,25.06,25.14,24.56,24.76,2627700,0.0,0
2007-09-24,24.82,24.95,24.45,24.71,1549200,0.0,0
2007-09-25,24.67,24.99,24.53,24.99,1516500,0.0,0
2007-09-26,25.35,26.16,25.33,25.56,3838100,0.0,0
2007-09-27,25.71,26.46,25.56,26.04,2099800,0.0,0
2007-09-28,26.02,26.4,25.9,26.33,1689100,0.14,0
2007-10-01,26.53,27.23,25.95,26.96,2717400,0.0,0
2007-10-02,26.75,26.94,26.54,26.71,3089200,0.0,0
2007-10-03,26.72,26.75,26.19,26.5,2326900,0.0,0
2007-10-04,26.5,27.1,25.95,26.68,3080200,0.0,0
2007-10-05,26.64,27.41,26.61,26.79,2334300,0.0,0
2007-10-08,26.92,27.74,26.88,27.58,1454000,0.0,0
2007-10-09,27.58,27.74,27.17,27.29,1705100,0.0,0
2007-10-10,27.04,27.58,27.0,27.37,5578300,0.0,0
2007-10-11,27.49,27.67,27.01,27.23,2205100,0.0,0
2007-10-12,27.11,27.56,27.02,27.49,1053800,0.0,0
2007-10-15,27.6,27.81,27.35,27.47,1559500,0.0,0
2007-10-16,27.49,27.64,27.18,27.49,1651000,0.0,0
2007-10-17,27.57,27.86,27.2,27.42,3160400,0.0,0
2007-10-18,27.32,27.44,27.23,27.4,1985200,0.0,0
2007-10-19,27.36,27.43,26.79,26.93,2755100,0.0,0
2007-10-22,26.67,26.97,26.21,26.51,2174900,0.0,0
2007-10-23,26.68,26.82,26.01,26.1,1272900,0.0,0
2007-10-24,26.08,26.08,25.18,25.68,1403600,0.0,0
2007-10-25,25.74,25.75,25.09,25.29,1674200,0.0,0
2007-10-26,25.47,25.63,24.88,25.04,1261800,0.0,0
2007-10-29,25.22,25.71,25.17,25.55,1365500,0.0,0
2007-10-30,25.45,26.41,25.32,26.01,1200900,0.0,0
2007-10-31,25.97,26.57,25.81,26.5,1849800,0.0,0
2007-11-01,26.47,26.75,26.02,26.13,1795700,0.0,0
2007-11-02,25.82,26.56,25.82,26.28,1401800,0.0,0
2007-11-05,26.18,26.18,24.92,25.09,1598700,0.0,0
2007-11-06,25.09,25.09,24.26,25.09,1189300,0.0,0
2007-11-07,24.79,24.88,24.19,24.51,3030400,0.0,0
2007-11-08,24.54,24.8,24.41,24.62,3261500,0.0,0
2007-11-09,24.25,24.68,23.61,24.2,3085100,0.0,0
2007-11-12,24.11,24.23,23.27,23.3,1948100,0.0,0
2007-11-13,23.32,24.83,23.3,24.04,1823200,0.0,0
2007-11-14,24.23,24.57,24.13,24.15,2809200,0.0,0
2007-11-15,24.01,24.63,23.76,24.6,2679700,0.0,0
2007-11-16,25.91,26.65,25.35,26.02,6458800,0.0,0
2007-11-19,25.81,26.59,25.81,26.04,4377100,0.0,0
2007-11-20,26.04,26.27,25.75,26.16,2640700,0.0,0
2007-11-21,25.89,26.42,25.67,26.01,2227100,0.0,0
2007-11-23,26.13,26.33,25.85,26.33,662200,0.0,0
2007-11-26,26.27,26.71,25.62,25.74,2325800,0.0,0
2007-11-27,25.82,26.01,25.31,25.62,4715300,0.0,0
2007-11-28,25.76,26.72,25.47,26.52,3414200,0.0,0
2007-11-29,26.39,27.36,26.3,27.2,1798100,0.0,0
2007-11-30,27.25,27.83,27.02,27.78,2650500,0.0,0
2007-12-03,27.5,27.95,27.5,27.69,2239000,0.0,0
2007-12-04,27.46,27.69,27.25,27.34,1436000,0.0,0
2007-12-05,27.55,27.55,27.05,27.34,2212900,0.0,0
2007-12-06,27.34,28.21,27.28,27.96,1866100,0.0,0
2007-12-07,27.95,28.09,27.55,27.81,1468900,0.0,0
2007-12-10,27.83,27.86,27.2,27.78,1351600,0.0,0
2007-12-11,27.76,28.15,27.07,27.13,2054500,0.0,0
2007-12-12,27.67,27.82,27.16,27.6,1974900,0.0,0
2007-12-13,27.4,27.77,27.15,27.46,2044900,0.0,0
2007-12-14,27.52,27.56,26.94,27.15,1398900,0.0,0
2007-12-17,26.98,27.49,26.82,27.14,3536300,0.0,0
2007-12-18,27.29,28.0,27.06,27.35,2270000,0.0,0
2007-12-19,27.49,27.72,27.15,27.34,1409100,0.0,0
2007-12-20,27.49,27.51,26.97,27.18,1987300,0.0,0
2007-12-21,27.52,28.34,27.39,27.7,3065400,0.0,0
2007-12-24,27.46,28.3,27.46,28.19,512100,0.0,0
2007-12-26,27.83,28.58,27.83,28.21,971900,0.0,0
2007-12-27,28.1,28.33,27.49,27.83,1526000,0.0,0
2007-12-28,28.1,28.34,27.51,28.09,1389600,0.0,0
2007-12-31,27.95,28.05,27.35,27.59,1213900,0.0,0
2008-01-02,27.59,27.68,26.92,27.32,2516600,0.0,0
2008-01-03,27.17,28.07,27.17,27.26,1974000,0.0,0
2008-01-04,27.05,27.23,26.33,26.39,2505700,0.0,0
2008-01-07,26.53,26.58,25.29,25.46,2236400,0.0,0
2008-01-08,25.47,25.53,24.38,24.46,2672500,0.0,0
2008-01-09,24.39,24.91,24.05,24.8,2242300,0.0,0
2008-01-10,24.66,25.47,24.59,25.24,2806200,0.14,0
