Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,1.14,1.14,1.14,1.14,14400,0.0,0.0
1973-02-22,1.13,1.13,1.13,1.13,1600,0.0,0.0
1973-02-23,1.09,1.09,1.09,1.09,20800,0.0,0.0
1973-02-26,1.07,1.07,1.07,1.07,4800,0.0,0.0
1973-02-27,0.9,0.9,0.9,0.9,190400,0.0,0.0
1973-02-28,0.9,0.9,0.9,0.9,140800,0.0,0.0
1973-03-01,0.97,0.97,0.97,0.97,40000,0.0,0.0
1973-03-02,1.01,1.01,1.01,1.01,44800,0.0,0.0
1973-03-05,1.0,1.0,1.0,1.0,17600,0.0,0.0
1973-03-06,1.0,1.0,1.0,1.0,0,0.0,0.0
1973-03-07,1.03,1.03,1.03,1.03,12800,0.0,0.0
1973-03-08,1.03,1.03,1.03,1.03,1600,0.0,0.0
1973-03-09,1.03,1.03,1.03,1.03,0,0.0,0.0
1973-03-12,1.02,1.02,1.02,1.02,4800,0.0,0.0
1973-03-13,1.0,1.0,1.0,1.0,3200,0.0,0.0
1973-03-14,1.0,1.0,1.0,1.0,0,0.0,0.0
1973-03-15,1.0,1.0,1.0,1.0,0,0.0,0.0
1973-03-16,1.0,1.0,1.0,1.0,3200,0.0,0.0
1973-03-19,1.0,1.0,1.0,1.0,147200,0.0,0.0
1973-03-20,1.01,1.01,1.01,1.01,14400,0.0,0.0
1973-03-21,1.0,1.0,1.0,1.0,25600,0.0,0.0
1973-03-22,0.89,0.89,0.89,0.89,665600,0.0,0.0
1973-03-23,0.88,0.88,0.88,0.88,27200,0.0,0.0
1973-03-26,0.86,0.86,0.86,0.86,14400,0.0,0.0
1973-03-27,0.88,0.88,0.88,0.88,105600,0.0,0.0
1973-03-28,0.88,0.88,0.88,0.88,27200,0.0,0.0
1973-03-29,0.88,0.88,0.88,0.88,102400,0.0,0.0
1973-03-30,0.87,0.87,0.87,0.87,8000,0.0,0.0
1973-04-02,0.78,0.78,0.78,0.78,422400,0.0,0.0
1973-04-03,0.87,0.87,0.87,0.87,200000,0.0,0.0
1973-04-04,0.88,0.88,0.88,0.88,20800,0.0,0.0
1973-04-05,0.85,0.85,0.85,0.85,6400,0.0,0.0
1973-04-06,0.85,0.85,0.85,0.85,14400,0.0,0.0
1973-04-09,0.86,0.86,0.86,0.86,3200,0.0,0.0
1973-04-10,0.86,0.86,0.86,0.86,9600,0.0,0.0
1973-04-11,0.87,0.87,0.87,0.87,41600,0.0,0.0
1973-04-12,0.88,0.88,0.88,0.88,33600,0.0,0.0
1973-04-13,0.88,0.88,0.88,0.88,6400,0.0,0.0
1973-04-16,0.87,0.87,0.87,0.87,1600,0.0,0.0
1973-04-17,0.89,0.89,0.89,0.89,8000,0.0,0.0
1973-04-18,0.88,0.88,0.88,0.88,8000,0.0,0.0
1973-04-19,0.87,0.87,0.87,0.87,12800,0.0,0.0
1973-04-23,0.91,0.91,0.91,0.91,33600,0.0,0.0
1973-04-24,0.91,0.91,0.91,0.91,51200,0.0,0.0
1973-04-25,0.92,0.92,0.92,0.92,40000,0.0,0.0
1973-04-26,0.95,0.95,0.95,0.95,30400,0.0,0.0
1973-04-27,0.94,0.94,0.94,0.94,9600,0.0,0.0
1973-04-30,0.95,0.95,0.95,0.95,16000,0.0,0.0
1973-05-01,0.95,0.95,0.95,0.95,11200,0.0,0.0
1973-05-02,0.96,0.96,0.96,0.96,17600,0.0,0.0
1973-05-03,0.0,0.97,0.95,0.97,19200,0.0,0.0
1973-05-04,0.0,1.07,0.98,1.07,54400,0.0,0.0
1973-05-07,0.0,1.09,1.04,1.04,44800,0.0,0.0
1973-05-08,0.0,1.04,1.03,1.04,9600,0.0,0.0
