Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-09-28,4.48,4.69,4.34,4.55,4127500,0.0,0.0
1994-09-29,4.48,4.55,4.48,4.48,644500,0.0,0.0
1994-09-30,4.48,4.76,4.48,4.76,574300,0.0,0.0
1994-10-03,4.62,4.76,4.62,4.62,226500,0.0,0.0
1994-10-04,4.76,4.76,4.55,4.55,251500,0.0,0.0
1994-10-05,4.48,4.62,4.41,4.51,505800,0.0,0.0
1994-10-06,4.55,4.69,4.48,4.55,106800,0.0,0.0
1994-10-07,4.55,4.83,4.55,4.79,108600,0.0,0.0
1994-10-10,4.83,4.97,4.83,4.97,92800,0.0,0.0
1994-10-11,4.97,5.11,4.9,4.9,98100,0.0,0.0
1994-10-12,5.04,5.04,4.9,4.9,86500,0.0,0.0
1994-10-13,4.9,5.04,4.9,5.04,120700,0.0,0.0
1994-10-14,5.04,5.04,4.9,5.04,28500,0.0,0.0
1994-10-17,5.04,5.04,4.9,4.97,60900,0.0,0.0
1994-10-18,5.04,5.04,4.9,5.04,10800,0.0,0.0
1994-10-19,5.04,5.04,4.9,5.04,10500,0.0,0.0
1994-10-20,4.9,5.04,4.9,4.9,30700,0.0,0.0
1994-10-21,5.04,5.11,4.9,5.11,168400,0.0,0.0
1994-10-24,5.04,5.18,5.04,5.18,89200,0.0,0.0
1994-10-25,5.04,5.39,5.04,5.35,166500,0.0,0.0
1994-10-26,5.39,5.53,5.32,5.32,130000,0.0,0.0
1994-10-27,5.53,5.53,5.32,5.32,51300,0.0,0.0
1994-10-28,5.32,5.53,5.32,5.49,82300,0.0,0.0
1994-10-31,5.32,5.53,5.32,5.49,30700,0.0,0.0
1994-11-01,5.32,5.39,4.76,4.97,547200,0.0,0.0
1994-11-02,4.97,4.97,4.76,4.83,426600,0.0,0.0
1994-11-03,5.04,5.04,4.83,5.04,20200,0.0,0.0
1994-11-04,4.83,5.04,4.83,4.83,87300,0.0,0.0
1994-11-07,4.97,4.97,4.76,4.76,74800,0.0,0.0
1994-11-08,4.76,4.9,4.76,4.9,7600,0.0,0.0
1994-11-09,4.9,4.9,4.76,4.79,14400,0.0,0.0
1994-11-10,4.76,4.9,4.76,4.76,94200,0.0,0.0
1994-11-11,4.9,4.9,4.69,4.69,45900,0.0,0.0
1994-11-14,4.69,4.79,4.69,4.69,4900,0.0,0.0
1994-11-15,4.69,4.83,4.69,4.83,104500,0.0,0.0
1994-11-16,4.83,4.83,4.69,4.79,51300,0.0,0.0
1994-11-17,4.83,4.83,4.69,4.79,28300,0.0,0.0
1994-11-18,4.83,4.83,4.69,4.69,2700,0.0,0.0
1994-11-21,4.69,4.83,4.69,4.69,26500,0.0,0.0
1994-11-22,4.69,4.83,4.69,4.76,10300,0.0,0.0
1994-11-23,4.48,4.69,4.41,4.44,127900,0.0,0.0
1994-11-25,4.34,4.55,4.34,4.34,8700,0.0,0.0
1994-11-28,4.34,4.37,4.34,4.34,3700,0.0,0.0
1994-11-29,4.34,4.48,4.34,4.37,6700,0.0,0.0
1994-11-30,4.55,4.55,4.34,4.55,10500,0.0,0.0
1994-12-01,4.51,4.51,4.51,4.51,400,0.0,0.0
1994-12-02,4.34,4.41,4.2,4.37,99900,0.0,0.0
1994-12-05,4.41,4.41,4.2,4.3,91800,0.0,0.0
1994-12-06,4.23,4.34,4.2,4.2,127800,0.0,0.0
1994-12-07,4.2,4.34,4.2,4.34,26200,0.0,0.0
1994-12-08,4.2,4.27,4.06,4.06,77400,0.0,0.0
1994-12-09,4.06,4.27,3.99,4.27,49900,0.0,0.0
1994-12-12,4.27,4.27,4.13,4.27,82300,0.0,0.0
1994-12-13,4.13,4.2,4.13,4.15,391000,0.0,0.0
1994-12-14,4.27,4.27,4.13,4.27,59100,0.0,0.0
1994-12-15,4.27,4.27,4.13,4.13,7800,0.0,0.0
1994-12-16,4.27,4.27,4.13,4.27,6000,0.0,0.0
1994-12-19,4.27,4.27,4.13,4.13,4500,0.0,0.0
1994-12-20,4.13,4.27,4.13,4.27,12100,0.0,0.0
1994-12-21,4.13,4.27,4.13,4.2,158400,0.0,0.0
1994-12-22,4.27,4.55,4.27,4.55,91500,0.0,0.0
1994-12-23,4.55,4.55,4.34,4.34,17700,0.0,0.0
1994-12-27,4.34,4.55,4.34,4.55,34200,0.0,0.0
1994-12-28,4.55,4.62,4.41,4.62,23500,0.0,0.0
1994-12-29,4.62,4.62,4.62,4.62,10500,0.0,0.0
1994-12-30,4.48,4.62,4.41,4.58,68400,0.0,0.0
1995-01-03,4.62,4.62,4.41,4.58,30600,0.0,0.0
1995-01-04,4.41,4.58,4.41,4.58,42000,0.0,0.0
1995-01-05,4.41,4.58,4.41,4.58,6400,0.0,0.0
1995-01-06,4.58,4.58,4.41,4.48,31600,0.0,0.0
1995-01-09,4.55,4.55,4.55,4.55,900,0.0,0.0
1995-01-10,4.55,4.55,4.34,4.55,11700,0.0,0.0
1995-01-11,4.55,4.55,4.34,4.55,7800,0.0,0.0
1995-01-12,4.55,4.69,4.48,4.55,49900,0.0,0.0
1995-01-13,4.69,4.9,4.69,4.86,138600,0.0,0.0
1995-01-16,4.9,5.18,4.86,5.18,58900,0.0,0.0
1995-01-17,5.25,5.39,4.97,4.97,210700,0.0,0.0
1995-01-18,5.04,5.04,4.97,5.04,54900,0.0,0.0
1995-01-19,4.97,5.04,4.97,4.97,9100,0.0,0.0
1995-01-20,4.97,5.14,4.97,5.14,16600,0.0,0.0
1995-01-23,4.97,5.04,4.9,4.9,121500,0.0,0.0
1995-01-24,5.04,5.04,4.9,4.9,8100,0.0,0.0
1995-01-25,5.04,5.04,5.04,5.04,1000,0.0,0.0
1995-01-26,4.9,4.97,4.9,4.9,41800,0.0,0.0
1995-01-27,4.9,5.04,4.9,4.9,32100,0.0,0.0
1995-01-30,4.83,4.97,4.83,4.86,11800,0.0,0.0
1995-01-31,4.76,4.9,4.76,4.76,29800,0.0,0.0
1995-02-01,4.76,4.97,4.76,4.97,21700,0.0,0.0
1995-02-02,4.97,4.97,4.76,4.76,14500,0.0,0.0
1995-02-03,4.97,4.97,4.97,4.97,1000,0.0,0.0
1995-02-06,4.86,4.97,4.76,4.76,111300,0.0,0.0
1995-02-07,4.76,4.76,4.76,4.76,12300,0.0,0.0
1995-02-08,4.76,4.97,4.76,4.97,1300,0.0,0.0
1995-02-09,4.76,4.76,4.76,4.76,1800,0.0,0.0
1995-02-10,4.69,4.76,4.69,4.69,24700,0.0,0.0
1995-02-13,4.9,4.9,4.69,4.69,17700,0.0,0.0
1995-02-14,4.62,4.83,4.62,4.76,41100,0.0,0.0
1995-02-15,4.62,4.62,4.62,4.62,8100,0.0,0.0
1995-02-16,4.76,4.76,4.76,4.76,11200,0.0,0.0
1995-02-17,4.62,4.76,4.55,4.76,374100,0.0,0.0
1995-02-21,4.55,4.69,4.55,4.55,79300,0.0,0.0
1995-02-22,4.55,4.76,4.55,4.62,6400,0.0,0.0
1995-02-23,4.55,4.76,4.55,4.55,10500,0.0,0.0
1995-02-24,4.55,4.76,4.55,4.76,51700,0.0,0.0
1995-02-27,4.65,4.69,4.55,4.69,3700,0.0,0.0
1995-02-28,4.76,4.76,4.76,4.76,400,0.0,0.0
1995-03-01,4.76,4.76,4.76,4.76,0,0.0,0.0
1995-03-02,4.76,4.76,4.62,4.69,28900,0.0,0.0
1995-03-03,4.55,4.76,4.55,4.58,6300,0.0,0.0
1995-03-06,4.55,4.76,4.55,4.76,5100,0.0,0.0
1995-03-07,4.55,4.76,4.55,4.76,7600,0.0,0.0
1995-03-08,4.55,4.55,4.55,4.55,1900,0.0,0.0
1995-03-09,4.65,4.65,4.62,4.62,47700,0.0,0.0
1995-03-10,4.62,4.62,4.62,4.62,0,0.0,0.0
1995-03-13,4.55,4.55,4.55,4.55,1500,0.0,0.0
1995-03-14,4.76,4.76,4.55,4.65,40500,0.0,0.0
1995-03-15,4.76,4.76,4.55,4.55,4600,0.0,0.0
1995-03-16,4.55,4.62,4.55,4.55,347500,0.0,0.0
1995-03-17,4.55,4.55,4.55,4.55,400,0.0,0.0
1995-03-20,4.55,4.55,4.55,4.55,400,0.0,0.0
1995-03-21,4.55,4.62,4.55,4.55,54100,0.0,0.0
1995-03-22,4.55,4.76,4.55,4.76,30100,0.0,0.0
1995-03-23,4.76,4.76,4.55,4.69,108100,0.0,0.0
1995-03-24,4.69,4.69,4.41,4.41,40000,0.0,0.0
1995-03-27,4.41,4.83,4.41,4.83,583300,0.0,0.0
1995-03-28,4.76,4.83,4.55,4.83,716800,0.0,0.0
1995-03-29,4.83,4.83,4.55,4.83,111100,0.0,0.0
1995-03-30,4.83,4.83,4.69,4.83,6300,0.0,0.0
1995-03-31,4.69,4.9,4.69,4.9,16200,0.0,0.0
1995-04-03,4.9,4.9,4.76,4.76,29200,0.0,0.0
1995-04-04,4.76,4.9,4.76,4.76,25600,0.0,0.0
1995-04-05,4.76,4.97,4.76,4.76,40900,0.0,0.0
1995-04-06,4.76,4.97,4.76,4.97,18000,0.0,0.0
1995-04-07,4.97,4.97,4.76,4.76,72600,0.0,0.0
1995-04-10,4.9,4.9,4.69,4.69,34800,0.0,0.0
1995-04-11,4.83,4.83,4.62,4.83,44200,0.0,0.0
1995-04-12,4.83,4.83,4.62,4.83,12100,0.0,0.0
1995-04-13,4.83,4.83,4.62,4.79,132000,0.0,0.0
1995-04-17,4.83,4.83,4.62,4.83,13000,0.0,0.0
1995-04-18,4.62,4.83,4.62,4.83,14100,0.0,0.0
1995-04-19,4.62,4.83,4.62,4.62,192600,0.0,0.0
1995-04-20,4.83,4.83,4.62,4.62,58000,0.0,0.0
1995-04-21,4.62,4.83,4.62,4.7,125700,0.0,0.0
1995-04-24,4.83,4.83,4.62,4.62,7300,0.0,0.0
1995-04-25,4.62,4.83,4.62,4.65,2800,0.0,0.0
1995-04-26,4.69,4.83,4.62,4.69,87700,0.0,0.0
1995-04-27,4.76,4.9,4.69,4.9,131800,0.0,0.0
1995-04-28,4.9,4.9,4.76,4.9,100900,0.0,0.0
1995-05-01,4.76,4.9,4.76,4.76,70600,0.0,0.0
1995-05-02,4.9,4.9,4.76,4.9,15000,0.0,0.0
1995-05-03,4.76,4.9,4.76,4.76,18000,0.0,0.0
1995-05-04,4.76,4.76,4.69,4.69,15400,0.0,0.0
1995-05-05,4.69,4.83,4.69,4.83,8700,0.0,0.0
1995-05-08,4.83,4.83,4.83,4.83,900,0.0,0.0
1995-05-09,4.69,4.83,4.69,4.83,7200,0.0,0.0
1995-05-10,4.83,4.83,4.69,4.69,31500,0.0,0.0
1995-05-11,4.69,4.83,4.41,4.48,94900,0.0,0.0
1995-05-12,4.27,4.62,4.13,4.62,326200,0.0,0.0
1995-05-15,4.62,4.62,4.34,4.44,14100,0.0,0.0
1995-05-16,4.41,4.62,4.41,4.41,20700,0.0,0.0
1995-05-17,4.41,4.76,4.41,4.55,128200,0.0,0.0
1995-05-18,4.76,4.83,4.55,4.76,285400,0.0,0.0
1995-05-19,4.83,4.9,4.72,4.9,26100,0.0,0.0
1995-05-22,4.9,4.9,4.48,4.48,494200,0.0,0.0
1995-05-23,4.69,4.69,4.48,4.69,61300,0.0,0.0
1995-05-24,4.48,4.69,4.48,4.69,14400,0.0,0.0
1995-05-25,4.55,4.69,4.48,4.48,149100,0.0,0.0
1995-05-26,4.48,4.48,4.48,4.48,3100,0.0,0.0
1995-05-30,4.69,4.69,4.48,4.55,105400,0.0,0.0
1995-05-31,4.48,4.69,4.48,4.55,33900,0.0,0.0
1995-06-01,4.62,4.62,4.27,4.41,508500,0.0,0.0
1995-06-02,4.27,4.41,4.27,4.41,295600,0.0,0.0
1995-06-05,4.41,4.41,4.27,4.41,367300,0.0,0.0
