Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-11-15,11.46,11.73,11.18,11.46,43500,0.0,0
2005-11-16,11.27,11.49,11.22,11.27,30300,0.0,0
2005-11-17,11.27,11.45,11.14,11.27,27800,0.0,0
2005-11-18,11.05,11.28,10.97,11.05,52300,0.0,0
2005-11-21,11.09,11.14,10.24,11.09,34200,0.0,0
2005-11-22,11.04,11.15,11.01,11.04,21400,0.0,0
2005-11-23,11.43,11.59,11.0,11.43,20900,0.0,0
2005-11-25,12.04,12.08,11.9,12.04,9100,0.0,0
2005-11-28,12.18,12.22,11.97,12.18,35100,0.0,0
2005-11-29,12.26,12.31,12.16,12.26,13100,0.0,0
2005-11-30,12.1,12.51,12.1,12.1,10800,0.0,0
2005-12-01,12.38,12.39,12.12,12.38,11300,0.0,0
2005-12-02,12.39,12.42,12.3,12.39,16100,0.0,0
2005-12-05,12.41,12.48,12.35,12.41,19100,0.0,0
2005-12-06,12.71,12.71,12.37,12.71,9700,0.0,0
2005-12-07,12.7,12.72,12.58,12.7,8200,0.0,0
2005-12-08,12.85,12.85,12.64,12.85,7900,0.0,0
2005-12-09,12.93,12.94,12.76,12.93,9500,0.0,0
2005-12-12,13.25,13.26,12.93,13.25,14300,0.0,0
2005-12-13,13.22,13.27,13.04,13.22,23900,0.0,0
2005-12-14,13.14,13.17,12.71,13.14,16700,0.0,0
2005-12-15,12.96,13.12,12.96,12.96,5400,0.0,0
2005-12-16,12.74,12.86,12.57,12.74,6800,0.0,0
2005-12-19,12.46,12.71,12.33,12.46,16800,0.0,0
2005-12-20,12.3,12.49,12.3,12.3,12400,0.0,0
2005-12-21,12.51,15.37,12.34,12.51,6000,0.0,0
2005-12-22,12.56,12.56,12.48,12.56,18700,0.0,0
2005-12-23,12.42,12.58,12.35,12.42,8100,0.0,0
2005-12-27,12.51,12.51,12.51,12.51,200,0.0,0
2005-12-28,12.14,12.43,12.1,12.14,14700,0.0,0
2005-12-29,12.41,12.45,12.32,12.41,7700,0.0,0
2005-12-30,12.26,12.26,12.18,12.26,3800,0.0,0
2006-01-03,12.51,12.62,12.36,12.51,3500,0.0,0
2006-01-04,12.63,12.74,12.35,12.63,9800,0.0,0
2006-01-05,12.28,12.54,12.21,12.28,10000,0.0,0
2006-01-06,12.19,12.26,12.13,12.19,12400,0.0,0
2006-01-09,12.13,12.27,11.98,12.13,13800,0.0,0
2006-01-10,12.37,12.37,12.21,12.37,10400,0.0,0
2006-01-11,12.81,12.81,12.36,12.81,25500,0.0,0
2006-01-12,12.84,12.84,12.72,12.84,23300,0.0,0
2006-01-13,12.73,12.73,12.59,12.73,18400,0.0,0
2006-01-17,12.63,12.71,12.6,12.63,7700,0.0,0
2006-01-18,12.66,12.66,12.46,12.66,9100,0.0,0
2006-01-19,12.67,12.81,12.54,12.67,5500,0.0,0
2006-01-20,13.2,13.25,12.82,13.2,42500,0.0,0
2006-01-23,13.43,13.43,13.31,13.43,4100,0.0,0
2006-01-24,13.5,13.5,13.34,13.5,8400,0.0,0
2006-01-25,13.43,13.6,13.38,13.43,4600,0.0,0
2006-01-26,14.03,14.03,13.46,14.03,15600,0.0,0
2006-01-27,13.62,14.12,13.62,13.62,3200,0.0,0
2006-01-30,13.43,13.8,13.43,13.43,8400,0.0,0
2006-01-31,13.77,13.97,13.62,13.77,5400,0.0,0
2006-02-01,14.02,14.07,13.68,14.02,23500,0.0,0
2006-02-02,14.05,14.05,13.76,14.05,4100,0.0,0
2006-02-03,14.07,14.07,13.93,14.07,3400,0.0,0
2006-02-06,14.24,14.49,13.87,14.24,20900,0.0,0
2006-02-07,14.11,14.33,14.11,14.11,12200,0.0,0
2006-02-08,14.07,14.19,13.71,14.07,9400,0.0,0
2006-02-09,14.19,14.4,14.0,14.19,5800,0.0,0
2006-02-10,14.12,14.45,14.1,14.12,5300,0.0,0
2006-02-13,13.43,14.22,13.43,13.43,10400,0.0,0
2006-02-14,13.22,13.84,12.91,13.22,15900,0.0,0
2006-02-15,13.31,13.51,13.25,13.31,7200,0.0,0
2006-02-16,13.35,13.41,13.21,13.35,6100,0.0,0
2006-02-17,13.7,13.72,13.28,13.7,21300,0.0,0
2006-02-21,13.42,13.72,13.37,13.42,9600,0.0,0
