Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-05-05,9.3,9.31,8.96,9.07,3474400,0.0,0
2005-05-06,9.32,9.98,9.17,9.52,724300,0.0,0
2005-05-09,9.59,9.89,9.58,9.76,254100,0.0,0
2005-05-10,9.78,9.8,9.28,9.58,302900,0.0,0
2005-05-11,9.58,9.63,9.43,9.61,193900,0.0,0
2005-05-12,9.6,9.76,9.48,9.54,202700,0.0,0
2005-05-13,9.59,9.68,9.43,9.52,91700,0.0,0
2005-05-16,9.44,9.59,9.15,9.52,190700,0.0,0
2005-05-17,9.49,9.84,9.37,9.84,132100,0.0,0
2005-05-18,9.84,9.85,9.71,9.75,88400,0.0,0
2005-05-19,9.77,9.78,9.55,9.67,66000,0.0,0
2005-05-20,9.69,9.78,9.65,9.76,44900,0.0,0
2005-05-23,9.78,9.97,9.65,9.65,204300,0.0,0
2005-05-24,9.63,9.83,9.56,9.68,67900,0.0,0
2005-05-25,9.64,9.78,9.63,9.68,49200,0.0,0
2005-05-26,9.71,9.76,9.65,9.71,41600,0.0,0
2005-05-27,9.7,9.82,9.7,9.82,104600,0.0,0
2005-05-31,9.86,10.02,9.72,9.85,59300,0.0,0
2005-06-01,9.89,10.06,9.72,9.89,55300,0.0,0
2005-06-02,9.91,9.97,9.77,9.93,53300,0.0,0
2005-06-03,9.82,9.97,9.82,9.93,30100,0.0,0
2005-06-06,9.93,9.96,9.81,9.93,55200,0.0,0
2005-06-07,9.86,9.95,9.8,9.86,62300,0.0,0
2005-06-08,9.73,9.86,9.71,9.72,42500,0.0,0
2005-06-09,9.74,9.86,9.7,9.74,54600,0.0,0
2005-06-10,9.71,9.78,9.57,9.65,46900,0.0,0
2005-06-13,9.65,9.65,9.26,9.47,89500,0.0,0
2005-06-14,9.52,9.56,9.41,9.55,29800,0.0,0
2005-06-15,9.56,9.89,9.49,9.63,104400,0.0,0
2005-06-16,9.86,10.17,9.76,10.08,128500,0.0,0
2005-06-17,10.08,10.16,9.89,10.14,60000,0.0,0
2005-06-20,10.55,10.55,10.25,10.28,74400,0.0,0
2005-06-21,10.31,10.42,10.27,10.33,110600,0.0,0
2005-06-22,10.35,10.42,10.29,10.42,57600,0.0,0
2005-06-23,10.37,10.47,10.31,10.38,58000,0.0,0
2005-06-24,10.31,10.6,10.28,10.51,27800,0.0,0
2005-06-27,10.56,10.7,10.42,10.6,68600,0.0,0
2005-06-28,10.7,10.72,10.46,10.62,63300,0.0,0
2005-06-29,10.59,10.64,10.41,10.41,50000,0.0,0
2005-06-30,10.46,10.76,10.41,10.53,39400,0.0,0
2005-07-01,10.53,10.6,10.45,10.6,22200,0.0,0
2005-07-05,10.51,10.59,10.38,10.59,30500,0.0,0
2005-07-06,10.58,10.64,10.42,10.58,36000,0.0,0
2005-07-07,10.56,10.59,10.44,10.53,19800,0.0,0
2005-07-08,10.59,10.64,10.49,10.6,36000,0.0,0
2005-07-11,10.9,10.96,10.69,10.96,35400,0.0,0
2005-07-12,11.05,11.66,11.01,11.39,81700,0.0,0
2005-07-13,11.63,11.65,11.35,11.42,76200,0.0,0
2005-07-14,11.55,11.56,11.09,11.09,129500,0.0,0
2005-07-15,11.2,11.2,10.57,10.74,42400,0.0,0
2005-07-18,10.83,10.89,10.45,10.5,44500,0.0,0
2005-07-19,10.47,10.86,10.42,10.68,52800,0.0,0
2005-07-20,10.62,10.97,10.62,10.83,51900,0.0,0
2005-07-21,10.9,11.43,10.9,11.01,47800,0.0,0
2005-07-22,11.07,11.09,10.83,11.09,30000,0.0,0
2005-07-25,11.51,11.67,11.22,11.57,56900,0.0,0
2005-07-26,11.57,12.1,11.54,11.93,44100,0.0,0
2005-07-27,12.12,12.13,11.85,12.12,49300,0.0,0
2005-07-28,12.38,13.13,12.13,12.36,84400,0.0,0
2005-07-29,12.12,12.41,11.95,12.29,78900,0.0,0
2005-08-01,12.2,12.35,12.04,12.32,27100,0.0,0
2005-08-02,12.32,13.03,12.2,12.88,54400,0.0,0
2005-08-03,12.97,13.16,12.87,13.05,47900,0.236,0
2005-08-04,13.14,13.16,12.47,12.54,30800,0.0,0
