Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-26,11.75,11.77,11.75,11.75,1616000,0.0,0
2015-06-29,11.75,11.89,11.75,11.75,101900,0.0,0
2015-06-30,11.75,11.87,11.75,11.75,81100,0.0,0
2015-07-01,11.76,11.76,11.75,11.75,37800,0.0,0
2015-07-02,11.75,11.75,11.75,11.75,89800,0.0,0
2015-07-06,11.75,11.75,11.75,11.75,78400,0.0,0
2015-07-07,11.75,11.77,11.75,11.75,151000,0.0,0
2015-07-08,11.82,11.82,11.72,11.75,53200,0.0,0
2015-07-09,11.77,11.77,11.75,11.76,21700,0.0,0
2015-07-10,11.81,11.81,11.75,11.76,54000,0.0,0
2015-07-13,11.78,11.79,11.75,11.78,30800,0.0,0
2015-07-14,11.75,11.78,11.75,11.75,68400,0.0,0
2015-07-15,11.77,11.77,11.75,11.75,53900,0.0,0
2015-07-16,11.76,11.76,11.75,11.75,48700,0.0,0
2015-07-17,11.76,11.76,11.75,11.75,103300,0.0,0
2015-07-20,11.75,11.77,11.75,11.75,38100,0.0,0
2015-07-21,11.75,11.75,11.75,11.75,68200,0.0,0
2015-07-22,11.75,11.75,11.75,11.75,95200,0.0,0
2015-07-23,11.75,11.75,11.75,11.75,130800,0.0,0
2015-07-24,11.75,11.76,11.75,11.75,234200,0.0,0
2015-07-27,11.75,11.75,11.75,11.75,96500,0.0,0
2015-07-28,11.76,11.76,11.75,11.75,107900,0.0,0
2015-07-29,11.89,11.89,11.75,11.75,82600,0.0,0
2015-07-30,11.75,11.75,11.75,11.75,78600,0.0,0
2015-07-31,11.75,11.77,11.75,11.75,78800,0.0,0
2015-08-03,11.75,11.75,11.75,11.75,569900,0.0,0
2015-08-04,11.75,11.75,11.75,11.75,339200,0.0,0
2015-08-05,11.75,11.75,11.75,11.75,132900,0.0,0
2015-08-06,11.75,11.76,11.75,11.75,279400,0.0,0
2015-08-07,11.75,11.75,11.75,11.75,418900,0.0,0
2015-08-10,11.65,11.65,11.07,11.14,387500,0.0,0
2015-08-11,11.09,11.28,11.02,11.12,174200,0.0,0
2015-08-12,11.04,11.13,11.03,11.08,105600,0.0,0
2015-08-13,11.07,11.1,10.94,10.97,67200,0.0,0
2015-08-14,10.91,10.98,10.81,10.86,116900,0.0,0
2015-08-17,10.91,10.91,10.76,10.8,114700,0.0,0
2015-08-18,10.7,10.87,10.67,10.79,207300,0.0,0
2015-08-19,10.7,10.8,10.64,10.74,82000,0.0,0
2015-08-20,10.71,10.72,10.37,10.5,105400,0.0,0
2015-08-21,10.44,10.44,9.91,9.93,213500,0.0,0
2015-08-24,8.29,9.35,8.29,9.35,254600,0.0,0
2015-08-25,9.49,9.9,9.49,9.86,188900,0.0,0
2015-08-26,9.86,9.93,9.5,9.89,237000,0.0,0
2015-08-27,10.36,10.43,9.97,10.4,201900,0.0,0
2015-08-28,10.29,10.37,10.17,10.31,116400,0.0,0
2015-08-31,10.44,10.51,10.14,10.27,128600,0.0,0
2015-09-01,9.99,10.25,9.99,10.02,109100,0.0,0
