Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-01,10.5,10.5,9.95,9.95,537700,0,0
2021-03-02,9.95,9.99,9.8,9.86,357400,0,0
2021-03-03,9.88,9.99,9.8,9.95,203000,0,0
2021-03-04,9.95,9.95,9.81,9.87,126000,0,0
2021-03-05,9.86,9.9,9.78,9.86,128100,0,0
2021-03-08,9.83,9.85,9.76,9.8,851200,0,0
2021-03-09,9.84,9.86,9.8,9.8,138500,0,0
2021-03-10,9.8,9.86,9.8,9.83,266200,0,0
2021-03-11,9.81,9.85,9.79,9.8,676600,0,0
2021-03-12,9.8,9.88,9.79,9.87,110800,0,0
2021-03-15,9.83,9.9,9.83,9.85,116800,0,0
2021-03-16,9.85,9.85,9.84,9.84,2500,0,0
2021-03-17,9.85,9.87,9.84,9.86,10800,0,0
2021-03-18,9.82,9.85,9.73,9.78,101100,0,0
2021-03-19,9.85,9.85,9.75,9.85,97700,0,0
2021-03-22,9.8,9.83,9.76,9.8,40800,0,0
2021-03-23,9.8,9.8,9.7,9.72,179500,0,0
2021-03-24,9.72,9.75,9.51,9.69,197700,0,0
2021-03-25,9.7,9.73,9.68,9.69,43000,0,0
2021-03-26,9.69,9.74,9.68,9.71,227800,0,0
2021-03-29,9.67,9.74,9.67,9.71,13200,0,0
2021-03-30,9.71,9.75,9.65,9.71,149600,0,0
2021-03-31,9.75,9.75,9.7,9.74,49400,0,0
2021-04-01,9.76,9.76,9.72,9.73,22300,0,0
2021-04-05,9.72,9.8,9.72,9.78,79200,0,0
2021-04-06,9.75,9.81,9.75,9.81,54400,0,0
2021-04-07,9.8,9.8,9.76,9.78,5200,0,0
2021-04-08,9.74,9.83,9.74,9.83,11200,0,0
2021-04-09,9.76,9.79,9.72,9.75,54400,0,0
2021-04-12,9.78,9.78,9.72,9.76,103200,0,0
2021-04-13,9.76,9.82,9.76,9.8,183300,0,0
2021-04-14,9.81,9.82,9.76,9.82,36400,0,0
2021-04-15,9.8,9.85,9.77,9.85,32500,0,0
2021-04-16,9.84,9.84,9.8,9.8,3200,0,0
2021-04-19,9.77,9.86,9.77,9.84,42300,0,0
2021-04-20,9.78,9.8,9.77,9.79,22400,0,0
2021-04-21,9.8,9.83,9.77,9.79,79700,0,0
2021-04-22,9.78,9.8,9.78,9.8,2100,0,0
2021-04-23,9.78,9.82,9.78,9.8,11000,0,0
2021-04-26,9.8,9.81,9.79,9.8,11700,0,0
2021-04-27,9.8,9.81,9.75,9.76,46400,0,0
2021-04-28,9.8,9.84,9.77,9.78,9300,0,0
2021-04-29,9.79,9.83,9.78,9.81,21400,0,0
2021-04-30,9.79,9.83,9.78,9.83,5600,0,0
2021-05-03,9.76,9.76,9.76,9.76,200,0,0
2021-05-04,9.76,9.78,9.76,9.77,19100,0,0
