Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-06-02,0.0,3.57,3.11,3.11,1300,0.0,0.0
1986-06-03,0.0,3.57,3.11,3.11,7200,0.0,0.0
1986-06-04,0.0,3.37,2.97,2.97,1800,0.0,0.0
1986-06-05,0.0,3.37,3.11,3.11,3400,0.0,0.0
1986-06-06,0.0,3.57,3.24,3.24,5200,0.0,0.0
1986-06-09,0.0,3.44,3.17,3.17,2800,0.0,0.0
1986-06-10,0.0,3.44,3.17,3.17,1800,0.0,0.0
1986-06-11,0.0,3.44,3.17,3.17,1300,0.0,0.0
1986-06-12,0.0,3.44,3.17,3.17,2800,0.0,0.0
1986-06-13,0.0,3.44,3.17,3.17,900,0.0,0.0
1986-06-16,0.0,3.47,3.2,3.2,100,0.16647,0.0
1986-06-17,0.0,3.67,3.34,3.34,100,0.0,0.0
1986-06-18,0.0,3.87,3.4,3.4,1300,0.0,0.0
1986-06-19,0.0,3.81,3.4,3.4,1300,0.0,0.0
1986-06-20,0.0,3.87,3.47,3.47,2200,0.0,0.0
1986-06-23,0.0,3.94,3.54,3.54,100,0.0,0.0
1986-06-24,0.0,4.34,3.87,3.87,1800,0.0,0.0
1986-06-25,0.0,4.41,4.01,4.01,1800,0.0,0.0
1986-06-26,0.0,4.47,4.01,4.01,2200,0.0,0.0
1986-06-27,0.0,4.34,4.01,4.01,4600,0.0,0.0
1986-06-30,0.0,4.34,4.01,4.01,400,0.0,0.0
1986-07-01,0.0,4.34,4.01,4.01,600,0.0,0.0
1986-07-02,4.01,4.01,4.01,4.01,0,0.0,0.0
1986-07-03,0.0,4.34,4.01,4.01,400,0.0,0.0
1986-07-07,0.0,4.27,3.81,3.81,400,0.0,0.0
1986-07-08,0.0,4.14,3.81,3.81,100,0.0,0.0
1986-07-09,0.0,4.14,3.81,3.81,400,0.0,0.0
1986-07-10,0.0,4.07,3.74,3.74,100,0.0,0.0
1986-07-11,3.74,3.74,3.74,3.74,0,0.0,0.0
1986-07-14,0.0,4.07,3.74,3.74,1300,0.0,0.0
1986-07-15,0.0,3.94,3.47,3.94,5800,0.0,0.0
1986-07-16,0.0,3.74,3.74,3.74,100,0.0,0.0
1986-07-17,0.0,3.74,3.74,3.74,100,0.0,0.0
1986-07-18,0.0,3.81,3.81,3.81,100,0.0,0.0
1986-07-21,3.81,3.81,3.81,3.81,0,0.0,0.0
1986-07-22,0.0,3.4,3.4,3.4,100,0.0,0.0
1986-07-23,3.4,3.4,3.4,3.4,0,0.0,0.0
1986-07-24,0.0,3.81,3.81,3.81,400,0.0,0.0
1986-07-25,3.81,3.81,3.81,3.81,0,0.0,0.0
1986-07-28,3.81,3.81,3.81,3.81,0,0.0,0.0
1986-07-29,3.81,3.81,3.81,3.81,0,0.0,0.0
1986-07-30,0.0,3.81,3.81,3.81,100,0.0,0.0
1986-07-31,3.81,3.81,3.81,3.81,0,0.0,0.0
1986-08-01,3.81,3.81,3.81,3.81,0,0.0,0.0
1986-08-04,3.81,3.81,3.81,3.81,0,0.0,0.0
1986-08-05,3.81,3.81,3.81,3.81,0,0.0,0.0
1986-08-06,3.81,3.81,3.81,3.81,0,0.0,0.0
1986-08-07,0.0,3.64,3.6,3.6,400,0.0,0.0
1986-08-08,3.6,3.6,3.6,3.6,0,0.0,0.0
1986-08-11,3.6,3.6,3.6,3.6,0,0.0,0.0
1986-08-12,3.6,3.6,3.6,3.6,0,0.0,0.0
1986-08-13,3.6,3.6,3.6,3.6,0,0.0,0.0
1986-08-14,0.0,3.6,3.6,3.6,3000,0.0,0.0
1986-08-15,3.6,3.6,3.6,3.6,0,0.0,0.0
1986-08-18,0.0,3.87,3.87,3.87,100,0.0,0.0
1986-08-19,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-08-20,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-08-21,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-08-22,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-08-25,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-08-26,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-08-27,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-08-28,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-08-29,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-02,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-03,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-04,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-05,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-08,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-09,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-10,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-11,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-12,3.87,3.87,3.87,3.87,0,0.0,0.0
1986-09-15,3.91,3.91,3.91,3.91,0,0.19414,0.0
1986-09-16,0.0,3.57,3.57,3.57,100,0.0,0.0
1986-09-17,3.57,3.57,3.57,3.57,0,0.0,0.0
1986-09-18,0.0,3.64,3.64,3.64,100,0.0,0.0
1986-09-19,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-09-22,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-09-23,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-09-24,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-09-25,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-09-26,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-09-29,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-09-30,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-01,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-02,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-03,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-06,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-07,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-08,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-09,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-10,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-13,3.64,3.64,3.64,3.64,0,0.0,0.0
1986-10-14,3.64,3.64,3.64,3.64,0,0.0,2.0
1986-10-15,0.0,1.89,1.82,1.82,2800,0.0,0.0
1986-10-16,1.82,1.82,1.82,1.82,0,0.0,0.0
1986-10-17,1.82,1.82,1.82,1.82,0,0.0,0.0
1986-10-20,0.0,2.09,2.09,2.09,900,0.0,0.0
1986-10-21,0.0,2.09,1.94,2.09,1600,0.0,0.0
1986-10-22,0.0,1.96,1.96,1.96,1600,0.0,0.0
1986-10-23,0.0,1.82,1.82,1.82,6000,0.0,0.0
1986-10-24,0.0,1.75,1.75,1.75,1300,0.0,0.0
1986-10-27,1.75,1.75,1.75,1.75,0,0.0,0.0
