Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-05-05,3.44,4.36,3.44,4.36,16868,0.0,0.0
1999-05-06,4.3,4.52,3.38,3.38,31827,0.0,0.0
1999-05-07,3.42,4.52,3.39,4.52,57925,0.0,0.0
1999-05-10,4.57,4.57,3.34,4.3,22597,0.0,0.0
1999-05-11,4.36,4.36,4.3,4.3,3183,0.0,0.0
1999-05-12,4.3,4.36,4.25,4.25,3819,0.0,0.0
1999-05-13,3.87,3.87,3.87,3.87,318,0.0,0.0
1999-05-14,4.3,4.3,3.87,4.25,8593,0.0,0.0
1999-05-17,4.14,4.3,3.66,4.12,7002,0.0,0.0
1999-05-18,4.3,4.3,3.87,4.25,3819,0.0,0.0
1999-05-19,4.3,4.3,4.3,4.3,1273,0.0,0.0
1999-05-20,4.25,4.41,4.2,4.41,5411,0.0,0.0
1999-05-21,4.2,4.44,4.09,4.44,30236,0.0,0.0
1999-05-24,4.52,4.52,4.3,4.3,1591,0.0,0.0
1999-05-25,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-05-26,4.44,4.44,4.3,4.44,2864,0.0,0.0
1999-05-27,4.3,4.57,4.09,4.47,16868,0.0,0.0
1999-05-28,4.3,4.3,4.3,4.3,24189,0.0,0.0
1999-06-01,4.2,4.2,4.2,4.2,1273,0.0,0.0
1999-06-02,4.2,4.2,4.2,4.2,0,0.0,0.0
1999-06-03,4.33,4.36,4.3,4.36,53469,0.0,0.0
1999-06-04,4.36,4.36,4.36,4.36,10503,0.0,0.0
1999-06-07,4.3,4.3,4.09,4.2,31190,0.0,0.0
1999-06-08,4.3,4.3,4.2,4.2,2228,0.0,0.0
1999-06-09,4.2,4.2,4.2,4.2,0,0.0,0.0
1999-06-10,4.2,4.2,4.2,4.2,0,0.0,0.0
1999-06-11,4.2,4.2,4.2,4.2,0,0.0,0.0
1999-06-14,4.3,4.3,4.2,4.3,19414,0.0,0.0
1999-06-15,4.2,4.3,4.14,4.14,14322,0.0,0.0
1999-06-16,4.14,4.36,4.14,4.36,5729,0.0,0.0
1999-06-17,4.3,4.3,4.2,4.2,955,0.0,0.0
1999-06-18,4.3,4.3,4.14,4.14,21006,0.0,0.0
1999-06-21,4.09,4.09,4.09,4.09,5729,0.0,0.0
1999-06-22,4.2,4.2,4.09,4.09,4774,0.0,0.0
1999-06-23,4.09,4.09,4.09,4.09,0,0.0,0.0
1999-06-24,4.25,4.25,4.14,4.14,1591,0.0,0.0
1999-06-25,4.14,4.14,4.14,4.14,2228,0.0,0.0
1999-06-28,4.2,4.25,4.2,4.25,955,0.0,0.0
1999-06-29,4.09,4.25,4.09,4.14,4138,0.0,0.0
1999-06-30,4.01,4.14,4.01,4.01,10185,0.0,0.0
1999-07-01,4.14,4.14,4.14,4.14,3819,0.0,0.0
1999-07-02,4.09,4.14,4.09,4.14,3819,0.0,0.0
1999-07-06,4.14,4.14,4.14,4.14,3819,0.0,0.0
1999-07-07,4.17,4.2,4.14,4.17,9230,0.0,0.0
1999-07-08,4.17,4.17,4.17,4.17,0,0.0,0.0
1999-07-09,4.25,4.25,4.14,4.14,2228,0.0,0.0
1999-07-12,4.25,4.25,4.25,4.25,5411,0.0,0.0
1999-07-13,4.2,4.3,4.2,4.3,7957,0.0,0.0
1999-07-14,4.3,4.3,4.25,4.25,3819,0.0,0.0
1999-07-15,4.25,4.25,4.25,4.25,3819,0.0,0.0
1999-07-16,4.33,4.39,4.33,4.39,8593,0.0,0.0
1999-07-19,4.33,4.33,4.29,4.29,8275,0.0,0.0
1999-07-20,4.25,4.36,4.25,4.25,6365,0.0,0.0
1999-07-21,4.3,4.3,4.28,4.28,1591,0.0,0.0
1999-07-22,4.25,4.3,4.2,4.2,9548,0.0,0.0
1999-07-23,4.3,4.3,4.3,4.3,3501,0.0,0.0
1999-07-26,4.36,4.36,4.3,4.3,73202,0.0,0.0
1999-07-27,4.41,4.41,4.39,4.39,955,0.0,0.0
1999-07-28,4.3,4.3,4.3,4.3,318,0.0,0.0
1999-07-29,4.3,4.39,4.3,4.36,12413,0.0,0.0
1999-07-30,4.41,4.74,4.39,4.68,5092,0.0,0.0
1999-08-02,4.36,4.36,4.36,4.36,955,0.0,0.0
1999-08-03,4.68,4.68,4.52,4.63,2228,0.0,0.0
1999-08-04,4.63,4.63,4.57,4.57,1910,0.0,0.0
1999-08-05,4.36,4.36,4.36,4.36,318,0.0,0.0
1999-08-06,4.36,4.36,4.36,4.36,0,0.0,0.0
1999-08-09,4.36,4.63,4.36,4.57,2228,0.0,0.0
1999-08-10,4.57,4.57,4.57,4.57,0,0.0,0.0
1999-08-11,4.36,4.36,4.36,4.36,1273,0.0,0.0
1999-08-12,4.36,4.36,4.36,4.36,2546,0.0,0.0
1999-08-13,4.52,4.52,4.36,4.36,2864,0.0,0.0
1999-08-16,4.57,4.57,4.57,4.57,318,0.0,0.0
1999-08-17,4.49,4.49,4.36,4.41,2546,0.0,0.0
1999-08-18,4.41,4.41,4.41,4.41,1591,0.0,0.0
1999-08-19,4.41,4.41,4.41,4.41,0,0.0,0.0
1999-08-20,4.36,4.36,4.36,4.36,1591,0.0,0.0
1999-08-23,4.36,4.36,4.36,4.36,0,0.0,0.0
1999-08-24,4.36,4.36,4.36,4.36,0,0.0,0.0
1999-08-25,4.36,4.36,4.36,4.36,0,0.0,0.0
1999-08-26,4.36,4.36,4.36,4.36,1591,0.0,0.0
1999-08-27,4.3,4.36,4.3,4.36,2546,0.0,0.0
1999-08-30,4.49,4.49,4.49,4.49,637,0.0,0.0
1999-08-31,4.52,4.52,4.36,4.52,2546,0.0,0.0
1999-09-01,4.52,4.52,4.52,4.52,0,0.0,0.0
1999-09-02,4.52,4.52,4.52,4.52,0,0.0,0.0
1999-09-03,4.36,4.52,4.36,4.52,8275,0.0,0.0
1999-09-07,4.52,4.52,4.52,4.52,0,0.0,0.0
1999-09-08,4.41,4.52,4.41,4.52,3819,0.0,0.0
1999-09-09,4.57,4.57,4.56,4.57,13367,0.0,0.0
1999-09-10,4.57,4.57,4.56,4.56,25462,0.0,0.0
1999-09-13,4.57,4.63,4.41,4.63,26098,0.0,0.0
1999-09-14,4.65,4.65,4.65,4.65,2546,0.0,0.0
1999-09-15,4.63,4.74,4.63,4.74,2864,0.0,0.0
1999-09-16,4.74,4.74,4.74,4.74,0,0.0,0.0
1999-09-17,4.52,4.52,4.52,4.52,318,0.0,0.0
1999-09-20,4.63,4.63,4.63,4.63,3183,0.0,0.0
1999-09-21,4.74,4.74,4.74,4.74,2228,0.0,0.0
1999-09-22,4.63,4.79,4.63,4.79,1273,0.0,0.0
1999-09-23,4.79,4.79,4.79,4.79,0,0.0,0.0
1999-09-24,4.63,4.74,4.63,4.74,4774,0.0,0.0
1999-09-27,4.63,4.79,4.63,4.74,6047,0.0,0.0
1999-09-28,4.74,4.74,4.74,4.74,318,0.0,0.0
1999-09-29,4.74,4.74,4.74,4.74,0,0.0,0.0
1999-09-30,4.74,4.74,4.74,4.74,0,0.0,0.0
1999-10-01,4.68,4.74,4.68,4.74,2864,0.0,0.0
1999-10-04,4.74,4.74,4.74,4.74,0,0.0,0.0
1999-10-05,4.79,4.79,4.57,4.57,1591,0.0,0.0
1999-10-06,4.52,4.52,4.52,4.52,318,0.0,0.0
1999-10-07,4.52,4.52,4.52,4.52,0,0.0,0.0
1999-10-08,4.52,4.52,4.52,4.52,0,0.0,0.0
1999-10-11,4.52,4.52,4.52,4.52,1591,0.0,0.0
1999-10-12,4.52,4.57,4.52,4.57,5411,0.0,0.0
1999-10-13,4.57,4.57,4.57,4.57,0,0.0,0.0
1999-10-14,4.57,4.57,4.57,4.57,0,0.0,0.0
1999-10-15,4.52,4.57,4.52,4.57,5729,0.0,0.0
1999-10-18,4.3,4.57,4.3,4.57,4456,0.0,0.0
1999-10-19,4.57,4.57,4.57,4.57,0,0.0,0.0
1999-10-20,4.41,4.63,4.41,4.52,12094,0.0,0.0
1999-10-21,4.41,4.41,4.41,4.41,1910,0.0,0.0
1999-10-22,4.57,4.57,4.57,4.57,1910,0.0,0.0
1999-10-25,4.57,4.57,4.57,4.57,637,0.0,0.0
1999-10-26,4.57,4.57,4.57,4.57,0,0.0,0.0
1999-10-27,4.57,4.57,4.57,4.57,0,0.0,0.0
1999-10-28,4.57,4.57,4.57,4.57,955,0.0,0.0
1999-10-29,4.57,4.57,4.57,4.57,0,0.0,0.0
1999-11-01,4.57,4.57,4.57,4.57,637,0.0,0.0
1999-11-02,4.47,4.57,4.47,4.57,1910,0.0,0.0
1999-11-03,4.57,4.57,4.57,4.57,3183,0.0,0.0
1999-11-04,4.57,4.57,4.57,4.57,3819,0.0,0.0
1999-11-05,4.57,4.57,4.41,4.52,26098,0.0,0.0
1999-11-08,4.44,4.44,4.3,4.3,12413,0.0,0.0
1999-11-09,4.41,4.41,4.41,4.41,15914,0.0,0.0
1999-11-10,4.3,4.3,4.3,4.3,955,0.0,0.0
1999-11-11,4.41,4.41,4.41,4.41,318,0.0,0.0
1999-11-12,4.41,4.41,4.41,4.41,0,0.0,0.0
1999-11-15,4.41,4.52,4.41,4.41,6684,0.0,0.0
1999-11-16,4.36,4.36,4.3,4.3,5729,0.0,0.0
1999-11-17,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-11-18,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-11-19,4.41,4.41,4.41,4.41,318,0.0,0.0
1999-11-22,4.41,4.49,4.3,4.3,25462,0.0,0.0
1999-11-23,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-11-24,4.2,4.2,4.2,4.2,955,0.0,0.0
1999-11-26,4.2,4.2,4.2,4.2,0,0.0,0.0
1999-11-29,4.2,4.2,4.2,4.2,4774,0.0,0.0
1999-11-30,4.25,4.3,4.25,4.25,7957,0.0,0.0
1999-12-01,4.2,4.2,4.2,4.2,1273,0.0,0.0
1999-12-02,4.2,4.3,4.09,4.09,4774,0.0,0.0
1999-12-03,4.09,4.09,4.09,4.09,0,0.0,0.0
1999-12-06,4.17,4.17,4.17,4.17,637,0.0,0.0
1999-12-07,4.17,4.17,4.17,4.17,0,0.0,0.0
1999-12-08,4.17,4.17,4.17,4.17,318,0.0,0.0
1999-12-09,4.09,4.13,4.09,4.13,1273,0.0,0.0
1999-12-10,4.09,4.09,4.09,4.09,318,0.0,0.0
1999-12-13,4.09,4.09,4.09,4.09,4138,0.0,0.0
1999-12-14,4.09,4.17,4.09,4.09,10185,0.0,0.0
1999-12-15,4.09,4.09,4.09,4.09,955,0.0,0.0
1999-12-16,4.09,4.09,4.09,4.09,2546,0.0,0.0
1999-12-17,4.09,4.09,4.09,4.09,318,0.0,0.0
1999-12-20,4.09,4.09,4.09,4.09,0,0.0,0.0
1999-12-21,4.17,4.17,4.09,4.09,4774,0.0,0.0
1999-12-22,4.09,4.09,4.09,4.09,637,0.0,0.0
1999-12-23,4.09,4.16,4.09,4.16,11139,0.0,0.0
1999-12-27,4.09,4.09,4.09,4.09,318,0.0,0.0
1999-12-28,4.09,4.09,3.87,3.87,4774,0.0,0.0
1999-12-29,3.87,4.09,3.87,4.09,3501,0.0,0.0
1999-12-30,3.66,3.77,3.66,3.77,15914,0.0,0.0
1999-12-31,3.66,3.77,3.66,3.77,1591,0.0,0.0
2000-01-03,3.71,3.87,3.69,3.87,2864,0.0,0.0
2000-01-04,3.69,3.71,3.69,3.71,7002,0.0,0.0
2000-01-05,3.87,3.98,3.87,3.98,4138,0.0,0.0
2000-01-06,3.77,3.98,3.77,3.87,7002,0.0,0.0
2000-01-07,3.77,3.87,3.77,3.87,2546,0.0,0.0
2000-01-10,3.77,3.77,3.66,3.66,5092,0.0,0.0
2000-01-11,3.87,3.93,3.87,3.93,6047,0.0,0.0
2000-01-12,3.93,3.93,3.71,3.77,2228,0.0,0.0
2000-01-13,3.77,3.77,3.77,3.77,4138,0.0,0.0
2000-01-14,3.79,3.93,3.79,3.79,38829,0.0,0.0
2000-01-18,3.77,3.82,3.66,3.74,19414,0.0,0.0
2000-01-19,3.71,3.71,3.66,3.66,1591,0.0,0.0
2000-01-20,3.66,3.66,3.66,3.66,0,0.0,0.0
2000-01-21,3.66,3.66,3.66,3.66,0,0.0,0.0
2000-01-24,3.77,3.77,3.77,3.77,3819,0.0,0.0
2000-01-25,3.66,3.71,3.44,3.44,8593,0.0,0.0
2000-01-26,3.66,3.66,3.55,3.55,3183,0.0,0.0
2000-01-27,3.71,3.77,3.71,3.77,6684,0.0,0.0
2000-01-28,3.61,3.61,3.61,3.61,637,0.0,0.0
2000-01-31,3.61,3.66,3.61,3.61,955,0.0,0.0
2000-02-01,3.87,3.87,3.87,3.87,1273,0.0,0.0
2000-02-02,3.87,3.87,3.87,3.87,0,0.0,0.0
2000-02-03,3.61,3.71,3.61,3.71,1273,0.0,0.0
2000-02-04,3.82,3.82,3.61,3.61,1591,0.0,0.0
2000-02-07,3.61,3.61,3.61,3.61,1910,0.0,0.0
2000-02-08,3.77,3.77,3.61,3.61,6684,0.0,0.0
2000-02-09,3.61,3.61,3.61,3.61,0,0.0,0.0
2000-02-10,3.61,3.66,3.23,3.39,25780,0.0,0.0
2000-02-11,3.39,3.5,3.23,3.5,13049,0.0,0.0
2000-02-14,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-15,3.39,3.39,3.28,3.39,10503,0.0,0.0
2000-02-16,3.44,3.55,3.23,3.55,7002,0.0,0.0
2000-02-17,3.48,3.61,3.36,3.61,12731,0.0,0.0
2000-02-18,3.36,3.61,3.34,3.61,18460,0.0,0.0
2000-02-22,3.34,3.44,3.34,3.44,12094,0.0,0.0
2000-02-23,3.44,3.44,3.44,3.44,0,0.0,0.0
2000-02-24,3.44,3.44,3.44,3.44,0,0.0,0.0
2000-02-25,3.44,3.44,3.44,3.44,0,0.0,0.0
2000-02-28,3.23,3.26,3.23,3.26,1591,0.0,0.0
2000-02-29,3.23,3.39,3.23,3.24,8593,0.0,0.0
2000-03-01,3.23,3.23,3.23,3.23,3183,0.0,0.0
2000-03-02,3.23,3.23,3.23,3.23,9230,0.0,0.0
2000-03-03,3.17,3.23,3.17,3.23,955,0.0,0.0
2000-03-06,3.39,3.39,3.39,3.39,318,0.0,0.0
2000-03-07,3.34,3.39,3.34,3.39,12731,0.0,0.0
2000-03-08,3.23,3.39,3.17,3.23,5411,0.0,0.0
2000-03-09,3.23,3.26,3.23,3.26,1591,0.0,0.0
2000-03-10,3.23,3.26,3.23,3.23,9230,0.0,0.0
2000-03-13,3.23,3.23,3.17,3.19,955,0.0,0.0
2000-03-14,3.12,3.19,3.12,3.19,10185,0.0,0.0
2000-03-15,3.23,3.23,3.17,3.2,13049,0.0,0.0
2000-03-16,3.26,3.26,3.01,3.23,12094,0.0,0.0
2000-03-17,3.07,3.07,3.07,3.07,1273,0.0,0.0
2000-03-20,3.26,3.26,3.12,3.23,27371,0.0,0.0
2000-03-21,2.91,3.34,2.91,3.34,19733,0.0,0.0
2000-03-22,3.07,3.07,3.07,3.07,9548,0.0,0.0
2000-03-23,3.07,3.07,3.07,3.07,0,0.0,0.0
2000-03-24,3.04,3.04,3.04,3.04,318,0.0,0.0
2000-03-27,3.04,3.12,3.04,3.07,3183,0.0,0.0
2000-03-28,3.07,3.07,3.07,3.07,0,0.0,0.0
2000-03-29,3.23,3.34,3.23,3.23,13049,0.0,0.0
2000-03-30,3.23,3.34,3.23,3.23,55697,0.0,0.0
2000-03-31,3.31,3.31,3.28,3.28,3501,0.0,0.0
2000-04-03,3.28,3.28,3.07,3.12,3183,0.0,0.0
2000-04-04,3.12,3.12,3.12,3.12,0,0.0,0.0
2000-04-05,3.23,3.34,3.23,3.34,25143,0.0,0.0
2000-04-06,3.34,3.39,3.34,3.34,41693,0.0,0.0
