Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.83,0.82,0.82,12300,0.0,0
1980-03-18,0.0,0.82,0.81,0.82,12800,0.0,0
1980-03-19,0.0,0.84,0.81,0.84,13700,0.0,0
1980-03-20,0.0,0.86,0.82,0.83,29900,0.0,0
1980-03-21,0.0,0.84,0.82,0.83,16700,0.0,0
1980-03-24,0.0,0.83,0.82,0.83,28100,0.0,0
1980-03-25,0.0,0.83,0.82,0.82,40900,0.0,0
1980-03-26,0.0,0.83,0.82,0.82,70900,0.0,0
1980-03-27,0.0,0.82,0.78,0.78,26200,0.0,0
1980-03-28,0.0,0.79,0.77,0.79,10400,0.0,0
1980-03-31,0.0,0.79,0.78,0.78,15200,0.0,0
1980-04-01,0.0,0.79,0.78,0.78,9600,0.0,0
1980-04-02,0.0,0.79,0.78,0.79,12100,0.0,0
1980-04-03,0.0,0.8,0.79,0.79,6900,0.0,0
1980-04-07,0.0,0.79,0.78,0.79,17200,0.0,0
1980-04-08,0.0,0.79,0.78,0.79,10100,0.0,0
1980-04-09,0.0,0.79,0.78,0.79,13100,0.0,0
1980-04-10,0.0,0.79,0.78,0.79,11000,0.0,0
1980-04-11,0.0,0.81,0.79,0.8,11600,0.0,0
1980-04-14,0.0,0.81,0.8,0.81,9700,0.0,0
1980-04-15,0.0,0.82,0.8,0.81,19700,0.0,0
1980-04-16,0.0,0.81,0.8,0.8,5800,0.0,0
1980-04-17,0.0,0.8,0.78,0.79,35700,0.0,0
1980-04-18,0.0,0.79,0.78,0.79,4100,0.0,0
1980-04-21,0.0,0.79,0.79,0.79,9800,0.0,0
1980-04-22,0.0,0.81,0.79,0.81,13000,0.0,0
1980-04-23,0.0,0.84,0.81,0.84,34600,0.0,0
1980-04-24,0.0,0.84,0.83,0.83,14300,0.0,0
1980-04-25,0.0,0.85,0.83,0.85,12400,0.0,0
1980-04-28,0.0,0.85,0.84,0.84,6700,0.0,0
1980-04-29,0.0,0.85,0.84,0.84,5000,0.0,0
1980-04-30,0.0,0.84,0.82,0.82,16000,0.0,0
1980-05-01,0.0,0.83,0.82,0.82,45100,0.0,0
1980-05-02,0.0,0.83,0.82,0.83,6000,0.0,0
1980-05-05,0.0,0.83,0.82,0.82,7700,0.0,0
1980-05-06,0.0,0.83,0.82,0.83,6500,0.0,0
1980-05-07,0.0,0.83,0.83,0.83,8900,0.0,0
1980-05-08,0.0,0.83,0.83,0.83,6000,0.0,0
1980-05-09,0.0,0.83,0.83,0.83,14300,0.0,0
1980-05-12,0.0,0.84,0.83,0.83,7400,0.0,0
1980-05-13,0.0,0.84,0.83,0.84,21000,0.0,0
