Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-10-24,0.0,0.34,0.34,0.34,833500,0.0,0
1986-10-27,0.0,0.34,0.34,0.34,166000,0.0,0
1986-10-28,0.0,0.34,0.34,0.34,122400,0.0,0
1986-10-29,0.0,0.34,0.34,0.34,57700,0.0,0
1986-10-30,0.0,0.34,0.34,0.34,112300,0.0,0
1986-10-31,0.0,0.34,0.34,0.34,86900,0.0,0
1986-11-03,0.0,0.34,0.34,0.34,71500,0.0,0
1986-11-04,0.0,0.34,0.34,0.34,90400,0.0,0
1986-11-05,0.0,0.34,0.34,0.34,77400,0.0,0
1986-11-06,0.0,0.34,0.34,0.34,70900,0.0,0
1986-11-07,0.0,0.34,0.34,0.34,36900,0.0,0
1986-11-10,0.0,0.34,0.34,0.34,44500,0.0,0
1986-11-11,0.0,0.34,0.34,0.34,30800,0.0,0
1986-11-12,0.0,0.34,0.34,0.34,73100,0.0,0
1986-11-13,0.0,0.34,0.34,0.34,60900,0.0,0
1986-11-14,0.0,0.35,0.34,0.34,31300,0.0,0
1986-11-17,0.0,0.35,0.34,0.34,41300,0.0,0
1986-11-18,0.0,0.34,0.34,0.34,69200,0.0,0
1986-11-19,0.0,0.34,0.34,0.34,116300,0.0,0
1986-11-20,0.0,0.34,0.34,0.34,36400,0.0,0
1986-11-21,0.0,0.34,0.34,0.34,20900,0.0,0
1986-11-24,0.0,0.34,0.34,0.34,27500,0.0,0
1986-11-25,0.0,0.34,0.34,0.34,21800,0.0,0
1986-11-26,0.0,0.34,0.34,0.34,31300,0.0,0
1986-11-28,0.0,0.34,0.34,0.34,13900,0.0,0
1986-12-01,0.0,0.34,0.34,0.34,16300,0.0,0
1986-12-02,0.0,0.34,0.34,0.34,70400,0.0,0
1986-12-03,0.0,0.34,0.34,0.34,64600,0.0,0
1986-12-04,0.0,0.34,0.34,0.34,26900,0.0,0
1986-12-05,0.0,0.34,0.34,0.34,64100,0.0,0
1986-12-08,0.0,0.34,0.34,0.34,54600,0.0,0
1986-12-09,0.0,0.34,0.34,0.34,48500,0.0,0
1986-12-10,0.0,0.34,0.34,0.34,57900,0.0,0
1986-12-11,0.0,0.34,0.34,0.34,57700,0.0,0
1986-12-12,0.0,0.34,0.32,0.33,71100,0.0,0
1986-12-15,0.0,0.33,0.31,0.31,87100,0.0,0
1986-12-16,0.0,0.31,0.3,0.31,52100,0.0,0
1986-12-17,0.0,0.31,0.31,0.31,42800,0.0,0
1986-12-18,0.0,0.31,0.31,0.31,72800,0.0,0
1986-12-19,0.0,0.31,0.31,0.31,28800,0.0,0
1986-12-22,0.0,0.31,0.3,0.3,43000,0.0,0
1986-12-23,0.0,0.31,0.3,0.3,76000,0.0,0
1986-12-24,0.0,0.31,0.3,0.31,22000,0.0,0
1986-12-26,0.0,0.31,0.31,0.31,20000,0.0,0
1986-12-29,0.0,0.32,0.31,0.31,55800,0.0,0
1986-12-30,0.0,0.32,0.32,0.32,25700,0.0,0
1986-12-31,0.0,0.33,0.31,0.33,33200,0.0,0
1987-01-02,0.0,0.33,0.32,0.33,37800,0.0,0
1987-01-05,0.0,0.33,0.32,0.33,32200,0.0,0
1987-01-06,0.0,0.34,0.32,0.33,44100,0.0,0
1987-01-07,0.0,0.34,0.33,0.33,27800,0.0,0
1987-01-08,0.0,0.34,0.33,0.33,30100,0.0,0
1987-01-09,0.0,0.34,0.33,0.33,17800,0.0,0
1987-01-12,0.0,0.34,0.33,0.33,61200,0.0,0
1987-01-13,0.0,0.34,0.33,0.33,44500,0.0,0
1987-01-14,0.0,0.33,0.33,0.33,42900,0.0,0
1987-01-15,0.0,0.33,0.32,0.33,65000,0.0,0
1987-01-16,0.0,0.34,0.33,0.33,75900,0.0,0
1987-01-19,0.0,0.33,0.32,0.32,84300,0.0,0
1987-01-20,0.0,0.33,0.32,0.32,113300,0.0,0
1987-01-21,0.0,0.32,0.32,0.32,107900,0.0,0
1987-01-22,0.0,0.33,0.32,0.33,103000,0.0,0
1987-01-23,0.0,0.33,0.32,0.33,225300,0.0,0
1987-01-26,0.0,0.33,0.32,0.33,56100,0.0,0
1987-01-27,0.0,0.33,0.32,0.33,87300,0.0,0
1987-01-28,0.0,0.33,0.32,0.33,61600,0.0,0
1987-01-29,0.0,0.33,0.32,0.33,86300,0.0,0
1987-01-30,0.0,0.33,0.32,0.33,81800,0.0,0
1987-02-02,0.0,0.33,0.32,0.33,68800,0.0,0
1987-02-03,0.0,0.33,0.32,0.32,77300,0.0,0
1987-02-04,0.0,0.32,0.32,0.32,72800,0.0,0
1987-02-05,0.0,0.32,0.32,0.32,106700,0.0,0
1987-02-06,0.0,0.33,0.32,0.32,86700,0.0,0
1987-02-09,0.0,0.33,0.32,0.33,97600,0.0,0
1987-02-10,0.0,0.33,0.32,0.32,76100,0.0,0
1987-02-11,0.0,0.33,0.32,0.32,115200,0.0,0
1987-02-12,0.0,0.33,0.32,0.33,117800,0.0,0
1987-02-13,0.0,0.33,0.32,0.32,100100,0.0,0
1987-02-17,0.0,0.33,0.31,0.32,99100,0.0,0
1987-02-18,0.0,0.33,0.33,0.33,211400,0.0,0
1987-02-19,0.0,0.34,0.33,0.33,119800,0.0,0
1987-02-20,0.0,0.34,0.33,0.33,103300,0.0,0
1987-02-23,0.0,0.33,0.33,0.33,79200,0.0,0
1987-02-24,0.0,0.33,0.32,0.32,62000,0.0,0
1987-02-25,0.0,0.33,0.32,0.32,77400,0.0,0
1987-02-26,0.0,0.33,0.32,0.33,66400,0.0,0
1987-02-27,0.0,0.33,0.32,0.32,69500,0.0,0
1987-03-02,0.0,0.33,0.32,0.32,72800,0.0,0
1987-03-03,0.0,0.33,0.32,0.32,120200,0.0,0
1987-03-04,0.0,0.33,0.32,0.33,135400,0.0,0
1987-03-05,0.0,0.33,0.32,0.33,140100,0.0,0
1987-03-06,0.0,0.33,0.32,0.33,123900,0.0,0
1987-03-09,0.0,0.33,0.32,0.32,116400,0.0,0
1987-03-10,0.0,0.33,0.32,0.33,158000,0.0,0
1987-03-11,0.0,0.33,0.33,0.33,140600,0.0,0
1987-03-12,0.0,0.33,0.32,0.33,134500,0.0,0
1987-03-13,0.0,0.33,0.33,0.33,121500,0.0,0
1987-03-16,0.0,0.33,0.32,0.32,92300,0.05,0
1987-03-17,0.0,0.33,0.32,0.32,130600,0.0,0
1987-03-18,0.0,0.33,0.32,0.33,145700,0.0,0
1987-03-19,0.0,0.33,0.32,0.33,124700,0.0,0
1987-03-20,0.0,0.33,0.32,0.33,102500,0.0,0
1987-03-23,0.0,0.33,0.33,0.33,116500,0.0,0
1987-03-24,0.0,0.33,0.33,0.33,114900,0.0,0
1987-03-25,0.0,0.33,0.33,0.33,112500,0.0,0
1987-03-26,0.0,0.33,0.33,0.33,127400,0.0,0
1987-03-27,0.0,0.33,0.32,0.32,157100,0.0,0
1987-03-30,0.0,0.32,0.31,0.32,104700,0.0,0
1987-03-31,0.0,0.32,0.31,0.32,88000,0.0,0
1987-04-01,0.0,0.32,0.31,0.31,102100,0.0,0
1987-04-02,0.0,0.32,0.32,0.32,101200,0.0,0
1987-04-03,0.0,0.33,0.32,0.33,158100,0.0,0
1987-04-06,0.0,0.33,0.33,0.33,180200,0.0,0
1987-04-07,0.0,0.33,0.32,0.32,146400,0.0,0
1987-04-08,0.0,0.32,0.32,0.32,139900,0.0,0
1987-04-09,0.0,0.32,0.31,0.31,79800,0.0,0
1987-04-10,0.0,0.32,0.31,0.32,111300,0.0,0
1987-04-13,0.0,0.32,0.31,0.32,91100,0.0,0
1987-04-14,0.0,0.31,0.29,0.3,234400,0.0,0
1987-04-15,0.0,0.32,0.3,0.32,122200,0.0,0
1987-04-16,0.0,0.32,0.31,0.32,80700,0.0,0
1987-04-20,0.0,0.32,0.31,0.31,101500,0.0,0
1987-04-21,0.0,0.32,0.3,0.32,77200,0.0,0
1987-04-22,0.0,0.32,0.3,0.3,125000,0.0,0
1987-04-23,0.0,0.31,0.3,0.3,105100,0.0,0
1987-04-24,0.0,0.3,0.3,0.3,75100,0.0,0
