Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-15,6.43,6.59,6.39,6.46,9229600,0.0,0
2013-01-16,6.5,6.54,6.45,6.45,1699400,0.0,0
2013-01-17,6.46,6.5,6.43,6.43,665900,0.0,0
2013-01-18,6.43,6.46,6.34,6.39,565300,0.0,0
2013-01-22,6.41,6.58,6.35,6.56,438700,0.0,0
2013-01-23,6.59,6.59,6.5,6.55,435300,0.0,0
2013-01-24,6.53,6.58,6.51,6.54,257600,0.0,0
2013-01-25,6.57,6.6,6.52,6.54,264400,0.0,0
2013-01-28,6.53,6.56,6.48,6.52,131500,0.0,0
2013-01-29,6.54,6.55,6.49,6.52,156100,0.0,0
2013-01-30,6.54,6.55,6.49,6.53,131800,0.0,0
2013-01-31,6.56,6.56,6.48,6.51,103900,0.0,0
2013-02-01,6.52,6.59,6.52,6.55,114200,0.0,0
2013-02-04,6.57,6.57,6.45,6.52,88200,0.0,0
2013-02-05,6.56,6.56,6.48,6.52,106400,0.0,0
2013-02-06,6.52,6.57,6.48,6.53,140700,0.0,0
2013-02-07,6.51,6.59,6.51,6.58,117200,0.0,0
2013-02-08,6.55,6.59,6.51,6.59,115100,0.0,0
2013-02-11,6.65,6.77,6.63,6.73,989900,0.0,0
2013-02-12,6.78,6.89,6.76,6.78,401700,0.0,0
2013-02-13,6.82,6.92,6.77,6.8,231900,0.0,0
2013-02-14,6.82,6.85,6.75,6.75,149000,0.0,0
2013-02-15,6.73,6.78,6.66,6.76,218100,0.0,0
2013-02-19,6.73,6.79,6.66,6.76,190200,0.0,0
2013-02-20,6.73,6.81,6.7,6.71,182700,0.0,0
2013-02-21,6.71,6.74,6.62,6.62,167300,0.0,0
2013-02-22,6.67,6.78,6.67,6.74,178300,0.0,0
2013-02-25,6.73,6.78,6.66,6.67,108000,0.0,0
2013-02-26,6.72,6.79,6.63,6.78,166300,0.0,0
2013-02-27,6.79,6.86,6.71,6.82,185900,0.0,0
2013-02-28,6.78,6.87,6.75,6.85,207400,0.0,0
2013-03-01,6.81,6.91,6.73,6.87,129500,0.0,0
2013-03-04,6.89,6.98,6.83,6.97,131900,0.0,0
2013-03-05,6.97,7.09,6.97,7.05,189300,0.0,0
2013-03-06,7.04,7.07,6.84,7.0,180000,0.0,0
2013-03-07,6.98,7.05,6.91,7.04,54800,0.0,0
2013-03-08,6.92,7.12,6.92,7.09,214600,0.0,0
2013-03-11,7.09,7.22,6.99,7.2,129500,0.0,0
2013-03-12,7.17,7.25,7.09,7.17,110100,0.0,0
2013-03-13,7.14,7.25,7.1,7.22,80000,0.0,0
2013-03-14,7.22,7.29,7.14,7.2,114700,0.0,0
2013-03-15,7.15,7.28,7.13,7.26,104100,0.0,0
2013-03-18,7.24,7.24,7.07,7.17,143400,0.0,0
2013-03-19,7.17,7.17,7.05,7.05,152000,0.0,0
2013-03-20,7.05,7.07,6.86,7.05,176500,0.0,0
2013-03-21,6.98,7.04,6.92,7.03,66500,0.0,0
2013-03-22,7.06,7.11,6.95,7.05,44200,0.0,0
2013-03-25,7.03,7.06,6.98,7.05,62900,0.0,0
2013-03-26,7.03,7.16,7.02,7.15,66200,0.0,0
2013-03-27,7.08,7.22,7.04,7.22,77400,0.0,0
2013-03-28,7.18,7.35,7.16,7.35,136100,0.0,0
2013-04-01,7.28,7.34,7.24,7.31,127600,0.0,0
2013-04-02,7.33,7.38,7.29,7.35,144100,0.0,0
2013-04-03,7.35,7.35,7.2,7.21,175300,0.0,0
2013-04-04,7.18,7.22,7.11,7.2,104700,0.0,0
2013-04-05,7.11,7.31,6.89,7.25,68100,0.0,0
2013-04-08,7.22,7.34,7.1,7.29,82700,0.0,0
2013-04-09,7.26,7.35,7.25,7.34,101600,0.0,0
2013-04-10,7.34,7.36,7.28,7.35,79100,0.0,0
2013-04-11,7.35,7.44,7.29,7.35,180100,0.0,0
2013-04-12,7.31,7.35,7.26,7.34,34500,0.0,0
2013-04-15,7.28,7.34,7.08,7.19,130300,0.0,0
2013-04-16,7.22,7.25,7.17,7.23,124300,0.0,0
2013-04-17,7.17,7.22,7.04,7.09,138100,0.0,0
2013-04-18,7.05,7.24,7.0,7.21,191000,0.0,0
2013-04-19,7.16,7.34,7.13,7.27,100700,0.0,0
2013-04-22,7.25,7.36,7.24,7.34,62400,0.0,0
2013-04-23,7.31,7.68,7.27,7.64,134500,0.0,0
2013-04-24,7.67,7.78,7.57,7.67,145100,0.0,0
2013-04-25,7.7,8.04,7.64,7.78,152200,0.0,0
2013-04-26,7.89,7.93,7.62,7.64,92600,0.0,0
2013-04-29,7.71,7.85,7.71,7.81,169900,0.0,0
2013-04-30,7.84,7.93,7.77,7.9,130800,0.0,0
2013-05-01,7.83,8.13,7.83,8.03,15400,0.348,0
2013-05-02,8.03,8.06,7.9,7.99,60400,0.0,0
2013-05-03,8.03,8.11,7.95,8.1,114400,0.0,0
2013-05-06,8.07,8.32,8.04,8.28,84600,0.0,0
2013-05-07,8.33,8.39,8.29,8.37,43100,0.0,0
2013-05-08,8.33,8.47,8.3,8.34,73400,0.0,0
2013-05-09,8.31,8.33,8.0,8.21,208400,0.0,0
2013-05-10,8.16,8.39,8.09,8.33,103200,0.0,0
2013-05-13,8.21,8.34,8.2,8.3,103600,0.0,0
2013-05-14,8.22,8.29,8.08,8.13,134900,0.0,0
2013-05-15,8.18,8.23,8.03,8.13,57300,0.0,0
2013-05-16,8.09,8.15,8.09,8.1,47100,0.0,0
2013-05-17,8.14,8.24,8.11,8.21,47600,0.0,0
2013-05-20,8.22,8.29,8.14,8.17,15000,0.0,0
2013-05-21,8.17,8.21,8.15,8.16,42500,0.0,0
2013-05-22,8.15,8.21,8.15,8.16,35200,0.0,0
2013-05-23,8.14,8.14,7.96,8.0,38000,0.0,0
2013-05-24,7.97,8.19,7.97,8.17,47500,0.0,0
2013-05-28,8.21,8.37,8.15,8.26,66800,0.0,0
2013-05-29,8.27,8.48,8.27,8.48,119400,0.0,0
2013-05-30,8.43,8.52,8.32,8.33,126500,0.0,0
2013-05-31,8.38,8.45,8.23,8.28,24600,0.0,0
2013-06-03,8.72,8.72,8.35,8.53,97200,0.0,0
2013-06-04,8.49,8.53,8.08,8.08,268200,0.0,0
2013-06-05,8.08,8.12,7.61,7.69,233200,0.0,0
