Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-29,25.56,26.5,22.61,23.93,16094600,0,0
2020-07-30,24.1,24.7,23.53,24.2,1631300,0,0
2020-07-31,24.0,24.5,21.11,23.56,1480500,0,0
2020-08-03,23.58,24.26,22.8,23.5,998300,0,0
2020-08-04,23.5,25.39,23.14,24.67,2140600,0,0
2020-08-05,24.4,25.09,24.35,24.69,470900,0,0
2020-08-06,24.75,26.22,24.45,25.76,747500,0,0
2020-08-07,26.0,26.18,24.97,25.2,625100,0,0
2020-08-10,25.19,25.31,22.95,24.58,561300,0,0
2020-08-11,24.32,24.68,23.14,23.65,578000,0,0
2020-08-12,24.07,25.42,23.74,24.21,508700,0,0
2020-08-13,24.54,25.06,23.84,24.43,258800,0,0
2020-08-14,24.49,24.79,24.0,24.55,201900,0,0
2020-08-17,24.55,25.6,24.55,25.16,182600,0,0
2020-08-18,25.0,26.0,24.7,25.11,296800,0,0
2020-08-19,25.17,25.95,25.04,25.63,141100,0,0
2020-08-20,25.58,26.5,25.14,26.1,347900,0,0
2020-08-21,25.99,28.75,25.75,27.24,820200,0,0
2020-08-24,27.25,28.86,26.6,28.3,539900,0,0
2020-08-25,28.3,28.4,26.86,27.96,297900,0,0
2020-08-26,27.97,29.69,27.68,28.34,522800,0,0
2020-08-27,28.22,29.34,27.76,29.1,372300,0,0
2020-08-28,29.3,29.45,27.98,28.19,346500,0,0
2020-08-31,27.94,28.7,25.13,25.61,444100,0,0
2020-09-01,25.61,26.46,24.72,24.75,411900,0,0
2020-09-02,25.07,25.25,23.5,23.69,760800,0,0
2020-09-03,23.33,23.95,22.07,22.7,897100,0,0
2020-09-04,22.7,24.38,21.93,24.0,556000,0,0
2020-09-08,23.29,24.12,23.02,23.35,579400,0,0
2020-09-09,23.85,24.34,23.1,23.38,243400,0,0
2020-09-10,23.69,23.75,23.2,23.51,558700,0,0
2020-09-11,23.56,23.75,22.96,23.01,427000,0,0
2020-09-14,23.0,23.43,22.61,22.88,266900,0,0
2020-09-15,23.03,23.15,22.66,22.75,193000,0,0
