Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-02-24,7.4,7.4,7.36,7.39,812300,0.0,0
2012-02-27,7.41,7.41,7.38,7.4,86700,0.0,0
2012-02-28,7.42,7.42,7.38,7.4,46000,0.0,0
2012-02-29,7.38,7.4,7.38,7.4,43800,0.0,0
2012-03-01,7.38,7.4,7.38,7.4,37000,0.0,0
2012-03-02,7.4,7.4,7.38,7.38,7400,0.0,0
2012-03-05,7.38,7.4,7.38,7.4,34400,0.0,0
2012-03-06,7.39,7.4,7.39,7.4,11900,0.0,0
2012-03-07,7.38,7.4,7.38,7.4,6800,0.0,0
2012-03-08,7.42,7.42,7.39,7.4,1700,0.0,0
2012-03-09,7.39,7.4,7.38,7.4,11100,0.0,0
2012-03-12,7.4,7.4,7.4,7.4,3200,0.0,0
2012-03-13,7.4,7.4,7.4,7.4,5100,0.0,0
2012-03-14,7.4,7.4,7.4,7.4,7200,0.0,0
2012-03-15,7.4,7.4,7.4,7.4,6300,0.0,0
2012-03-16,7.4,7.42,7.4,7.4,6200,0.0,0
2012-03-19,7.4,7.4,7.4,7.4,4500,0.0,0
2012-03-20,7.4,7.4,7.4,7.4,7100,0.0,0
2012-03-21,7.4,7.42,7.4,7.4,7700,0.0,0
2012-03-22,7.42,7.47,7.4,7.42,16700,0.0,0
2012-03-23,7.42,7.43,7.4,7.4,5600,0.0,0
2012-03-26,7.4,7.42,7.4,7.4,7700,0.0,0
2012-03-27,7.4,7.42,7.4,7.42,4200,0.0,0
2012-03-28,7.43,7.43,7.4,7.4,56500,0.0,0
2012-03-29,7.4,7.4,7.38,7.4,89000,0.0,0
2012-03-30,7.4,7.42,7.4,7.42,55300,0.0,0
2012-04-02,7.4,7.42,7.4,7.42,39700,0.0,0
2012-04-03,7.49,7.49,7.37,7.4,152500,0.0,0
2012-04-04,7.38,7.4,7.37,7.38,87400,0.0,0
2012-04-05,7.42,7.42,7.38,7.38,46200,0.0,0
2012-04-09,7.36,7.36,7.03,7.11,77600,0.0,0
2012-04-10,7.16,7.21,7.12,7.13,22000,0.0,0
2012-04-11,7.19,7.19,7.08,7.13,12900,0.0,0
2012-04-12,7.14,7.19,7.08,7.13,15900,0.0,0
2012-04-13,7.19,7.35,7.14,7.2,6600,0.117,0
2012-04-16,7.26,7.4,7.04,7.09,29200,0.0,0
2012-04-17,7.37,7.37,6.79,6.9,84400,0.0,0
2012-04-18,6.93,6.98,6.79,6.98,44600,0.0,0
2012-04-19,7.01,7.14,7.01,7.11,12700,0.0,0
2012-04-20,7.07,7.07,6.96,7.03,25800,0.0,0
2012-04-23,6.98,7.0,6.79,6.86,29100,0.0,0
2012-04-24,6.72,7.03,6.72,6.91,58600,0.0,0
2012-04-25,6.93,7.0,6.81,6.86,50700,0.0,0
2012-04-26,6.88,6.88,6.77,6.81,28200,0.0,0
2012-04-27,6.81,6.93,6.81,6.89,17600,0.0,0
2012-04-30,6.82,7.01,6.82,6.94,40000,0.0,0
2012-05-01,6.98,7.0,6.89,6.98,30000,0.0,0
2012-05-02,6.97,7.1,6.91,6.98,25000,0.0,0
2012-05-03,7.02,7.12,6.98,7.07,31000,0.0,0
2012-05-04,7.14,7.14,7.03,7.11,21100,0.0,0
2012-05-07,7.04,7.15,7.03,7.08,15000,0.0,0
2012-05-08,7.13,7.13,7.03,7.08,9100,0.0,0
2012-05-09,7.13,7.14,6.99,7.05,5200,0.117,0
2012-05-10,7.12,7.17,6.98,7.02,13700,0.0,0
2012-05-11,6.97,7.09,6.97,7.02,10000,0.0,0
2012-05-14,6.97,7.16,6.89,7.15,41900,0.0,0
2012-05-15,7.03,7.11,6.88,6.92,27000,0.0,0
2012-05-16,6.83,6.97,6.81,6.97,17100,0.0,0
2012-05-17,6.89,6.93,6.83,6.83,44900,0.0,0
2012-05-18,6.8,6.83,6.69,6.75,28700,0.0,0
2012-05-21,6.7,6.79,6.69,6.7,24200,0.0,0
2012-05-22,6.79,6.84,6.64,6.64,28300,0.0,0
2012-05-23,6.62,6.74,6.4,6.66,96000,0.0,0
2012-05-24,6.73,6.73,6.59,6.59,33600,0.0,0
2012-05-25,6.61,6.65,6.52,6.55,38800,0.0,0
2012-05-29,6.68,6.69,6.55,6.59,57100,0.0,0
2012-05-30,6.63,6.63,6.49,6.6,37400,0.0,0
2012-05-31,6.59,6.62,6.52,6.62,20500,0.0,0
2012-06-01,6.56,6.62,6.56,6.6,30300,0.0,0
2012-06-04,6.65,6.65,6.4,6.44,33900,0.0,0
2012-06-05,6.42,6.51,6.4,6.43,11200,0.0,0
2012-06-06,6.43,6.51,6.42,6.44,33600,0.0,0
2012-06-07,6.46,6.51,6.42,6.47,32100,0.117,0
2012-06-08,6.54,6.56,6.48,6.54,17900,0.0,0
2012-06-11,6.52,6.56,6.46,6.53,42000,0.0,0
2012-06-12,6.6,6.6,6.45,6.6,39400,0.0,0
2012-06-13,6.56,6.61,6.52,6.57,22300,0.0,0
2012-06-14,6.63,6.63,6.48,6.49,48400,0.0,0
2012-06-15,6.57,6.63,6.52,6.56,17300,0.0,0
2012-06-18,6.61,6.62,6.56,6.61,41500,0.0,0
2012-06-19,6.62,6.77,6.62,6.67,31300,0.0,0
2012-06-20,6.74,6.89,6.71,6.83,26300,0.0,0
2012-06-21,6.84,6.86,6.63,6.66,56500,0.0,0
2012-06-22,6.66,6.72,6.63,6.67,41500,0.0,0
2012-06-25,6.7,6.71,6.56,6.63,86600,0.0,0
2012-06-26,6.68,6.71,6.52,6.6,81600,0.0,0
2012-06-27,6.64,6.78,6.61,6.78,40900,0.0,0
