Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-18,0.0,0.6233,0.6233,0.6233,700,0.0,0.0
1980-03-19,0.6233,0.6233,0.6233,0.6233,0,0.0,0.0
1980-03-20,0.6233,0.6233,0.6233,0.6233,0,0.0,0.0
1980-03-21,0.0,0.6233,0.6233,0.6233,6600,0.0,0.0
1980-03-24,0.0,0.6044,0.6044,0.6044,700,0.0,0.0
1980-03-25,0.0,0.6044,0.6044,0.6044,22000,0.0,0.0
1980-03-26,0.0,0.6044,0.6044,0.6044,600,0.0,0.0
1980-03-27,0.0,0.6044,0.5666,0.5666,400,0.0,0.0
1980-03-28,0.0,0.5855,0.4911,0.4911,12900,0.0,0.0
1980-03-31,0.0,0.51,0.4722,0.51,400,0.0,0.0
1980-04-01,0.0,0.4911,0.4722,0.4911,3300,0.0,0.0
1980-04-02,0.0,0.4722,0.4722,0.4722,700,0.0,0.0
1980-04-03,0.0,0.4722,0.4155,0.4533,281300,0.0,0.0
1980-04-07,0.0,0.4344,0.4344,0.4344,900,0.0,0.0
1980-04-08,0.0,0.4911,0.4533,0.4911,3600,0.0,0.0
1980-04-09,0.4911,0.4911,0.4911,0.4911,0,0.0,0.0
1980-04-10,0.0,0.4722,0.4722,0.4722,700,0.0,0.0
1980-04-11,0.0,0.4722,0.4722,0.4722,600,0.0,0.0
1980-04-14,0.4722,0.4722,0.4722,0.4722,0,0.0,0.0
1980-04-15,0.0,0.4533,0.4533,0.4533,3300,0.0,0.0
1980-04-16,0.0,0.4722,0.4722,0.4722,300,0.0,0.0
1980-04-17,0.0,0.4722,0.4722,0.4722,100,0.0,0.0
1980-04-18,0.0,0.4722,0.4722,0.4722,3300,0.0,0.0
1980-04-21,0.4722,0.4722,0.4722,0.4722,0,0.0,0.0
1980-04-22,0.4722,0.4722,0.4722,0.4722,0,0.0,0.0
1980-04-23,0.4722,0.4722,0.4722,0.4722,0,0.0,0.0
1980-04-24,0.4722,0.4722,0.4722,0.4722,0,0.0,0.0
1980-04-25,0.0,0.4911,0.4911,0.4911,700,0.0,0.0
1980-04-28,0.0,0.4722,0.4155,0.4533,32600,0.0,0.0
1980-04-29,0.0,0.4344,0.4344,0.4344,100,0.0,0.0
1980-04-30,0.0,0.4533,0.4533,0.4533,3300,0.0,0.0
1980-05-01,0.4533,0.4533,0.4533,0.4533,0,0.0,0.0
1980-05-02,0.0,0.4911,0.4722,0.4911,400,0.0,0.0
1980-05-05,0.0,0.51,0.4911,0.4911,600,0.0,0.0
1980-05-06,0.0,0.4722,0.4722,0.4722,3300,0.0,0.0
1980-05-07,0.4722,0.4722,0.4722,0.4722,0,0.0,0.0
1980-05-08,0.4722,0.4722,0.4722,0.4722,0,0.0,0.0
1980-05-09,0.4722,0.4722,0.4722,0.4722,0,0.0,0.0
1980-05-12,0.0,0.4911,0.4911,0.4911,400,0.0,0.0
1980-05-13,0.4911,0.4911,0.4911,0.4911,0,0.0,0.0
1980-05-14,0.4911,0.4911,0.4911,0.4911,0,0.0,0.0
1980-05-15,0.0,0.51,0.51,0.51,700,0.0,0.0
1980-05-16,0.51,0.51,0.51,0.51,0,0.0,0.0
1980-05-19,0.0,0.51,0.51,0.51,3600,0.0,0.0
1980-05-20,0.0,0.51,0.4911,0.4911,3700,0.0,0.0
1980-05-21,0.4911,0.4911,0.4911,0.4911,0,0.0,0.0
1980-05-22,0.0,0.51,0.51,0.51,100,0.0,0.0
1980-05-23,0.51,0.51,0.51,0.51,0,0.0,0.0
1980-05-27,0.0,0.4911,0.4911,0.4911,100,0.0,0.0
1980-05-28,0.0,0.51,0.51,0.51,100,0.0,0.0
1980-05-29,0.0,0.5288,0.51,0.5288,3300,0.0,0.0
1980-05-30,0.5288,0.5288,0.5288,0.5288,0,0.0,0.0
1980-06-02,0.0,0.51,0.51,0.51,700,0.0,0.0
1980-06-03,0.51,0.51,0.51,0.51,0,0.0,0.0
1980-06-04,0.51,0.51,0.51,0.51,0,0.0,0.0
1980-06-05,0.0,0.5288,0.5288,0.5288,700,0.0,0.0
1980-06-06,0.0,0.5477,0.5477,0.5477,3300,0.0,0.0
1980-06-09,0.0,0.5666,0.5477,0.5666,4600,0.0,0.0
1980-06-10,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-06-11,0.0,0.5666,0.5666,0.5666,700,0.0,0.0
1980-06-12,0.0,0.5666,0.5288,0.5477,12300,0.0,0.0
1980-06-13,0.5477,0.5477,0.5477,0.5477,0,0.0,0.0
1980-06-16,0.5477,0.5477,0.5477,0.5477,0,0.0,0.0
1980-06-17,0.0,0.5288,0.5288,0.5288,700,0.0,0.0
1980-06-18,0.0,0.51,0.51,0.51,400,0.0,0.0
1980-06-19,0.0,0.51,0.51,0.51,1500,0.0,0.0
1980-06-20,0.51,0.51,0.51,0.51,0,0.0,0.0
1980-06-23,0.0,0.5855,0.5288,0.5855,11300,0.0,0.0
1980-06-24,0.0,0.5855,0.5855,0.5855,100,0.0,0.0
1980-06-25,0.0,0.661,0.5666,0.661,7200,0.0,0.0
1980-06-26,0.0,0.6799,0.661,0.661,8600,0.0,0.0
1980-06-27,0.661,0.661,0.661,0.661,0,0.0,0.0
1980-06-30,0.0,0.6988,0.6799,0.6988,1500,0.0,0.0
1980-07-01,0.6988,0.6988,0.6988,0.6988,0,0.0,0.0
1980-07-02,0.6988,0.6988,0.6988,0.6988,0,0.0,0.0
1980-07-03,0.0,0.6988,0.6988,0.6988,700,0.0,0.0
1980-07-07,0.0,0.6799,0.661,0.661,900,0.0,0.0
1980-07-08,0.0,0.6799,0.6799,0.6799,400,0.0,0.0
1980-07-09,0.0,0.661,0.661,0.661,700,0.0,0.0
1980-07-10,0.0,0.661,0.6422,0.661,1800,0.0,0.0
1980-07-11,0.0,0.661,0.661,0.661,100,0.0,0.0
1980-07-14,0.0,0.6422,0.6233,0.6233,14800,0.0,0.0
1980-07-15,0.0,0.6233,0.6233,0.6233,400,0.0,0.0
1980-07-16,0.0,0.661,0.6422,0.6422,1500,0.0,0.0
1980-07-17,0.6422,0.6422,0.6422,0.6422,0,0.0,0.0
1980-07-18,0.6422,0.6422,0.6422,0.6422,0,0.0,0.0
1980-07-21,0.0,0.6233,0.6233,0.6233,300,0.0,0.0
1980-07-22,0.0,0.6233,0.6044,0.6044,9000,0.0,0.0
1980-07-23,0.6044,0.6044,0.6044,0.6044,0,0.0,0.0
1980-07-24,0.6044,0.6044,0.6044,0.6044,0,0.0,0.0
1980-07-25,0.0,0.6044,0.5855,0.5855,3300,0.0,0.0
1980-07-28,0.5855,0.5855,0.5855,0.5855,0,0.0,0.0
1980-07-29,0.0,0.5855,0.5855,0.5855,700,0.0,0.0
1980-07-30,0.5855,0.5855,0.5855,0.5855,0,0.0,0.0
1980-07-31,0.5855,0.5855,0.5855,0.5855,0,0.0,0.0
1980-08-01,0.5855,0.5855,0.5855,0.5855,0,0.0,0.0
1980-08-04,0.0,0.6044,0.6044,0.6044,600,0.0,0.0
1980-08-05,0.0,0.5855,0.5666,0.5666,3300,0.0,0.0
1980-08-06,0.0,0.5855,0.5855,0.5855,700,0.0,0.0
1980-08-07,0.5855,0.5855,0.5855,0.5855,0,0.0,0.0
1980-08-08,0.5855,0.5855,0.5855,0.5855,0,0.0,0.0
1980-08-11,0.5855,0.5855,0.5855,0.5855,0,0.0,0.0
1980-08-12,0.5855,0.5855,0.5855,0.5855,0,0.0,0.0
1980-08-13,0.0,0.5666,0.5666,0.5666,3600,0.0,0.0
1980-08-14,0.0,0.5666,0.5666,0.5666,8600,0.0,0.0
1980-08-15,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-08-18,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-08-19,0.0,0.5666,0.5666,0.5666,100,0.0,0.0
1980-08-20,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-08-21,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-08-22,0.0,0.5666,0.5666,0.5666,100,0.0,0.0
1980-08-25,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-08-26,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-08-27,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-08-28,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-08-29,0.5666,0.5666,0.5666,0.5666,0,0.0,0.0
1980-09-02,0.0,0.6044,0.5666,0.6044,4200,0.0,0.0
1980-09-03,0.6044,0.6044,0.6044,0.6044,0,0.0,0.0
1980-09-04,0.6044,0.6044,0.6044,0.6044,0,0.0,0.0
1980-09-05,0.0,0.6044,0.6044,0.6044,700,0.0,0.0
1980-09-08,0.0,0.6233,0.6044,0.6044,3600,0.0,0.0
1980-09-09,0.0,0.6044,0.6044,0.6044,700,0.0,0.0
1980-09-10,0.0,0.6044,0.6044,0.6044,5000,0.0,0.0
