Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-24,10.25,10.3,10.17,10.19,3527700,0,0
2020-12-28,10.25,10.32,10.23,10.3,360000,0,0
2020-12-29,10.35,10.35,10.25,10.27,146900,0,0
2020-12-30,10.27,10.3,10.25,10.3,46400,0,0
2020-12-31,10.3,10.3,10.26,10.3,37300,0,0
2021-01-04,10.25,10.3,10.23,10.3,358700,0,0
2021-01-05,10.3,10.3,10.25,10.29,46800,0,0
2021-01-06,10.25,10.3,10.25,10.28,25200,0,0
2021-01-07,10.28,10.3,10.27,10.28,91800,0,0
2021-01-08,10.3,10.36,10.26,10.3,115200,0,0
2021-01-11,10.3,10.33,10.26,10.31,142700,0,0
2021-01-12,10.31,10.38,10.31,10.36,211000,0,0
2021-01-13,10.4,10.48,10.4,10.44,142000,0,0
2021-01-14,10.5,10.63,10.36,10.49,73400,0,0
2021-01-15,10.53,10.57,10.46,10.5,81900,0,0
2021-01-19,10.58,10.6,10.55,10.56,22900,0,0
2021-01-20,10.57,10.57,10.49,10.52,27400,0,0
2021-01-21,10.54,10.6,10.49,10.5,26600,0,0
2021-01-22,10.58,10.6,10.48,10.55,32400,0,0
2021-01-25,10.6,10.64,10.48,10.57,63900,0,0
2021-01-26,10.64,10.72,10.5,10.59,27900,0,0
2021-01-27,10.52,10.52,10.35,10.4,74700,0,0
2021-01-28,10.41,10.45,10.32,10.36,43100,0,0
2021-01-29,10.3,10.45,10.3,10.38,8100,0,0
2021-02-01,10.4,10.45,10.35,10.45,96200,0,0
2021-02-02,10.47,10.54,10.41,10.47,40700,0,0
2021-02-03,10.53,10.59,10.5,10.53,40200,0,0
2021-02-04,10.68,10.68,10.51,10.67,71500,0,0
2021-02-05,10.68,11.19,10.65,10.97,416600,0,0
2021-02-08,11.45,11.6,11.15,11.35,727400,0,0
2021-02-09,11.35,11.4,11.22,11.22,85100,0,0
2021-02-10,11.29,11.31,11.1,11.26,156900,0,0
2021-02-11,11.3,11.52,11.26,11.3,51300,0,0
2021-02-12,11.31,11.4,11.02,11.18,40000,0,0
2021-02-16,11.2,11.4,11.2,11.4,28500,0,0
2021-02-17,11.39,11.52,11.39,11.48,123800,0,0
2021-02-18,11.32,11.35,11.24,11.3,16800,0,0
2021-02-19,11.29,11.42,11.25,11.26,132600,0,0
2021-02-22,11.31,11.31,11.1,11.15,165300,0,0
2021-02-23,11.06,11.27,10.82,11.21,55700,0,0
2021-02-24,11.15,11.21,11.04,11.15,71000,0,0
2021-02-25,11.15,11.18,10.9,11.0,43400,0,0
2021-02-26,10.96,11.0,10.8,10.86,29600,0,0
2021-03-01,10.98,10.99,10.9,10.9,56200,0,0
2021-03-02,10.8,10.91,10.45,10.75,155600,0,0
2021-03-03,10.71,10.95,10.53,10.53,53500,0,0
2021-03-04,10.58,10.6,10.32,10.58,14600,0,0
2021-03-05,10.64,10.83,10.45,10.46,20300,0,0
2021-03-08,10.42,10.54,10.42,10.47,16800,0,0
2021-03-09,10.52,10.59,10.5,10.5,4600,0,0
2021-03-10,10.57,10.6,10.31,10.41,57800,0,0
2021-03-11,10.59,10.7,10.48,10.6,13700,0,0
2021-03-12,10.6,10.76,10.6,10.66,4500,0,0
2021-03-15,10.6,10.65,10.56,10.56,66100,0,0
2021-03-16,10.7,10.7,10.38,10.39,231600,0,0
2021-03-17,10.38,10.5,10.38,10.5,30400,0,0
2021-03-18,10.45,10.57,10.45,10.49,8400,0,0
2021-03-19,10.45,10.48,10.4,10.45,105800,0,0
2021-03-22,10.45,10.48,10.43,10.43,12100,0,0
2021-03-23,10.41,10.41,10.32,10.32,4600,0,0
2021-03-24,10.45,10.47,10.17,10.18,144700,0,0
2021-03-25,10.27,10.27,10.12,10.27,119600,0,0
2021-03-26,10.23,10.45,10.23,10.45,1400,0,0
2021-03-29,10.37,10.52,10.28,10.52,3000,0,0
2021-03-30,10.52,10.58,10.45,10.45,2100,0,0
2021-03-31,10.46,10.6,10.45,10.5,4000,0,0
2021-04-01,10.65,10.65,10.54,10.54,1000,0,0
2021-04-05,10.51,10.55,10.51,10.52,2400,0,0
2021-04-06,10.51,10.54,10.5,10.54,3900,0,0
2021-04-07,10.6,10.6,10.57,10.57,1100,0,0
2021-04-08,10.7,10.7,10.63,10.63,900,0,0
2021-04-09,10.63,10.63,10.63,10.63,0,0,0
2021-04-12,10.63,10.63,10.63,10.63,0,0,0
2021-04-13,10.63,10.63,10.63,10.63,0,0,0
2021-04-14,10.62,10.64,10.58,10.64,1000,0,0
2021-04-15,10.61,10.61,10.61,10.61,500,0,0
2021-04-16,10.59,10.59,10.59,10.59,700,0,0
2021-04-19,10.61,10.61,10.59,10.59,500,0,0
2021-04-20,10.58,10.62,10.58,10.62,400,0,0
2021-04-21,10.56,10.56,10.53,10.53,200,0,0
2021-04-22,10.53,10.59,10.53,10.58,1100,0,0
2021-04-23,10.62,10.62,10.61,10.61,1700,0,0
