Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-11,7.07,14.41,6.8,8.99,4818800,0,0
2020-12-14,8.33,8.4,7.5,7.79,608500,0,0
2020-12-15,7.5,7.64,6.62,7.12,363000,0,0
2020-12-16,7.05,7.1,6.61,6.78,246700,0,0
2020-12-17,9.3,12.38,8.25,9.11,15611700,0,0
2020-12-18,8.4,9.45,7.29,7.7,1165900,0,0
2020-12-21,7.69,8.36,7.28,7.43,446100,0,0
2020-12-22,7.48,7.71,7.07,7.2,487400,0,0
2020-12-23,7.04,7.91,7.04,7.24,342400,0,0
2020-12-24,7.34,7.55,7.25,7.38,175000,0,0
2020-12-28,7.45,7.45,6.67,6.99,386400,0,0
2020-12-29,6.9,6.98,6.38,6.53,246300,0,0
2020-12-30,6.44,6.44,6.02,6.1,237700,0,0
2020-12-31,6.13,6.3,5.64,5.91,216600,0,0
2021-01-04,5.97,6.3,5.91,6.01,155100,0,0
2021-01-05,6.1,6.3,5.85,6.17,295800,0,0
2021-01-06,6.28,6.41,6.12,6.29,177700,0,0
2021-01-07,6.21,6.45,6.1,6.39,98300,0,0
2021-01-08,6.39,6.4,6.1,6.23,125200,0,0
2021-01-11,6.36,7.3,6.26,7.25,511200,0,0
2021-01-12,7.35,8.24,7.31,8.13,531700,0,0
2021-01-13,8.18,8.25,7.75,8.15,225800,0,0
2021-01-14,8.15,8.15,7.75,7.99,142800,0,0
2021-01-15,7.79,7.99,7.35,7.53,263500,0,0
2021-01-19,7.53,7.9,6.8,6.83,388500,0,0
2021-01-20,6.8,7.18,6.64,6.72,171500,0,0
2021-01-21,6.91,7.14,6.75,7.07,216700,0,0
2021-01-22,7.02,7.02,6.58,6.7,120800,0,0
2021-01-25,6.75,6.99,6.5,6.87,170000,0,0
2021-01-26,6.87,7.15,6.61,7.14,122800,0,0
2021-01-27,7.1,7.15,6.63,7.03,153700,0,0
2021-01-28,6.72,6.8,6.59,6.74,54300,0,0
2021-01-29,6.74,6.94,6.37,6.54,109900,0,0
2021-02-01,6.59,7.1,6.58,7.01,98200,0,0
2021-02-02,7.02,7.33,6.7,6.74,122900,0,0
2021-02-03,6.7,7.0,6.7,6.88,76000,0,0
2021-02-04,6.96,7.12,6.81,6.9,49000,0,0
2021-02-05,6.96,7.18,6.7,7.05,223700,0,0
2021-02-08,7.2,7.2,6.82,7.16,145500,0,0
2021-02-09,7.19,7.67,6.91,7.5,178900,0,0
2021-02-10,7.64,7.78,7.34,7.62,118700,0,0
2021-02-11,7.75,7.86,6.96,6.99,120100,0,0
2021-02-12,6.95,7.21,6.83,6.84,120400,0,0
2021-02-16,6.91,8.2,6.91,7.63,348600,0,0
2021-02-17,7.7,7.97,7.25,7.64,130300,0,0
2021-02-18,7.63,7.93,7.3,7.66,559400,0,0
2021-02-19,7.84,8.83,7.68,8.24,393000,0,0
2021-02-22,8.43,9.78,8.25,8.9,567900,0,0
2021-02-23,8.8,8.85,8.06,8.68,149500,0,0
2021-02-24,8.96,9.13,8.5,8.51,104800,0,0
2021-02-25,8.46,8.59,7.25,7.54,161000,0,0
2021-02-26,7.9,8.1,7.45,7.51,111400,0,0
2021-03-01,7.58,7.89,7.07,7.44,96200,0,0
2021-03-02,7.59,7.82,7.12,7.24,53000,0,0
2021-03-03,7.25,7.35,6.87,7.05,59700,0,0
2021-03-04,6.8,7.0,6.46,6.65,101300,0,0
2021-03-05,6.79,6.9,6.12,6.61,69700,0,0
2021-03-08,6.7,6.92,6.31,6.46,93900,0,0
2021-03-09,6.58,6.91,6.45,6.8,24700,0,0
2021-03-10,6.99,6.99,6.7,6.7,27200,0,0
2021-03-11,6.87,7.37,6.72,6.97,33700,0,0
2021-03-12,6.97,7.5,6.8,7.44,131300,0,0
2021-03-15,7.3,8.34,7.23,7.38,302800,0,0
2021-03-16,7.45,7.94,6.92,7.35,247700,0,0
2021-03-17,7.3,7.6,7.28,7.44,70400,0,0
2021-03-18,7.44,7.62,7.16,7.18,58800,0,0
2021-03-19,7.49,7.74,6.95,6.95,196300,0,0
