Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-25,82.0,124.4,82.0,114.84,1313400,0,0.0
2018-01-26,111.96,121.12,110.04,114.04,244300,0,0.0
2018-01-29,114.04,136.8,113.6,133.56,125800,0,0.0
2018-01-30,132.6,142.2,124.32,139.08,59800,0,0.0
2018-01-31,139.32,152.4,137.64,147.2,69500,0,0.0
2018-02-01,148.0,148.7,135.712,140.0,38000,0,0.0
2018-02-02,139.04,139.04,120.0,122.24,63000,0,0.0
2018-02-05,119.48,130.104,119.48,122.84,28700,0,0.0
2018-02-06,121.52,159.44,119.8,138.96,29200,0,0.0
2018-02-07,140.0,146.0,133.02,145.84,31100,0,0.0
2018-02-08,143.4,150.704,139.08,145.96,31600,0,0.0
2018-02-09,146.48,149.2,128.388,142.6,16700,0,0.0
2018-02-12,128.6,146.28,128.6,143.0,10800,0,0.0
2018-02-13,143.64,143.64,138.26,142.0,9800,0,0.0
2018-02-14,141.08,148.0,140.08,142.2,10900,0,0.0
2018-02-15,144.0,146.36,136.004,141.28,11800,0,0.0
2018-02-16,140.16,142.88,131.88,139.52,13900,0,0.0
2018-02-20,136.96,142.72,133.872,135.84,15600,0,0.0
2018-02-21,133.92,141.0,132.44,139.6,54200,0,0.0
2018-02-22,140.92,151.68,133.24,144.0,43700,0,0.0
2018-02-23,144.4,151.92,134.7,138.92,30900,0,0.0
2018-02-26,138.0,143.92,135.08,139.0,12700,0,0.0
2018-02-27,135.0,151.6,132.8,135.6,32300,0,0.0
2018-02-28,136.64,140.96,133.68,137.8,8900,0,0.0
2018-03-01,136.0,136.12,129.0,129.72,20600,0,0.0
2018-03-02,129.72,140.84,124.8,133.4,26600,0,0.0
2018-03-05,134.24,136.08,130.0,132.56,27300,0,0.0
2018-03-06,132.92,132.92,125.0,132.0,27000,0,0.0
2018-03-07,131.32,134.86,126.32,130.4,15100,0,0.0
2018-03-08,132.0,132.0,125.48,128.0,12600,0,0.0
2018-03-09,128.88,136.28,126.88,132.0,34900,0,0.0
2018-03-12,131.52,140.48,128.94,132.0,35800,0,0.0
2018-03-13,133.08,135.96,128.48,133.6,24500,0,0.0
2018-03-14,133.56,136.0,124.444,125.68,36900,0,0.0
2018-03-15,125.36,129.7,124.44,126.12,53400,0,0.0
2018-03-16,125.84,132.02,120.84,126.16,233800,0,0.0
2018-03-19,125.48,126.36,122.6,123.04,18400,0,0.0
2018-03-20,122.8,123.396,118.5,119.2,36300,0,0.0
2018-03-21,119.16,128.56,117.8,127.6,18500,0,0.0
2018-03-22,126.24,141.96,120.12,137.04,27900,0,0.0
2018-03-23,137.4,141.56,135.96,140.0,23400,0,0.0
2018-03-26,142.2,142.2,133.8,141.56,15100,0,0.0
2018-03-27,141.64,146.0,138.56,143.48,6500,0,0.0
2018-03-28,142.84,155.296,132.48,151.28,27000,0,0.0
2018-03-29,149.2,152.04,141.48,150.32,40200,0,0.0
2018-04-02,149.92,154.02,146.8,147.6,9800,0,0.0
2018-04-03,148.08,150.4,143.16,147.96,8700,0,0.0
2018-04-04,146.04,148.16,144.48,145.96,32300,0,0.0
2018-04-05,147.24,147.24,143.4,144.88,7700,0,0.0
2018-04-06,143.56,145.92,136.54,140.88,21700,0,0.0
2018-04-09,45.4,47.356,31.76,32.68,767000,0,0.0
2018-04-10,33.04,36.8,32.4,33.04,359100,0,0.0
2018-04-11,33.0,35.8,32.8,35.4,104900,0,0.0
2018-04-12,35.6,38.776,34.856,37.72,147400,0,0.0
2018-04-13,38.0,39.68,36.604,37.64,52600,0,0.0
2018-04-16,37.96,38.88,36.52,38.04,43100,0,0.0
2018-04-17,38.16,39.08,37.36,37.68,22600,0,0.0
2018-04-18,37.6,38.112,37.0,37.36,19500,0,0.0
2018-04-19,37.24,37.64,35.72,36.04,59400,0,0.0
2018-04-20,35.88,36.44,34.8,35.32,14900,0,0.0
2018-04-23,35.24,35.24,33.44,34.36,57300,0,0.0
2018-04-24,34.52,35.56,31.6,32.04,48200,0,0.0
2018-04-25,31.72,32.0,27.96,31.64,103800,0,0.0
2018-04-26,31.88,33.96,31.52,32.36,43700,0,0.0
2018-04-27,32.48,32.88,30.44,31.44,31500,0,0.0
2018-04-30,31.6,33.44,30.68,32.04,50200,0,0.0
2018-05-01,31.92,32.92,30.8,31.92,37800,0,0.0
2018-05-02,31.72,34.52,31.48,34.16,33400,0,0.0
2018-05-03,34.04,34.392,32.6,33.96,16600,0,0.0
2018-05-04,33.68,34.96,33.4,34.68,17700,0,0.0
2018-05-07,34.96,36.68,34.36,36.32,36800,0,0.0
2018-05-08,36.36,36.56,34.32,35.56,30200,0,0.0
2018-05-09,35.64,36.72,35.4,36.0,41700,0,0.0
2018-05-10,34.88,38.84,34.2,38.84,41800,0,0.0
2018-05-11,39.0,40.8,38.24,40.56,37900,0,0.0
2018-05-14,40.8,40.8,37.52,38.12,40800,0,0.0
2018-05-15,38.0,40.16,37.64,39.48,50400,0,0.0
2018-05-16,39.8,41.2,38.2,39.36,85500,0,0.0
2018-05-17,39.2,41.0,38.8,39.4,80200,0,0.0
2018-05-18,39.52,40.036,37.16,37.28,16900,0,0.0
2018-05-21,37.56,38.0,34.24,36.0,70100,0,0.0
2018-05-22,36.6,38.04,35.08,35.52,39600,0,0.0
2018-05-23,35.52,36.96,35.52,36.48,11600,0,0.0
2018-05-24,36.64,37.16,35.72,36.24,8300,0,0.0
2018-05-25,36.04,36.84,35.6,36.0,14300,0,0.0
2018-05-29,36.2,36.6,35.4,35.92,6800,0,0.0
2018-05-30,35.96,36.96,34.08,35.2,13000,0,0.0
2018-05-31,35.12,36.24,33.32,33.48,18300,0,0.0
2018-06-01,33.68,35.4,33.68,35.12,11000,0,0.0
2018-06-04,34.92,35.08,31.48,31.8,32100,0,0.0
2018-06-05,32.0,33.6,31.82,33.24,51500,0,0.0
2018-06-06,33.4,33.472,31.96,32.36,19200,0,0.0
2018-06-07,32.52,32.56,31.8,32.0,10700,0,0.0
2018-06-08,31.84,32.36,29.0,31.32,33300,0,0.0
2018-06-11,31.16,31.8,30.88,31.16,12700,0,0.0
2018-06-12,31.04,31.96,30.72,31.6,21800,0,0.0
2018-06-13,31.52,31.84,30.92,31.52,13100,0,0.0
2018-06-14,31.64,32.56,31.4,31.8,9000,0,0.0
2018-06-15,31.6,33.64,31.6,32.44,23900,0,0.0
2018-06-18,32.16,33.36,32.1,32.52,12600,0,0.0
2018-06-19,32.4,33.44,31.8,32.44,33700,0,0.0
2018-06-20,32.88,34.36,32.28,34.24,15000,0,0.0
2018-06-21,34.2,35.08,31.82,32.0,20200,0,0.0
2018-06-22,31.96,33.32,31.8,33.08,69100,0,0.0
2018-06-25,32.92,33.76,32.2,32.32,11700,0,0.0
2018-06-26,32.36,35.12,32.28,33.72,40900,0,0.0
2018-06-27,33.8,33.96,31.68,31.84,10100,0,0.0
2018-06-28,31.88,33.648,31.8,31.84,9300,0,0.0
2018-06-29,31.84,32.84,31.68,32.48,13200,0,0.0
2018-07-02,32.12,33.32,31.68,33.16,8400,0,0.0
2018-07-03,33.2,35.02,32.32,33.24,12200,0,0.0
2018-07-05,33.4,34.8,32.76,34.0,13600,0,0.0
2018-07-06,33.92,35.196,33.2,33.6,12600,0,0.0
2018-07-09,33.84,35.12,33.72,34.2,19900,0,0.0
2018-07-10,34.12,34.38,32.28,32.6,30400,0,0.0
2018-07-11,33.104,33.4,31.72,32.88,18200,0,0.0
2018-07-12,32.84,33.38,32.52,33.12,6600,0,0.0
2018-07-13,34.0,34.04,33.2,33.6,9300,0,0.0
2018-07-16,33.68,33.68,31.8,31.92,12200,0,0.0
