Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-08-16,0.0,1.08,1.08,1.08,1109700,0.0,0.0
1985-08-19,0.0,1.1,1.08,1.09,470400,0.0,0.0
1985-08-20,0.0,1.11,1.09,1.1,180000,0.0,0.0
1985-08-21,0.0,1.11,1.09,1.1,57300,0.0,0.0
1985-08-22,0.0,1.1,1.08,1.09,116100,0.0,0.0
1985-08-23,0.0,1.09,1.08,1.09,49500,0.0,0.0
1985-08-26,0.0,1.1,1.08,1.09,81000,0.0,0.0
1985-08-27,0.0,1.1,1.08,1.09,60900,0.0,0.0
1985-08-28,0.0,1.1,1.09,1.1,218400,0.0,0.0
1985-08-29,0.0,1.09,1.09,1.09,33900,0.0,0.0
1985-08-30,0.0,1.09,1.08,1.09,30600,0.0,0.0
1985-09-03,0.0,1.09,1.09,1.09,103500,0.0,0.0
1985-09-04,0.0,1.09,1.08,1.09,18400,0.0,0.0
1985-09-05,0.0,1.09,1.08,1.08,30600,0.0,0.0
1985-09-06,0.0,1.09,1.08,1.08,56400,0.0,0.0
1985-09-09,0.0,1.11,1.09,1.11,87400,0.0,0.0
1985-09-10,0.0,1.13,1.11,1.12,75100,0.0,0.0
1985-09-11,0.0,1.13,1.12,1.12,42700,0.0,0.0
1985-09-12,0.0,1.12,1.12,1.12,73900,0.0,0.0
1985-09-13,0.0,1.12,1.08,1.11,382600,0.0,0.0
1985-09-16,0.0,1.11,1.11,1.11,4200,0.0,0.0
1985-09-17,0.0,1.11,1.09,1.09,47200,0.0,0.0
1985-09-18,0.0,1.09,1.08,1.08,9600,0.0,0.0
1985-09-19,0.0,1.08,1.08,1.08,6300,0.0,0.0
1985-09-20,0.0,1.09,1.08,1.09,30100,0.0,0.0
1985-09-23,0.0,1.09,1.08,1.08,68500,0.0,0.0
1985-09-24,0.0,1.08,1.08,1.08,4000,0.0,0.0
1985-09-25,0.0,1.08,1.08,1.08,400,0.0,0.0
1985-09-26,0.0,1.08,1.08,1.08,57300,0.0,0.0
1985-09-30,0.0,1.09,1.08,1.08,13900,0.0,0.0
1985-10-01,0.0,1.09,1.08,1.09,2200,0.0,0.0
1985-10-02,0.0,1.09,1.08,1.08,19300,0.0,0.0
1985-10-03,0.0,1.08,1.07,1.08,22900,0.0,0.0
1985-10-04,0.0,1.08,1.07,1.07,18600,0.0,0.0
1985-10-07,0.0,1.08,1.07,1.08,5500,0.0,0.0
1985-10-08,0.0,1.06,1.06,1.06,58600,0.0,0.0
1985-10-09,0.0,1.07,1.06,1.06,24400,0.0,0.0
1985-10-10,0.0,1.07,1.05,1.07,20400,0.0,0.0
1985-10-11,0.0,1.07,1.06,1.06,8100,0.0,0.0
1985-10-14,0.0,1.07,1.07,1.07,8100,0.0,0.0
1985-10-15,0.0,1.06,1.06,1.06,1500,0.0,0.0
1985-10-16,0.0,1.07,1.05,1.06,33000,0.0,0.0
1985-10-17,0.0,1.07,1.06,1.07,900,0.0,0.0
1985-10-18,0.0,1.08,1.06,1.06,15000,0.0,0.0
1985-10-21,0.0,1.08,1.06,1.08,21100,0.0,0.0
1985-10-22,0.0,1.08,1.06,1.06,13500,0.0,0.0
1985-10-23,0.0,1.07,1.07,1.07,3700,0.0,0.0
1985-10-24,0.0,1.08,1.06,1.06,151300,0.0,0.0
1985-10-25,0.0,1.07,1.06,1.07,1500,0.0,0.0
1985-10-28,0.0,1.07,1.06,1.07,39100,0.0,0.0
1985-10-29,0.0,1.06,1.05,1.06,400,0.0,0.0
1985-10-30,0.0,1.07,1.06,1.06,6000,0.0,0.0
1985-10-31,0.0,1.1,1.08,1.1,10800,0.0,0.0
1985-11-01,0.0,1.11,1.09,1.09,14400,0.0,0.0
1985-11-04,0.0,1.1,1.09,1.09,7300,0.0,0.0
1985-11-05,0.0,1.11,1.08,1.11,56800,0.0,0.0
1985-11-06,0.0,1.12,1.1,1.1,13500,0.0,0.0
1985-11-07,0.0,1.11,1.09,1.09,15400,0.0,0.0
1985-11-08,0.0,1.09,1.09,1.09,400,0.0,0.0
1985-11-11,0.0,1.1,1.1,1.1,11700,0.0,0.0
1985-11-12,0.0,1.11,1.1,1.11,70800,0.0,0.0
1985-11-13,0.0,1.11,1.09,1.09,34600,0.0,0.0
1985-11-14,1.09,1.09,1.09,1.09,0,0.0,0.0
1985-11-15,0.0,1.1,1.09,1.1,15400,0.0,0.0
1985-11-18,0.0,1.09,1.09,1.09,1500,0.0,0.0
1985-11-19,0.0,1.11,1.09,1.11,22000,0.0,0.0
1985-11-20,0.0,1.1,1.08,1.08,37500,0.0,0.0
1985-11-21,0.0,1.1,1.08,1.08,5100,0.0,0.0
1985-11-22,0.0,1.1,1.09,1.1,24700,0.0,0.0
1985-11-25,0.0,1.11,1.09,1.09,7200,0.0,0.0
1985-11-26,0.0,1.11,1.08,1.11,23100,0.0,0.0
1985-11-27,0.0,1.11,1.11,1.11,600,0.0,0.0
1985-11-29,0.0,1.11,1.09,1.09,1500,0.0,0.0
1985-12-02,0.0,1.1,1.1,1.1,16200,0.0,0.0
1985-12-03,0.0,1.09,1.09,1.09,4200,0.0,0.0
1985-12-04,0.0,1.1,1.09,1.09,7600,0.0,0.0
1985-12-05,0.0,1.1,1.09,1.09,7300,0.0,0.0
1985-12-06,0.0,1.1,1.09,1.09,900,0.0,0.0
1985-12-09,0.0,1.1,1.09,1.1,4900,0.0,0.0
1985-12-10,0.0,1.09,1.09,1.09,5100,0.0,0.0
1985-12-11,0.0,1.09,1.09,1.09,12300,0.0,0.0
1985-12-12,0.0,1.09,1.09,1.09,7800,0.0,0.0
1985-12-13,0.0,1.1,1.09,1.09,9400,0.0,0.0
1985-12-16,0.0,1.1,1.09,1.09,21100,0.0,0.0
1985-12-17,0.0,1.11,1.09,1.1,12700,0.0,0.0
1985-12-18,0.0,1.11,1.09,1.1,7600,0.0,0.0
1985-12-19,0.0,1.1,1.09,1.1,6700,0.0,0.0
1985-12-20,0.0,1.1,1.08,1.08,17200,0.0,0.0
1985-12-23,0.0,1.1,1.08,1.08,25600,0.0,0.0
1985-12-24,0.0,1.1,1.09,1.09,5400,0.0,0.0
1985-12-26,0.0,1.09,1.09,1.09,3700,0.0,0.0
1985-12-27,0.0,1.1,1.09,1.09,7800,0.0,0.0
1985-12-30,0.0,1.1,1.09,1.09,12700,0.0,0.0
1985-12-31,0.0,1.1,1.1,1.1,4500,0.0,0.0
