Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-24,46.8,46.8,46.74,46.74,3600,0.0,0.0
2015-06-25,46.39,46.39,45.65,45.65,4100,0.0,0.0
2015-06-26,45.65,45.65,45.65,45.65,100,0.0,0.0
2015-06-29,44.93,44.93,44.84,44.84,300,0.0,0.0
2015-06-30,45.23,45.28,44.49,44.91,2015000,0.0,0.0
2015-07-01,44.8,46.02,44.72,46.02,213500,0.0,0.0
2015-07-02,46.46,47.94,46.02,47.93,1936700,0.0,0.0
2015-07-06,48.03,48.97,46.46,47.02,2322200,0.0,0.0
2015-07-07,47.13,47.19,45.39,46.07,3388600,0.0,0.0
2015-07-08,46.09,47.13,43.88,44.04,4200100,0.0,0.0
2015-07-09,43.88,44.94,43.15,43.89,2535200,0.0,0.0
2015-07-10,44.23,45.43,43.81,45.28,2482800,0.0,0.0
2015-07-13,45.76,45.91,45.44,45.81,1386200,0.0,0.0
2015-07-14,45.8,46.5,45.31,45.87,1104100,0.0,0.0
2015-07-15,45.91,46.41,45.08,45.45,1342800,0.0,0.0
2015-07-16,45.5,46.97,45.38,45.96,1516000,0.0,0.0
2015-07-17,46.18,46.65,45.46,45.54,1346500,0.0,0.0
2015-07-20,45.73,46.41,45.36,45.39,2194200,0.0,0.0
2015-07-21,45.61,46.36,43.97,44.14,1998900,0.0,0.0
2015-07-22,44.51,45.09,43.93,44.35,999000,0.0,0.0
2015-07-23,44.08,44.83,43.77,44.14,1248300,0.0,0.0
2015-07-24,43.92,44.21,42.53,43.45,1281400,0.0,0.0
2015-07-27,43.11,43.82,42.68,42.92,1393100,0.0,0.0
2015-07-28,43.16,44.07,42.4,43.76,1816500,0.0,0.0
2015-07-29,43.43,44.05,42.84,43.8,1986900,0.0,0.0
2015-07-30,45.25,46.6,45.02,46.34,3918000,0.0,0.0
2015-07-31,45.36,47.02,45.11,46.51,1803400,0.0,0.0
2015-08-03,46.74,47.75,46.01,46.59,2361800,0.0,0.0
2015-08-04,45.91,46.8,45.9,46.15,780200,0.0,0.0
2015-08-05,46.68,47.17,45.89,46.28,1664100,0.0,0.0
2015-08-06,45.73,46.09,44.61,45.53,2815500,0.0,0.0
2015-08-07,45.49,46.18,44.97,46.14,2287300,0.0,0.0
2015-08-10,46.74,47.11,45.93,46.73,1580600,0.33787,0.0
2015-08-11,47.49,47.49,45.79,47.04,1916000,0.0,0.0
2015-08-12,47.04,47.39,45.79,46.97,1541700,0.0,0.0
2015-08-13,46.94,47.34,46.26,46.84,937000,0.0,0.0
2015-08-14,46.84,47.34,45.97,46.91,1041800,0.0,0.0
2015-08-17,46.47,47.05,46.47,47.0,792600,0.0,0.0
2015-08-18,46.76,47.17,46.68,46.86,894800,0.0,0.0
2015-08-19,46.73,46.96,46.05,46.05,1195200,0.0,0.0
2015-08-20,45.82,45.82,44.8,45.02,1439800,0.0,0.0
2015-08-21,44.68,44.71,43.5,43.78,2173600,0.0,0.0
2015-08-24,42.04,44.73,39.68,41.89,2381800,0.0,0.0
2015-08-25,43.26,43.31,40.82,41.18,2606800,0.0,0.0
2015-08-26,42.39,42.99,40.92,41.88,2064900,0.0,0.0
2015-08-27,43.21,43.96,42.84,43.94,2080600,0.0,0.0
2015-08-28,44.01,44.83,43.94,44.71,1674500,0.0,0.0
2015-08-31,44.58,44.69,43.51,44.04,1866000,0.0,0.0
2015-09-01,43.4,43.87,42.78,43.35,2054900,0.0,0.0
2015-09-02,43.72,44.1,42.63,43.16,1373800,0.0,0.0
2015-09-03,43.29,44.25,43.17,43.57,1227100,0.0,0.0
2015-09-04,42.48,43.28,42.48,42.55,911300,0.0,0.0
2015-09-08,43.14,43.54,42.8,43.48,694200,0.0,0.0
2015-09-09,43.78,44.56,43.13,43.22,1198000,0.0,0.0
2015-09-10,43.13,44.08,43.06,43.58,1845700,0.0,0.0
2015-09-11,43.4,44.35,43.05,43.59,1146300,0.0,0.0
2015-09-14,43.59,44.24,42.7,44.21,1648500,0.0,0.0
2015-09-15,46.74,46.74,43.53,44.28,1578000,0.0,0.0
2015-09-16,43.95,43.95,42.3,43.62,2180900,0.0,0.0
2015-09-17,43.54,43.91,42.57,42.83,1363600,0.0,0.0
2015-09-18,42.27,42.54,41.25,41.33,2458800,0.0,0.0
2015-09-21,42.8,42.8,41.17,41.45,1830500,0.0,0.0
2015-09-22,42.28,42.28,39.66,40.02,2210800,0.0,0.0
2015-09-23,39.94,40.82,39.01,39.17,2043600,0.0,0.0
2015-09-24,37.85,38.92,37.47,38.81,2749800,0.0,0.0
2015-09-25,39.01,39.16,38.34,38.55,1630600,0.0,0.0
2015-09-28,38.11,38.52,37.02,37.08,1958700,0.0,0.0
2015-09-29,36.64,38.04,36.21,37.52,1969600,0.0,0.0
2015-09-30,40.63,40.63,37.56,38.17,1766700,0.0,0.0
2015-10-01,40.97,41.59,37.91,38.58,2441500,0.0,0.0
2015-10-02,37.09,39.36,37.09,39.33,2139700,0.0,0.0
2015-10-05,39.62,40.35,39.41,40.14,1714400,0.0,0.0
2015-10-06,40.33,40.85,40.04,40.3,2398200,0.0,0.0
2015-10-07,38.24,40.68,38.24,40.11,2720800,0.0,0.0
2015-10-08,40.01,40.54,39.74,40.21,2009300,0.0,0.0
2015-10-09,40.82,42.83,40.82,42.71,3857400,0.0,0.0
2015-10-12,42.69,42.73,41.16,41.79,1439800,0.0,0.0
2015-10-13,41.3,42.14,41.14,41.21,1963400,0.0,0.0
2015-10-14,41.24,41.69,41.02,41.37,1132500,0.0,0.0
2015-10-15,41.23,41.65,40.77,41.56,973100,0.0,0.0
2015-10-16,42.92,42.92,40.63,41.39,1550500,0.0,0.0
