Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,4.08,4.19,4.0,4.13,116700,0.0,0.0
1973-05-04,4.24,4.32,4.24,4.26,256800,0.0,0.0
1973-05-07,4.26,4.27,4.23,4.24,55800,0.0,0.0
1973-05-08,4.24,4.24,4.21,4.24,80100,0.0,0.0
1973-05-09,4.24,4.29,4.23,4.26,66900,0.0,0.0
1973-05-10,4.26,4.26,4.21,4.21,61800,0.0,0.0
1973-05-11,4.21,4.21,4.1,4.15,76500,0.0,0.0
1973-05-14,4.1,4.1,4.04,4.09,46200,0.0,0.0
1973-05-15,4.09,4.13,4.04,4.13,90300,0.0,0.0
1973-05-16,4.13,4.18,4.13,4.18,39900,0.0,0.0
1973-05-17,4.18,4.19,4.13,4.18,56100,0.0,0.0
1973-05-18,4.17,4.17,4.09,4.15,85200,0.0,0.0
1973-05-21,4.13,4.13,4.07,4.08,138300,0.0,0.0
1973-05-22,4.09,4.13,4.09,4.09,51300,0.0,0.0
1973-05-23,4.1,4.16,4.1,4.15,91500,0.0,0.0
1973-05-24,4.15,4.25,4.15,4.25,45300,0.0,0.0
1973-05-25,4.26,4.35,4.26,4.32,82800,0.0,0.0
1973-05-29,4.3,4.3,4.19,4.19,25500,0.0,0.0
1973-05-30,4.19,4.19,4.16,4.18,16800,0.0,0.0
1973-05-31,4.15,4.15,4.08,4.08,82800,0.0,0.0
1973-06-01,4.08,4.15,4.05,4.11,70800,0.0,0.0
1973-06-04,4.11,4.12,4.08,4.08,31800,0.0,0.0
1973-06-05,4.08,4.15,4.05,4.1,85500,0.0,0.0
1973-06-06,4.1,4.13,4.08,4.08,27000,0.0,0.0
1973-06-07,4.09,4.15,4.09,4.12,47100,0.0,0.0
1973-06-08,4.13,4.23,4.13,4.23,83400,0.0,0.0
1973-06-11,4.26,4.31,4.26,4.3,39600,0.0,0.0
1973-06-12,4.3,4.35,4.27,4.35,144600,0.0,0.0
1973-06-13,4.35,4.4,4.25,4.3,80400,0.0,0.0
1973-06-14,4.29,4.29,4.26,4.29,138900,0.0,0.0
1973-06-15,4.27,4.27,4.24,4.26,26400,0.0,0.0
1973-06-18,4.26,4.26,4.15,4.17,131400,0.0,0.0
1973-06-19,4.17,4.22,4.11,4.18,88800,0.0,0.0
1973-06-20,4.18,4.19,4.13,4.19,91200,0.0,0.0
1973-06-21,4.19,4.19,4.15,4.17,118200,0.0,0.0
1973-06-22,4.17,4.26,4.15,4.15,43500,0.0,0.0
1973-06-25,4.15,4.18,4.13,4.13,16800,0.0,0.0
1973-06-26,4.13,4.17,4.12,4.17,18900,0.0,0.0
1973-06-27,4.17,4.18,4.12,4.17,86400,0.0,0.0
1973-06-28,4.19,4.24,4.19,4.24,21900,0.0,0.0
1973-06-29,4.24,4.25,4.21,4.24,75300,0.0,0.0
1973-07-02,4.24,4.26,4.22,4.25,39300,0.0,0.0
1973-07-03,4.25,4.34,4.25,4.33,63000,0.0,0.0
1973-07-05,4.33,4.39,4.29,4.37,60900,0.0,0.0
1973-07-06,4.37,4.4,4.37,4.4,32400,0.0,0.0
1973-07-09,4.4,4.48,4.4,4.46,39600,0.0,0.0
1973-07-10,4.54,4.65,4.54,4.55,81600,0.0,0.0
1973-07-11,4.62,4.68,4.62,4.65,169200,0.0,0.0
1973-07-12,4.65,4.66,4.59,4.62,142800,0.0,0.0
1973-07-13,4.62,4.62,4.51,4.54,64500,0.0,0.0
1973-07-16,4.54,4.6,4.53,4.57,46500,0.0,0.0
1973-07-17,4.59,4.62,4.59,4.59,144000,0.0,0.0
1973-07-18,4.59,4.6,4.56,4.56,51000,0.0,0.0
1973-07-19,4.56,4.62,4.52,4.59,135000,0.0,0.0
1973-07-20,4.59,4.65,4.59,4.65,95100,0.0,0.0
1973-07-23,4.65,4.69,4.65,4.67,102600,0.0,0.0
1973-07-24,4.67,4.7,4.66,4.68,126600,0.0,0.0
1973-07-25,4.68,4.88,4.68,4.88,235200,0.0,0.0
1973-07-26,4.88,4.95,4.87,4.87,183600,0.0,0.0
1973-07-27,4.86,4.86,4.75,4.77,70500,0.0,0.0
1973-07-30,4.75,4.75,4.66,4.7,125700,0.0,0.0
1973-07-31,4.69,4.69,4.64,4.65,128400,0.0,0.0
1973-08-01,4.65,4.72,4.64,4.69,77400,0.0,0.0
1973-08-02,4.69,4.7,4.68,4.69,112500,0.0,0.0
1973-08-03,4.69,4.77,4.69,4.76,75300,0.0,0.0
1973-08-06,4.77,4.87,4.77,4.87,159000,0.0,0.0
1973-08-07,4.88,4.95,4.88,4.95,71700,0.0,0.0
1973-08-08,4.98,5.05,4.98,5.02,193500,0.0,0.0
1973-08-09,5.04,5.08,5.04,5.08,252300,0.0,0.0
1973-08-10,5.08,5.13,5.05,5.13,169800,0.0,0.0
1973-08-13,5.13,5.13,5.09,5.09,116100,0.0,0.0
1973-08-14,5.07,5.07,4.91,4.92,97500,0.0,0.0
1973-08-15,4.92,5.0,4.91,4.98,81600,0.0,0.0
1973-08-16,4.98,5.03,4.96,4.96,48600,0.0,0.0
1973-08-17,4.95,4.95,4.91,4.92,75000,0.0,0.0
1973-08-20,4.91,4.91,4.86,4.87,83700,0.0,0.0
1973-08-21,4.88,4.92,4.88,4.88,45900,0.0,0.0
1973-08-22,4.88,4.9,4.87,4.88,50700,0.0,0.0
1973-08-23,4.9,5.05,4.9,5.05,109200,0.0,0.0
1973-08-24,5.05,5.05,4.96,5.04,189000,0.0,0.0
1973-08-27,5.02,5.02,4.99,5.02,66000,0.0,0.0
1973-08-28,5.02,5.05,4.99,5.0,122400,0.0,0.0
1973-08-29,5.0,5.05,4.99,5.0,73500,0.0,0.0
1973-08-30,5.0,5.04,4.92,5.0,60000,0.0,0.0
1973-08-31,4.98,4.98,4.92,4.95,28800,0.0,0.0
1973-09-04,4.94,4.94,4.8,4.87,104100,0.0,0.0
1973-09-05,4.88,4.94,4.88,4.9,129000,0.0,0.0
1973-09-06,4.9,4.95,4.9,4.94,61200,0.0,0.0
1973-09-07,4.92,4.92,4.9,4.92,87600,0.0,0.0
1973-09-10,4.92,4.92,4.88,4.9,120900,0.0,0.0
1973-09-11,4.88,4.88,4.78,4.84,135000,0.0,0.0
1973-09-12,4.83,4.83,4.68,4.7,141600,0.0,0.0
1973-09-13,4.7,4.78,4.7,4.72,126900,0.0,0.0
1973-09-14,4.72,4.78,4.7,4.78,74400,0.0,0.0
1973-09-17,4.8,4.87,4.8,4.84,114300,0.0,0.0
1973-09-18,4.84,4.84,4.78,4.82,152700,0.0,0.0
1973-09-19,4.82,5.02,4.82,5.02,66600,0.0,0.0
1973-09-20,5.03,5.13,5.03,5.1,159000,0.0,0.0
1973-09-21,5.08,5.08,5.03,5.05,58800,0.0,0.0
1973-09-24,5.05,5.05,5.02,5.02,143700,0.0,0.0
1973-09-25,4.99,4.99,4.92,4.92,64500,0.0,0.0
1973-09-26,4.92,5.0,4.92,4.98,72000,0.0,0.0
1973-09-27,4.98,5.14,4.98,5.1,132600,0.0,0.0
1973-09-28,5.09,5.09,5.05,5.07,44700,0.0,0.0
1973-10-01,5.07,5.08,5.04,5.07,42900,0.0,0.0
1973-10-02,5.13,5.19,5.13,5.19,75000,0.0,0.0
1973-10-03,5.32,5.41,5.32,5.35,129300,0.0,0.0
1973-10-04,5.35,5.43,5.34,5.35,204000,0.0,0.0
1973-10-05,5.35,5.41,5.32,5.4,78000,0.0,0.0
1973-10-08,5.4,5.46,5.34,5.46,121200,0.0,0.0
1973-10-09,5.52,5.56,5.52,5.54,99900,0.0,0.0
1973-10-10,5.54,5.61,5.53,5.61,95400,0.0,0.0
1973-10-11,5.7,5.79,5.7,5.79,56100,0.0,0.0
1973-10-12,5.79,5.94,5.74,5.78,129600,0.0,0.0
1973-10-15,5.76,5.76,5.68,5.74,62400,0.0,0.0
1973-10-16,5.74,5.74,5.57,5.65,96000,0.0,0.0
1973-10-17,5.65,5.65,5.57,5.57,50400,0.0,0.0
1973-10-18,5.57,5.65,5.56,5.6,41400,0.0,0.0
1973-10-19,5.57,5.57,5.4,5.41,83100,0.0,0.0
1973-10-22,5.35,5.35,5.31,5.34,26100,0.0,0.0
1973-10-23,5.34,5.41,5.27,5.4,85500,0.0,0.0
1973-10-24,5.4,5.48,5.39,5.47,56100,0.0,0.0
1973-10-25,5.47,5.52,5.45,5.47,66000,0.0,0.0
1973-10-26,5.47,5.52,5.46,5.49,72600,0.0,0.0
1973-10-29,5.49,5.61,5.49,5.56,87000,0.0,0.0
