Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-12-12,8.833,9.636,7.4947,8.9936,11192700,0.0,0
2007-12-13,8.6938,9.6253,8.1853,8.9133,2492700,0.0,0
2007-12-14,8.833,9.0471,7.9765,8.2441,1315500,0.0,0
2007-12-17,7.9069,8.2977,6.8951,7.3127,1054000,0.0,0
2007-12-18,7.4411,7.6553,6.9058,7.1735,975100,0.0,0
2007-12-19,7.1895,7.3608,6.7987,6.7987,847600,0.0,0
2007-12-20,6.7987,8.03,6.424,7.5482,749700,0.0,0
2007-12-21,7.7088,8.1157,7.4411,7.7088,898600,0.0,0
2007-12-24,7.7088,8.0514,7.4947,7.8641,110300,0.0,0
2007-12-26,7.8641,7.9229,7.5214,7.6178,469500,0.0,0
2007-12-27,7.591,7.6339,7.302,7.3608,127700,0.0,0
2007-12-28,7.3608,7.7356,7.1199,7.6553,238000,0.0,0
2007-12-31,7.7623,7.9551,7.4947,7.6178,346100,0.0,0
2008-01-02,7.6178,7.8748,7.4251,7.5536,164400,0.0,0
2008-01-03,7.7623,7.848,7.5482,7.5803,250000,0.0,0
2008-01-04,7.4947,7.4947,7.227,7.227,206000,0.0,0
2008-01-07,7.227,7.3608,7.0182,7.2002,166100,0.0,0
2008-01-08,7.2163,7.3608,6.9754,7.1199,218800,0.0,0
2008-01-09,7.0503,7.227,6.5632,6.8148,349700,0.0,0
2008-01-10,6.5632,6.9272,6.3972,6.5043,336200,0.0,0
2008-01-11,6.5097,6.5578,6.0386,6.1028,378400,0.0,0
2008-01-14,6.0653,6.1563,5.3587,5.7281,473800,0.0,0
2008-01-15,5.7281,5.7281,4.8715,4.9786,476100,0.0,0
2008-01-16,4.8983,5.4443,4.893,5.2998,458000,0.0,0
2008-01-17,5.4069,5.6103,4.7966,4.8448,639700,0.0,0
2008-01-18,4.909,5.1927,4.6735,4.6895,471000,0.0,0
2008-01-22,4.1542,4.7431,4.1488,4.4486,579900,0.0,0
2008-01-23,4.4593,5.0321,4.2934,4.8287,396200,0.0,0
2008-01-24,4.8769,5.2516,4.8501,5.0268,357400,0.0,0
2008-01-25,5.0964,5.5675,5.0964,5.5407,229300,0.0,0
2008-01-28,5.5354,6.2902,5.3533,6.1296,512000,0.0,0
2008-01-29,6.2206,6.9005,6.1778,6.7934,435800,0.0,0
2008-01-30,6.8362,7.2109,6.8255,7.0129,585700,0.0,0
2008-01-31,6.6917,7.0664,6.5204,6.9326,187600,0.0,0
2008-02-01,6.9647,7.4197,6.9058,7.3073,352100,0.0,0
2008-02-04,7.4572,7.4572,6.7773,7.0289,285400,0.0,0
2008-02-05,6.9593,6.97,6.5578,6.6917,136600,0.0,0
2008-02-06,6.8523,6.8523,6.515,6.6381,225000,0.0,0
2008-02-07,6.6007,6.8683,6.5364,6.863,89500,0.0,0
2008-02-08,6.954,7.227,6.8737,6.9593,129100,0.0,0
2008-02-11,7.227,7.227,6.879,6.9326,182100,0.0,0
2008-02-12,7.0932,7.0932,6.7827,6.9593,205400,0.0,0
2008-02-13,7.1949,7.1949,6.9593,7.1146,158200,0.0,0
2008-02-14,7.1681,7.1681,6.8897,6.954,113100,0.0,0
2008-02-15,6.954,6.9593,6.0707,6.3437,219200,0.0,0
2008-02-19,6.3812,6.424,5.7763,6.1028,333400,0.0,0
2008-02-20,6.0975,6.0975,5.7548,5.8833,201100,0.0,0
2008-02-21,6.0921,6.4133,5.8833,6.1028,301900,0.0,0
2008-02-22,6.0493,6.6114,6.0493,6.6114,163000,0.0,0
2008-02-25,6.7666,6.954,6.5578,6.6114,174800,0.0,0
2008-02-26,6.5846,6.6917,6.1992,6.3491,156000,0.0,0
2008-02-27,6.3598,6.4775,6.2366,6.4615,58400,0.0,0
2008-02-28,6.4936,6.7131,6.3972,6.4829,169300,0.0,0
2008-02-29,6.4347,6.697,6.4026,6.5846,81100,0.0,0
2008-03-03,6.5097,6.6917,6.0493,6.2366,282000,0.0,0
2008-03-04,5.4711,5.8887,4.7431,4.7698,1582100,0.0,0
2008-03-05,4.818,5.0589,4.1488,4.3897,656100,0.0,0
2008-03-06,4.6521,4.818,4.3416,4.7377,527300,0.0,0
2008-03-07,4.5503,5.7013,4.4219,5.3105,543800,0.0,0
2008-03-10,4.984,5.2356,4.4165,4.5396,232400,0.0,0
2008-03-11,4.6413,4.9465,4.2827,4.4968,267500,0.0,0
2008-03-12,4.4968,4.5503,4.2827,4.4647,138300,0.0,0
2008-03-13,4.4326,4.4326,4.181,4.3094,136300,0.0,0
2008-03-14,4.3897,4.4379,4.1756,4.3416,886100,0.0,0
2008-03-17,4.272,4.272,3.6938,3.7741,629500,0.0,0
2008-03-18,3.8009,3.8598,3.7099,3.758,282500,0.0,0
2008-03-19,3.7473,3.8383,3.3994,3.4797,522900,0.0,0
2008-03-20,3.5867,3.9186,3.5867,3.7206,478600,0.0,0
2008-03-24,3.7366,3.9989,3.6135,3.8223,307400,0.0,0
2008-03-25,3.7902,3.924,3.6296,3.6885,183200,0.0,0
2008-03-26,3.6938,3.6938,3.5118,3.56,414800,0.0,0
2008-03-27,3.651,3.9882,3.5974,3.8544,254700,0.0,0
2008-03-28,3.9079,4.2773,3.7527,4.1488,448900,0.0,0
2008-03-31,4.3683,4.4915,4.1274,4.4915,339200,0.0,0
2008-04-01,4.5557,4.6039,4.2827,4.5236,173700,0.0,0
2008-04-02,4.7698,4.9251,4.4433,4.818,269700,0.0,0
2008-04-03,5.3694,5.4604,5.0857,5.2998,441900,0.0,0
2008-04-04,5.2409,6.0225,4.9786,5.8351,370900,0.0,0
2008-04-07,6.2152,6.2152,5.4604,5.7388,452500,0.0,0
2008-04-08,5.6424,5.6478,5.3801,5.4872,248600,0.0,0
2008-04-09,5.4872,5.7655,5.2463,5.4015,215900,0.0,0
2008-04-10,5.3855,5.5942,5.2837,5.4979,143800,0.0,0
2008-04-11,5.3373,5.4551,5.1124,5.1339,157600,0.0,0
2008-04-14,5.0857,5.0857,4.6574,4.6895,195000,0.0,0
2008-04-15,4.6842,4.9518,4.6306,4.6842,187800,0.0,0
2008-04-16,4.818,5.2195,4.7859,5.0964,335200,0.0,0
2008-04-17,5.348,5.4497,5.1071,5.4122,484700,0.0,0
2008-04-18,5.5942,5.5942,5.2409,5.3533,499800,0.0,0
2008-04-21,5.2891,5.4176,4.9518,4.9893,274400,0.0,0
2008-04-22,5.0268,5.0857,4.8983,4.9786,131800,0.0,0
2008-04-23,5.0589,5.1927,4.9572,5.0054,286800,0.0,0
2008-04-24,5.0857,5.0857,4.8555,4.9358,145500,0.0,0
2008-04-25,4.8983,5.0428,4.7698,4.818,196000,0.0,0
2008-04-28,4.7377,4.8715,4.6574,4.7484,255600,0.0,0
2008-04-29,4.8341,4.8983,4.6039,4.6574,195600,0.0,0
2008-04-30,4.7109,4.8769,4.6842,4.8341,180000,0.0,0
2008-05-01,4.8341,4.8876,4.7377,4.8555,184500,0.0,0
2008-05-02,4.9251,4.9358,4.7431,4.7538,127000,0.0,0
2008-05-05,4.7484,4.8769,4.6681,4.7056,145700,0.0,0
2008-05-06,4.6949,4.7859,4.6574,4.7324,197600,0.0,0
2008-05-07,4.8019,4.8983,4.6521,4.6521,241100,0.0,0
2008-05-08,4.7324,4.7324,4.5878,4.6199,154000,0.0,0
2008-05-09,4.6199,4.6199,4.5129,4.5396,116800,0.0,0
2008-05-12,4.5396,4.6842,4.4968,4.5396,143500,0.0,0
2008-05-13,4.5236,4.6092,4.4593,4.4968,138400,0.0,0
2008-05-14,4.4861,4.7324,4.4593,4.6146,364400,0.0,0
2008-05-15,4.7109,4.7752,4.6306,4.6842,266100,0.0,0
2008-05-16,4.6842,4.7538,4.636,4.6735,188400,0.0,0
2008-05-19,4.6681,4.984,4.6681,4.8394,786800,0.0,0
2008-05-20,4.7698,5.0696,4.7698,4.9251,282600,0.0,0
2008-05-21,4.9251,5.0214,4.8234,4.8715,246700,0.0,0
2008-05-22,4.7377,4.8448,4.2077,4.2559,957000,0.0,0
2008-05-23,4.288,4.454,4.1221,4.454,256300,0.0,0
2008-05-27,4.47,4.636,4.4058,4.4379,155700,0.0,0
2008-05-28,4.4968,4.9465,4.3951,4.7752,2034700,0.0,0
2008-05-29,4.9037,5.0268,4.6842,4.7109,927000,0.0,0
2008-05-30,4.7377,5.2784,4.4486,4.7377,589900,0.0,0
2008-06-02,4.7109,4.8715,4.6949,4.7377,299100,0.0,0
2008-06-03,4.9465,5.0643,4.6146,4.636,967200,0.0,0
2008-06-04,4.636,4.636,4.2398,4.3309,593900,0.0,0
2008-06-05,4.3362,4.4165,4.3094,4.3897,189000,0.0,0
2008-06-06,4.3094,4.3897,3.924,4.0632,604600,0.0,0
2008-06-09,4.0525,4.3362,3.8116,4.0257,493400,0.0,0
2008-06-10,4.015,4.1435,3.8544,4.0257,250500,0.0,0
2008-06-11,3.9775,4.1435,3.8116,3.833,267200,0.0,0
2008-06-12,3.8651,3.9454,3.7634,3.7741,186200,0.0,0
2008-06-13,3.8223,3.8223,3.6189,3.7045,245300,0.0,0
2008-06-16,3.7473,3.8865,3.6456,3.8758,146800,0.0,0
2008-06-17,3.8758,3.9347,3.8169,3.9026,135800,0.0,0
2008-06-18,3.8865,3.924,3.7473,3.7741,106700,0.0,0
2008-06-19,3.7688,3.7902,3.667,3.7527,108200,0.0,0
2008-06-20,3.6885,3.7259,3.6403,3.6456,136900,0.0,0
2008-06-23,3.6189,3.7848,3.6189,3.6938,127700,0.0,0
2008-06-24,3.7313,3.8169,3.5867,3.6992,246000,0.0,0
2008-06-25,3.7366,3.8116,3.6563,3.6992,92100,0.0,0
2008-06-26,3.6403,3.6724,3.5011,3.5332,110200,0.0,0
2008-06-27,3.5011,3.5011,3.3191,3.3565,148900,0.0,0
2008-06-30,3.3191,3.3726,3.2495,3.2495,108800,0.0,0
2008-07-01,3.1799,3.2067,3.0086,3.1852,244700,0.0,0
2008-07-02,3.1852,3.2977,3.0353,3.0621,186000,0.0,0
2008-07-03,3.0782,3.0782,2.8212,2.8908,216700,0.0,0
2008-07-07,2.9497,3.1049,2.848,2.864,221400,0.0,0
2008-07-08,2.8801,3.1531,2.8159,3.1103,174500,0.0,0
2008-07-09,3.1103,3.1799,2.9711,2.9711,150400,0.0,0
2008-07-10,2.9443,2.9925,2.8962,2.955,126800,0.0,0
2008-07-11,2.939,3.0514,2.864,3.0193,145500,0.0,0
2008-07-14,2.9872,3.1049,2.8052,2.8266,202300,0.0,0
2008-07-15,2.8159,2.8694,2.6124,2.8212,207500,0.0,0
2008-07-16,2.7837,3.0568,2.7677,3.0353,196800,0.0,0
2008-07-17,3.0461,3.1317,2.9443,3.0246,221100,0.0,0
2008-07-18,3.0461,3.3084,2.9604,3.2977,139700,0.0,0
2008-07-21,3.4422,3.5867,3.3191,3.3191,180900,0.0,0
2008-07-22,3.2709,3.3994,3.1638,3.3994,245000,0.0,0
2008-07-23,3.3994,3.4583,3.2655,3.4583,302900,0.0,0
2008-07-24,3.5279,3.5279,3.1049,3.1049,228600,0.0,0
2008-07-25,3.0728,3.2709,3.0353,3.1371,95000,0.0,0
2008-07-28,3.0889,3.2013,2.9872,3.0139,59300,0.0,0
2008-07-29,3.0568,3.1424,2.9443,3.0407,98300,0.0,0
2008-07-30,3.0193,3.1478,3.0086,3.0514,76700,0.0,0
2008-07-31,3.03,3.2067,3.0032,3.0032,54300,0.0,0
2008-08-01,3.0568,3.1049,2.9872,3.0461,69000,0.0,0
2008-08-04,3.0942,3.1049,2.9443,2.9497,100200,0.0,0
2008-08-05,2.9443,3.0568,2.9443,3.0193,89400,0.0,0
2008-08-06,3.0139,3.1049,2.9658,3.0889,49100,0.0,0
2008-08-07,3.0246,3.1264,2.9443,2.9979,171400,0.0,0
2008-08-08,2.9658,3.0461,2.9497,2.9765,51700,0.0,0
2008-08-11,2.9818,3.1049,2.9497,3.0407,69100,0.0,0
