Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-12,24.85,24.85,24.55,24.68,124300,0,0
2021-04-13,24.85,24.85,24.72,24.76,91300,0,0
2021-04-14,24.8,24.85,24.75,24.76,38400,0,0
2021-04-15,24.8,24.83,24.75,24.81,71600,0,0
2021-04-16,24.85,24.85,24.77,24.77,49500,0,0
2021-04-19,24.8,24.8,24.7,24.71,31800,0,0
2021-04-20,24.75,24.75,24.63,24.69,13000,0,0
2021-04-21,24.67,24.72,24.62,24.67,40500,0,0
2021-04-22,24.65,24.7,24.65,24.67,27300,0,0
2021-04-23,24.7,24.7,24.64,24.66,28500,0,0
2021-04-26,24.7,24.7,24.63,24.65,36600,0,0
2021-04-27,24.74,24.8,24.52,24.6,40500,0,0
2021-04-28,24.65,24.65,24.54,24.61,29600,0,0
2021-04-29,24.66,24.67,24.56,24.61,17900,0,0
2021-04-30,24.61,24.65,24.6,24.62,19300,0,0
2021-05-03,24.67,24.67,24.62,24.63,45600,0,0
2021-05-04,24.63,24.64,24.55,24.64,16100,0,0
