Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-11,160.0,160.0,105.4,132.8,105525,0,0.0
2016-02-12,131.0,131.0,117.0,123.6,9580,0,0.0
2016-02-16,118.6,119.56,113.0,115.0,13695,0,0.0
2016-02-17,113.8,115.0,111.0,115.0,3890,0,0.0
2016-02-18,111.0,118.96,111.0,113.0,475,0,0.0
2016-02-19,115.0,125.1,113.4,118.4,10590,0,0.0
2016-02-22,122.0,134.4,112.6,127.6,13075,0,0.0
2016-02-23,130.0,130.0,123.4,130.0,585,0,0.0
2016-02-24,123.2,126.0,114.0,122.3,9080,0,0.0
2016-02-25,125.8,127.0,120.0,120.0,650,0,0.0
2016-02-26,120.4,129.5,115.6,121.6,3035,0,0.0
2016-02-29,122.0,129.0,118.2,120.0,3030,0,0.0
2016-03-01,120.0,126.0,114.0,117.0,11605,0,0.0
2016-03-02,116.0,116.0,109.0,113.2,3985,0,0.0
2016-03-03,114.4,114.4,107.0,111.0,1425,0,0.0
2016-03-04,113.2,115.98,110.6,111.2,1195,0,0.0
2016-03-07,118.8,162.6,118.0,144.8,11575,0,0.0
2016-03-08,147.6,169.8,135.0,166.4,4520,0,0.0
2016-03-09,166.0,279.8,166.0,235.0,17875,0,0.0
2016-03-10,237.4,256.0,188.0,190.8,12285,0,0.0
2016-03-11,189.4,198.2,172.4,179.2,3295,0,0.0
2016-03-14,177.4,205.04,177.4,194.4,4035,0,0.0
2016-03-15,187.6,203.0,181.2,199.6,2075,0,0.0
2016-03-16,199.8,199.8,187.4,191.0,2845,0,0.0
2016-03-17,191.0,201.02,191.0,196.8,2015,0,0.0
2016-03-18,199.2,203.8,189.78,191.6,7995,0,0.0
2016-03-21,195.0,200.0,190.8,197.4,2625,0,0.0
2016-03-22,192.06,220.8,191.4,217.0,3005,0,0.0
2016-03-23,220.6,226.2,203.0,207.6,1130,0,0.0
2016-03-24,200.0,215.2,192.0,196.6,2380,0,0.0
2016-03-28,196.8,206.0,166.4,174.4,3180,0,0.0
2016-03-29,201.6,202.4,174.0,182.0,915,0,0.0
2016-03-30,180.8,189.8,179.6,189.6,760,0,0.0
2016-03-31,191.4,193.96,185.2,192.8,2050,0,0.0
2016-04-01,196.0,196.0,176.0,186.6,930,0,0.0
2016-04-04,195.0,195.0,179.3,182.2,965,0,0.0
2016-04-05,186.8,187.6,180.2,181.4,835,0,0.0
2016-04-06,182.6,188.0,179.4,186.2,875,0,0.0
2016-04-07,187.4,188.0,181.0,188.0,825,0,0.0
2016-04-08,184.4,201.38,184.4,200.0,2380,0,0.0
2016-04-11,204.2,205.0,190.6,191.8,990,0,0.0
2016-04-12,190.84,196.8,190.0,196.4,720,0,0.0
2016-04-13,204.0,204.0,192.2,200.0,1050,0,0.0
2016-04-14,203.4,204.0,197.0,200.0,1680,0,0.0
2016-04-15,197.2,204.0,197.2,204.0,1360,0,0.0
2016-04-18,200.8,204.4,196.0,199.8,910,0,0.0
2016-04-19,193.8,195.0,188.92,193.8,560,0,0.0
2016-04-20,193.6,193.6,182.2,188.2,470,0,0.0
2016-04-21,185.2,186.4,182.0,184.0,1215,0,0.0
2016-04-22,182.8,191.0,182.4,187.8,1030,0,0.0
2016-04-25,186.6,186.8,182.6,186.2,780,0,0.0
2016-04-26,184.2,190.7,182.8,184.4,580,0,0.0
2016-04-27,183.4,184.8,182.0,182.6,430,0,0.0
2016-04-28,182.0,183.6,178.4,181.0,535,0,0.0
2016-04-29,180.12,183.0,176.0,180.8,310,0,0.0
2016-05-02,183.88,188.6,177.4,187.2,775,0,0.0
2016-05-03,185.6,226.4,185.5,218.6,2990,0,0.0
2016-05-04,218.0,235.2,218.0,231.2,1235,0,0.0
2016-05-05,222.2,253.0,222.2,241.0,1730,0,0.0
2016-05-06,239.4,243.8,231.0,234.0,850,0,0.0
2016-05-09,233.4,241.0,229.0,238.0,690,0,0.0
2016-05-10,237.6,245.8,235.0,245.0,1590,0,0.0
2016-05-11,245.2,256.04,242.2,250.0,905,0,0.0
2016-05-12,255.8,259.6,225.2,243.2,1565,0,0.0
2016-05-13,248.0,259.0,234.8,250.0,990,0,0.0
2016-05-16,252.0,259.72,234.94,251.8,1195,0,0.0
2016-05-17,250.0,262.4,240.0,247.8,2155,0,0.0
2016-05-18,248.6,260.2,225.6,229.2,1850,0,0.0
2016-05-19,231.4,241.4,224.0,227.0,1075,0,0.0
2016-05-20,224.8,245.54,216.2,216.2,1330,0,0.0
2016-05-23,219.6,253.94,219.06,231.4,1485,0,0.0
2016-05-24,232.0,254.6,232.0,250.0,3630,0,0.0
2016-05-25,255.4,288.8,254.0,287.2,5270,0,0.0
2016-05-26,290.2,310.4,290.0,308.0,2085,0,0.0
2016-05-27,307.8,329.0,307.8,317.8,1910,0,0.0
2016-05-31,316.2,343.56,282.0,330.4,2035,0,0.0
2016-06-01,328.4,332.0,310.8,328.6,1810,0,0.0
2016-06-02,318.2,330.0,306.0,328.4,1685,0,0.0
2016-06-03,325.0,335.2,321.8,335.2,890,0,0.0
2016-06-06,354.6,396.2,342.7,387.0,3320,0,0.0
2016-06-07,394.4,403.9,380.8,396.0,3365,0,0.0
2016-06-08,406.8,409.06,377.4,382.6,2105,0,0.0
2016-06-09,381.0,391.2,368.0,385.2,1970,0,0.0
