Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-10-17,29.01,29.01,24.8,24.8,251900.0,0.0,0
2016-10-18,25.31,25.31,23.0,23.63,349300.0,0.0,0
2016-10-19,24.04,24.04,23.35,23.46,222700.0,0.0,0
2016-10-20,23.46,23.46,23.46,23.46,0.0,0.0,0
2016-10-21,23.45,24.28,23.45,24.1,354600.0,0.0,0
2016-10-24,24.38,24.59,24.03,24.39,384600.0,0.0,0
2016-10-25,24.17,24.85,23.69,23.71,1305600.0,0.0,0
2016-10-26,23.46,24.07,23.28,23.93,1537700.0,0.0,0
2016-10-27,24.0,24.14,23.84,24.01,847100.0,0.0,0
2016-10-28,24.01,24.01,23.21,23.55,1666800.0,0.0,0
2016-10-31,23.69,23.95,23.21,23.44,4294700.0,0.0,0
2016-11-01,23.7,26.24,23.21,25.32,87709200.0,0.0,0
2016-11-02,25.32,26.49,25.32,25.71,15943800.0,0.0,0
2016-11-03,25.89,26.2,25.76,25.96,7706500.0,0.0,0
2016-11-04,26.09,27.21,25.96,26.67,9972000.0,0.0,0
2016-11-07,26.95,27.71,25.48,25.83,12851300.0,0.0,0
2016-11-08,25.12,26.36,24.76,25.71,11444800.0,0.0,0
2016-11-09,25.1,25.73,25.1,25.14,8522500.0,0.0,0
2016-11-10,25.39,25.89,24.99,25.14,8073500.0,0.0,0
2016-11-11,24.98,27.11,24.98,26.09,7137200.0,0.0,0
2016-11-14,26.19,26.47,24.83,25.02,4946600.0,0.0,0
2016-11-15,25.04,25.77,24.66,25.68,8663100.0,0.0,0
2016-11-16,25.53,26.7,25.53,26.05,4773700.0,0.0,0
2016-11-17,26.26,26.31,26.04,26.19,2739200.0,0.0,0
2016-11-18,26.24,27.67,26.14,27.32,4080400.0,0.0,0
2016-11-21,27.23,28.03,27.04,27.96,3358700.0,0.0,0
2016-11-22,28.0,29.36,28.0,28.99,6464900.0,0.0,0
2016-11-23,28.77,29.27,28.12,28.8,2751000.0,0.0,0
2016-11-25,28.79,28.89,26.77,28.48,2468700.0,0.0,0
2016-11-28,28.34,28.41,27.29,27.41,3884000.0,0.0,0
2016-11-29,27.46,27.75,26.89,27.64,3001200.0,0.0,0
2016-11-30,27.64,27.82,26.84,27.19,7216800.0,0.0,0
2016-12-01,27.27,27.64,26.9,27.32,3484600.0,0.0,0
2016-12-02,26.95,27.84,26.59,27.22,2818300.0,0.0,0
2016-12-05,27.3,27.6,27.06,27.07,2724200.0,0.0,0
2016-12-06,27.12,27.45,26.75,27.41,8360900.0,0.0,0
2016-12-07,27.33,27.54,26.98,27.09,3596100.0,0.0,0
2016-12-08,27.26,27.35,26.53,27.09,4637300.0,0.0,0
